#wrap
fn,in,out
degrees,1077936128,1126949672
radians,1077936128,1029076816
safe_sqrt,228737632,646978941
safe_asin,228737632,228737632
sq,228737632,0
degrees,228737632,277955350
radians,228737632,179650255
safe_sqrt,1123477881,1093781239
safe_asin,1123477881,1070141403
sq,1123477881,1181623689
degrees,1123477881,1172114447
radians,1123477881,1074390740
#predicate
fn,in,out
is_zero,0,1
is_positive,0,0
is_negative,0,0
is_zero,2147483648,1
is_positive,2147483648,0
is_negative,2147483648,0
is_zero,841731191,1
is_positive,841731191,0
is_negative,841731191,0
is_zero,2989214839,1
is_positive,2989214839,0
is_negative,2989214839,0
is_zero,872415232,0
is_positive,872415232,1
is_negative,872415232,0
is_zero,3019898880,0
is_positive,3019898880,0
is_negative,3019898880,1
is_zero,872415231,1
is_positive,872415231,0
is_negative,872415231,0
is_zero,872415233,0
is_positive,872415233,1
is_negative,872415233,0
is_zero,897988541,0
is_positive,897988541,1
is_negative,897988541,0
is_zero,3045472189,0
is_positive,3045472189,0
is_negative,3045472189,1
is_zero,1065353216,0
is_positive,1065353216,1
is_negative,1065353216,0
is_zero,3212836864,0
is_positive,3212836864,0
is_negative,3212836864,1
#binary
fn,a,b,out
is_equal,0,0,1
norm2,0,0,0
is_equal,0,1065353216,0
norm2,0,1065353216,1065353216
is_equal,0,3212836864,0
norm2,0,3212836864,1065353216
is_equal,0,869711765,1
norm2,0,869711765,869711765
is_equal,0,841731191,1
norm2,0,841731191,841731191
is_equal,0,1621981420,0
norm2,0,1621981420,2139095040
is_equal,0,1123477881,0
norm2,0,1123477881,1123477881
is_equal,1065353216,0,0
norm2,1065353216,0,1065353216
is_equal,1065353216,1065353216,1
norm2,1065353216,1065353216,1068827891
is_equal,1065353216,3212836864,0
norm2,1065353216,3212836864,1068827891
is_equal,1065353216,869711765,0
norm2,1065353216,869711765,1065353216
is_equal,1065353216,841731191,0
norm2,1065353216,841731191,1065353216
is_equal,1065353216,1621981420,0
norm2,1065353216,1621981420,2139095040
is_equal,1065353216,1123477881,0
norm2,1065353216,1123477881,1123478412
is_equal,3212836864,0,0
norm2,3212836864,0,1065353216
is_equal,3212836864,1065353216,0
norm2,3212836864,1065353216,1068827891
is_equal,3212836864,3212836864,1
norm2,3212836864,3212836864,1068827891
is_equal,3212836864,869711765,0
norm2,3212836864,869711765,1065353216
is_equal,3212836864,841731191,0
norm2,3212836864,841731191,1065353216
is_equal,3212836864,1621981420,0
norm2,3212836864,1621981420,2139095040
is_equal,3212836864,1123477881,0
norm2,3212836864,1123477881,1123478412
is_equal,869711765,0,1
norm2,869711765,0,869711765
is_equal,869711765,1065353216,0
norm2,869711765,1065353216,1065353216
is_equal,869711765,3212836864,0
norm2,869711765,3212836864,1065353216
is_equal,869711765,869711765,1
norm2,869711765,869711765,873978267
is_equal,869711765,841731191,1
norm2,869711765,841731191,869781958
is_equal,869711765,1621981420,0
norm2,869711765,1621981420,2139095040
is_equal,869711765,1123477881,0
norm2,869711765,1123477881,1123477881
is_equal,841731191,0,1
norm2,841731191,0,841731191
is_equal,841731191,1065353216,0
norm2,841731191,1065353216,1065353216
is_equal,841731191,3212836864,0
norm2,841731191,3212836864,1065353216
is_equal,841731191,869711765,1
norm2,841731191,869711765,869781958
is_equal,841731191,841731191,1
norm2,841731191,841731191,846394821
is_equal,841731191,1621981420,0
norm2,841731191,1621981420,2139095040
is_equal,841731191,1123477881,0
norm2,841731191,1123477881,1123477881
is_equal,1621981420,0,0
norm2,1621981420,0,2139095040
is_equal,1621981420,1065353216,0
norm2,1621981420,1065353216,2139095040
is_equal,1621981420,3212836864,0
norm2,1621981420,3212836864,2139095040
is_equal,1621981420,869711765,0
norm2,1621981420,869711765,2139095040
is_equal,1621981420,841731191,0
norm2,1621981420,841731191,2139095040
is_equal,1621981420,1621981420,1
norm2,1621981420,1621981420,2139095040
is_equal,1621981420,1123477881,0
norm2,1621981420,1123477881,2139095040
is_equal,1123477881,0,0
norm2,1123477881,0,1123477881
is_equal,1123477881,1065353216,0
norm2,1123477881,1065353216,1123478412
is_equal,1123477881,3212836864,0
norm2,1123477881,3212836864,1123478412
is_equal,1123477881,869711765,0
norm2,1123477881,869711765,1123477881
is_equal,1123477881,841731191,0
norm2,1123477881,841731191,1123477881
is_equal,1123477881,1621981420,0
norm2,1123477881,1621981420,2139095040
is_equal,1123477881,1123477881,1
norm2,1123477881,1123477881,1127127001
#constrain
v,lo,hi,out,reported
3231711232,0,1065353216,0,0
3231711232,3212836864,1065353216,3212836864,0
3231711232,3240099840,1092616192,3231711232,0
3231711232,1065353216,1065353216,1065353216,0
3212836864,0,1065353216,0,0
3212836864,3212836864,1065353216,3212836864,0
3212836864,3240099840,1092616192,3212836864,0
3212836864,1065353216,1065353216,1065353216,0
0,0,1065353216,0,0
0,3212836864,1065353216,0,0
0,3240099840,1092616192,0,0
0,1065353216,1065353216,1065353216,0
1056964608,0,1065353216,1056964608,0
1056964608,3212836864,1065353216,1056964608,0
1056964608,3240099840,1092616192,1056964608,0
1056964608,1065353216,1065353216,1065353216,0
1065353216,0,1065353216,1065353216,0
1065353216,3212836864,1065353216,1065353216,0
1065353216,3240099840,1092616192,1065353216,0
1065353216,1065353216,1065353216,1065353216,0
1084227584,0,1065353216,1065353216,0
1084227584,3212836864,1065353216,1065353216,0
1084227584,3240099840,1092616192,1084227584,0
1084227584,1065353216,1065353216,1065353216,0
2143289344,0,1065353216,1056964608,1
#interp
low_out,high_out,var,low,high,out
0,1065353216,1056964608,0,1065353216,1056964608
0,1065353216,3212836864,0,1065353216,0
0,1065353216,1073741824,0,1065353216,1065353216
3212836864,1065353216,0,3240099840,1092616192,0
1120403456,1128792064,1084227584,0,1092616192,1125515264
1084227584,1084227584,1077936128,0,1092616192,1084227584
0,1065353216,1077936128,1073741824,1073741824,1065353216
