#cases
kind,n,rep,ok,in,out
duplicate_row,4,1,1,3204452352 3207927808 3221949440 3199025152 3204452352 3207927808 3221949440 3199025152 1052454912 1067463680 1071358976 3216067584 1078627840 1065064448 3216236544 3202039808,1255091391 3402575039 0 3182078635 3414538860 1267055212 1051372203 3182078635 1252129166 3399612814 3190467243 1023410176 3403939704 1256456056 1059760811 0
duplicate_row,4,2,1,1074547712 1069530112 1072687104 1079326720 1074547712 1069530112 1072687104 1079326720 1079963136 1051168768 3189538816 1074274816 1072281600 1061218304 3220981760 3216477184,3381370871 1233887223 2147483648 3179282432 1225511243 3372994891 2147483648 2147483648 3388484965 1241001317 2147483648 2147483648 1237847925 3385331573 1031798784 2147483648
duplicate_row,4,3,1,1075652096 3179347968 3226544128 1071744000 1075652096 3179347968 3226544128 1071744000 1069209600 3217777664 1069337600 1081293824 3222635520 3224293888 3197558784 3228861952,3405244138 1257760490 3187671040 2147483648 1226866619 3374350267 3187671040 2147483648 3394786168 1247302520 2147483648 3137339392 1251054736 3398538384 2147483648 2147483648
identity,5,0,1,1065353216 0 0 0 0 0 1065353216 0 0 0 0 0 1065353216 0 0 0 0 0 1065353216 0 0 0 0 0 1065353216,1065353216 0 0 0 0 0 1065353216 0 0 0 0 0 1065353216 0 0 0 0 0 1065353216 0 0 0 0 0 1065353216
diagonal,5,0,1,1073741824 0 0 0 0 0 1077936128 0 0 0 0 0 1082130432 0 0 0 0 0 1084227584 0 0 0 0 0 1086324736,1056964608 0 0 0 0 0 1051372203 0 0 0 0 0 1048576000 0 0 0 0 0 1045220557 0 0 0 0 0 1042983595
dominant,5,0,1,1092616192 1056964608 1051372203 1048576000 1045220557 1056964608 1093664768 1056964608 1051372203 1048576000 1051372203 1056964608 1094713344 1056964608 1051372203 1048576000 1051372203 1056964608 1095761920 1056964608 1045220557 1048576000 1051372203 1056964608 1096810496,1036881403 3146723132 3139696082 3134944655 3131183118 3146723132 1035672876 3144241469 3137830474 3132678086 3139696082 3144241469 1034647731 3141887783 3135908893 3134944656 3137830475 3141887783 1033775157 3140227155 3131183118 3132678085 3135908892 3140227155 1033021202
general,5,0,1,3225828352 1078789632 3226809856 3227637248 1062213632 3222240768 3226327040 1066405888 1076549120 1040039936 3221863424 1073846784 1067024384 1074225664 1078997504 3224100352 1078123008 3221977600 3218810880 1080432640 1074779648 1062150144 3221640704 3223901696 1078502400,3225685832 3209980196 3223462552 1083133335 3218539059 3222762546 3209698142 3220450911 1080621701 3217446013 1094594018 1076968267 1092986386 3247628403 1088674498 3240650132 3223303177 3238919151 1098921320 3234527565 1072975405 1057953005 1071836288 3225237519 1068314097
general,5,1,1,1081150976 3207800832 3202531328 3213031424 1069015040 3214830592 1078427648 1061844992 1081047040 3220975616 1068597248 1059878912 1081952768 1080731648 3224274432 1021640704 1062320128 3226459648 3212490752 3211763712 1079737344 1049726976 3217241088 1073318912 1072475136,1048913404 1018537810 1034291558 1033859452 3164550475 1058631056 1058334091 3197224470 3188078596 3198815369 1048807983 1041783564 3171200944 3195789930 3193600968 3201878733 3189877650 1040457629 1008387841 1052126279 1034666028 1042443982 3196709141 3198981794 1033718996
general,5,2,1,1070972928 3222418944 1073604608 3228604928 3222590464 1081837568 3224715264 3205419008 1078816768 3217812480 3227298816 3221873152 3207280640 1080106496 3196829696 3223510528 1072232448 1070125056 1072421888 3120562176 3222358016 1068678144 1075936256 3167617024 3208376320,3230338883 1067444452 1051157430 3241690606 1093602075 1097447908 3228890068 3219637831 1109240804 3256174310 3249356309 1085754881 1075265078 3261573723 1113410641 3221232423 1059162118 1047167039 3231733727 1083995557 3255078244 1091067926 1080701351 3266353351 1118281105
general,5,3,1,1076148736 1078169600 1079998464 3218073600 3224930304 3219311616 1081300480 1079730688 1076054016 3209656320 3218030592 1068279808 3219317760 1071309824 1075574272 3216208896 1076876288 3228720640 1080993792 3228136960 1053163520 1073374208 1070065664 1067675648 3218002944,3172385134 3204205890 1048811940 3190105162 1065894596 1049385342 1029615598 1048586053 1032272658 3197334387 3182732097 1038854471 3187915369 3186179613 1042722405 3198424545 3194256775 1033199824 3185090472 1065626359 3162315900 3186627291 1050181055 3189504342 1048929087
zero_row,5,0,0,1071532032 3214215168 1079018496 3213080576 1080007168 0 0 0 0 0 3220997120 1069298688 3229531648 3224642560 1073516544 3219922944 1044152320 3224107520 1075148800 3223378944 3217816576 3204958208 1058973696 3225858048 3198844928,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
zero_row,5,1,0,3224213504 1059057664 3228637696 3226044928 3228952576 0 0 0 0 0 3224602112 1041252352 1058760704 3220400128 1042153472 1077988352 1078245376 1074360832 1074972672 3182968832 3207008256 3215742976 3218809856 1062356992 1058105344,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
zero_row,5,2,0,3221902848 3205795840 3200229376 1075824128 1077983744 0 0 0 0 0 1077848576 3210391552 3205128192 3226245120 1067214848 3199037440 1080187392 3214498816 1061240832 1048846336 1077370880 1077766144 3224466944 3227988480 3213381632,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
zero_row,5,3,0,1066601472 1045250048 1077995008 3226452480 1067386880 0 0 0 0 0 1065981952 1076762112 1081087488 1074125312 3213310976 3228983808 1079210496 3222164992 3224362496 1074434560 1076879872 1069599744 1074322944 3225082368 3222214656,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
duplicate_row,5,0,0,3223134208 1079307264 3228071424 3225420288 3203465216 3223134208 1079307264 3228071424 3225420288 3203465216 1074404352 1073753600 3217218560 3203002368 1076443136 1075484160 1070078976 3214874624 3220409344 3224231424 3218950144 1065818112 1080716800 3224634880 3220105216,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
duplicate_row,5,1,0,3222205952 3227405824 1080068608 1068333056 1078329344 3222205952 3227405824 1080068608 1068333056 1078329344 3211249664 1078445056 1046077440 1077636608 1058484224 1067889664 1067854848 1072837632 3228284928 3190702080 1077516288 1059309568 3225734144 1073856000 1081259008,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
duplicate_row,5,2,0,3190964224 3225759744 3220957184 1057974272 1064353792 3190964224 3225759744 3220957184 1057974272 1064353792 1069470720 968884224 1079403520 1080950272 1057730560 1065000960 3206715392 3226536448 3200954368 1079671296 1060925440 1073502208 3188350976 3198439424 1079638528,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
duplicate_row,5,3,0,3228526592 3224053760 3221796864 1066304512 3212439552 3228526592 3224053760 3221796864 1066304512 3212439552 3228484608 3213348864 3200724992 3216804864 3227941888 1058664448 3228743680 3209134080 1072805888 3183067136 3226045440 3223790080 1078693376 1082020352 1060413440,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
identity,6,0,1,1065353216 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 1065353216,1065353216 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 1065353216
diagonal,6,0,1,1073741824 0 0 0 0 0 0 1077936128 0 0 0 0 0 0 1082130432 0 0 0 0 0 0 1084227584 0 0 0 0 0 0 1086324736 0 0 0 0 0 0 1088421888,1056964608 0 0 0 0 0 0 1051372203 0 0 0 0 0 0 1048576000 0 0 0 0 0 0 1045220557 0 0 0 0 0 0 1042983595 0 0 0 0 0 0 1041385765
dominant,6,0,1,1092616192 1056964608 1051372203 1048576000 1045220557 1042983595 1056964608 1093664768 1056964608 1051372203 1048576000 1045220557 1051372203 1056964608 1094713344 1056964608 1051372203 1048576000 1048576000 1051372203 1056964608 1095761920 1056964608 1051372203 1045220557 1048576000 1051372203 1056964608 1096810496 1056964608 1042983595 1045220557 1048576000 1051372203 1056964608 1097859072,1036883174 3146692361 3139623872 3134759275 3130908929 3128305211 3146692361 1035674965 3144163052 3137729817 3132380331 3129321248 3139623872 3144163052 1034650606 3141769679 3135559527 3130839488 3134759276 3137729818 3141769679 1033779894 3140002930 3133754260 3130908929 3132380330 3135559526 3140002930 1033031566 3138706749 3128305211 3129321248 3130839487 3133754260 3138706749 1032378669
general,6,0,1,3223828992 1050345472 1079019008 1076270592 1079309312 1067950080 3221689856 3229250048 3223489536 1077526528 3223102464 3224045056 3225726464 3220343808 3218296832 1071882240 3203567616 3221773312 1073651712 3205349376 1076716032 1079965184 3226695680 3226846720 3219317760 1059702784 1066975232 3219552256 1077129216 3228803072 3210149888 3222596608 3209095168 3229596672 3223266304 3221164032,3177062494 1054249526 3206961971 3174101376 1042251979 3187871028 3191779920 3206716084 1061455494 1040361423 3187033100 3181038833 1044040994 3177306668 3181126873 1037418990 3167155744 1041649790 992219477 1029902900 1025785373 1026540676 3166768052 3188844506 1030618279 1054125764 3205073642 3189838588 1048163172 3189118098 1035713316 3174031991 3140957778 3178946393 3190878628 1028910721
general,6,1,1,3229033984 3223120896 3183247360 1073165312 3224985088 1079439360 3226179072 3218471936 1078236160 3226836992 3201527808 1051205632 1077150208 1073086464 3192856576 3225339904 3200946176 3209746432 3223852032 3215788032 1058115584 1078376960 3214918656 1066976256 3225284608 3203358720 3227430400 3219762176 1074944512 3216888832 1081691136 3222978560 1078441984 3226979328 3206086656 3192733696,1023876588 3187894711 3179898214 3189282766 3175806229 1036140037 3161074640 1037187234 1027923752 3194922285 3191884110 3196571112 3186645600 1042832348 3188872830 3174775231 3191435295 3175305257 3183993426 3181865367 3179075178 1045904289 3172018600 3146431040 1032138900 1030642666 3209412888 3212889761 3192240018 3188601980 1054758513 1022243246 3207751463 3215617526 3199253110 3192920914
general,6,2,1,3204419584 3205289984 1078567424 1075384320 1061615616 3224871936 1031864320 3199942656 3226319872 3188449280 3205367808 3215655936 1046798336 3219791872 3219016704 1039089664 3215546368 3213933568 3223282688 1066497024 3226816512 3222957056 1078049280 3227002368 3220412416 1076741120 3228891136 1058637824 1069319168 3199143936 1071122432 1080341504 3218941952 3218965504 1074409472 1081118720,1047192573 1058055361 3188975271 3179062004 3197067755 1048629659 3191041451 1069279194 3220322511 3189885211 3194434016 3199204518 3172406023 1046314880 3205134386 3159686812 3189584430 3188652881 1049948210 3205583364 1062897419 3186367728 1051498620 1045499510 1053422454 3216315821 1071877600 1046739036 1048944427 1057917760 3174856528 3212813401 1065136734 3155435977 1049418688 1044536840
general,6,3,1,1077247488 1051521024 3217564672 1027571712 3228950528 1073764352 1068606464 1058494464 3175383040 3156606976 1075282432 1077454848 3206795264 1056493568 3194978304 1078803968 3215427584 1080546304 3225311232 1079219200 3227287552 3218310144 3223371776 3228743168 1061459968 1059000320 1079843328 3212670976 1068815360 3222128640 1062541312 3216644096 1075479552 1082071040 3226505216 1071992832,3188992244 1066209021 3212845606 1054418231 3198646479 1063750828 3156461168 1054221653 3167826223 1049615061 1042272807 1043675755 1046440817 3209184713 1061023619 3199804763 1057039890 3206563730 3204150658 1068586060 3213973187 1059422494 3205248032 1067917766 3197640481 1060800778 3205439365 1048446445 3196384613 1056746275 1050834985 3210742696 1064578090 3203403002 1051759847 3210858079
zero_row,6,0,0,1073826304 3223178240 3205175296 3225900032 1076052480 3225159680 0 0 0 0 0 0 3229346816 3226897920 3192668160 1079448576 3224595968 3217376256 3227686912 1081197568 1047830528 3227990016 1073210368 1073903104 1052319744 1079733248 1077744640 1075319808 1061472256 3196375040 3207929856 1077259776 1080169472 1061072896 3225190400 1076475904,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
zero_row,6,1,0,1053163520 3225550336 1072357376 1075889152 3226016768 1080062976 0 0 0 0 0 0 3228960768 3215495168 3224977920 3213061120 1080267776 1071841280 1077308928 1081379328 1080877568 3225136640 3222220288 1072942080 3225864192 1067759616 3215473664 3210162176 1075232256 1059586048 3225125888 3208265728 3226860032 1066603520 1082116096 1074669568,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
zero_row,6,2,0,3226787328 1081241600 1074400256 1070005248 1069057024 1081604608 0 0 0 0 0 0 3219782656 1074960896 1067679744 3212433408 3216022528 3207690240 3227270144 3225924608 1078577152 3220413440 3216854016 1079537152 1074032640 3222184960 3217423360 1075698688 1080994304 3219773440 1070964736 1032765440 1078666752 1077882368 3226991616 1079230464,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
zero_row,6,3,0,1068181504 3226609664 3202293760 1080962560 3219452928 3206137856 0 0 0 0 0 0 1065803776 3205558272 1068337152 3225645056 3214502912 1066450944 1066286080 3213112320 1078427136 3226638336 3221630464 1073449984 1079607296 3204700160 3225398272 1071856640 1073807360 3214288896 3229044736 3224929280 1081998848 3220386816 3224280576 3229019136,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
duplicate_row,6,0,0,1060212736 1077035008 1026162688 1081486336 1053351936 1080680960 1060212736 1077035008 1026162688 1081486336 1053351936 1080680960 1073646592 1064083456 3227700224 1078560768 3221590528 1043095552 1049481216 3221309952 3224632320 3212554240 1071994880 3201773568 3223919616 1075803648 3221544960 3216917504 3226667520 1066238976 3225723392 3188129792 1060851712 3181445120 1073505280 3224988672,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
duplicate_row,6,1,0,3219545088 1070922752 3215490048 3222724608 3225312768 1076942336 3219545088 1070922752 3215490048 3222724608 3225312768 1076942336 1073760256 3225267200 3226160640 1076130304 1078433792 3227550208 3212400640 1060698112 1059153920 3227685376 1056530432 1076930048 3197943808 1050918912 1078283776 3209936896 1077871616 1073197056 3218159616 3189243904 3227914752 1060358144 3228375552 3224927232,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
duplicate_row,6,2,0,3222535168 3227386368 3218638848 1068460032 1049276416 3222777856 3222535168 3227386368 3218638848 1068460032 1049276416 3222777856 1061922816 3207800832 3215525888 3216049152 3218199552 3216144384 3227122688 1040474112 1066535936 1081506304 1029144576 3213357056 3229309952 3213515776 1072356352 3224018944 1077092352 1058582528 3216381952 3229599232 3213162496 3227550720 1022689280 3220270080,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
duplicate_row,6,3,0,3195232256 3214859264 1065525248 1063520256 1074492416 3227532288 3195232256 3214859264 1065525248 1063520256 1074492416 3227532288 1079821824 3222575616 3227986432 1076964864 3222832128 3226749440 1080147456 3181608960 3212916736 1081464320 3218146304 1059751936 3223119360 3220817920 1076109824 1069769728 3225693696 3214246912 3221006336 1068744704 3222441984 3221156864 1073998848 1058664448,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
identity,9,0,1,1065353216 0 0 0 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 0 0 0 1065353216,1065353216 0 0 0 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 0 0 0 1065353216 0 0 0 0 0 0 0 0 0 1065353216
diagonal,9,0,1,1073741824 0 0 0 0 0 0 0 0 0 1077936128 0 0 0 0 0 0 0 0 0 1082130432 0 0 0 0 0 0 0 0 0 1084227584 0 0 0 0 0 0 0 0 0 1086324736 0 0 0 0 0 0 0 0 0 1088421888 0 0 0 0 0 0 0 0 0 1090519040 0 0 0 0 0 0 0 0 0 1091567616 0 0 0 0 0 0 0 0 0 1092616192,1056964608 0 0 0 0 0 0 0 0 0 1051372203 0 0 0 0 0 0 0 0 0 1048576000 0 0 0 0 0 0 0 0 0 1045220557 0 0 0 0 0 0 0 0 0 1042983595 0 0 0 0 0 0 0 0 0 1041385765 0 0 0 0 0 0 0 0 0 1040187392 0 0 0 0 0 0 0 0 0 1038323257 0 0 0 0 0 0 0 0 0 1036831949
dominant,9,0,1,1092616192 1056964608 1051372203 1048576000 1045220557 1042983595 1041385765 1040187392 1038323257 1056964608 1093664768 1056964608 1051372203 1048576000 1045220557 1042983595 1041385765 1040187392 1051372203 1056964608 1094713344 1056964608 1051372203 1048576000 1045220557 1042983595 1041385765 1048576000 1051372203 1056964608 1095761920 1056964608 1051372203 1048576000 1045220557 1042983595 1045220557 1048576000 1051372203 1056964608 1096810496 1056964608 1051372203 1048576000 1045220557 1042983595 1045220557 1048576000 1051372203 1056964608 1097859072 1056964608 1051372203 1048576000 1041385765 1042983595 1045220557 1048576000 1051372203 1056964608 1098907648 1056964608 1051372203 1040187392 1041385765 1042983595 1045220557 1048576000 1051372203 1056964608 1099431936 1056964608 1038323257 1040187392 1041385765 1042983595 1045220557 1048576000 1051372203 1056964608 1099956224,1036885779 3146649385 3139530067 3134543100 3130642145 3127570733 3124436773 3122275071 3120763439 3146649385 1035677735 3144066270 3137618234 3132104682 3128931731 3125060114 3122519761 3120802153 3139530067 3144066270 1034653910 3141647689 3135257821 3130422779 3126594850 3123356110 3121266265 3134543101 3137618235 3141647689 1033784297 3139828406 3133270881 3129160941 3124863587 3122144938 3130642145 3132104681 3135257820 3139828406 1033038337 3138405501 3131717841 3127421538 3123584067 3127570733 3128931731 3130422778 3133270881 3138405501 1032391843 3137199962 3130490065 3125949718 3124436770 3125060113 3126594849 3129160941 3131717841 3137199962 1031826111 3135378203 3129550589 3122275070 3122519762 3123356110 3124863589 3127421538 3130490066 3135378203 1030853981 3133968236 3120763438 3120802153 3121266266 3122144938 3123584067 3125949718 3129550591 3133968236 1029960794
general,9,0,1,1048657920 3225320448 1070575616 3228775424 3198402560 1077302272 3221175296 3222534144 3209926656 1067878400 1079563264 3226677760 1074036224 3226788352 3227213824 3214922752 3224963584 3227332608 1079297536 3214183424 3224598016 1076409344 1059745792 3226314240 3220622336 1076311552 3217005568 1074586624 1067447296 1080761344 1073497088 1064177664 1080460288 1077229056 1081536000 3225937920 3221343232 1076860928 1075828224 1065905152 1078707200 1082019840 3217139712 3221974016 1081391616 3216556032 1070622720 1081872384 3219780608 1081062400 3223554560 3215185920 3215704064 3226213888 3226823680 3226425856 1078824448 1071817728 1065702400 3223991808 1072834560 1064114176 3225935872 3218534400 1066691584 3220597760 3222731776 3227951616 3219734528 3218876416 1078124032 3222914048 1080062464 1078228992 1081938432 1081734144 1058242560 3221476352 1057138688 1081556480 1050296320,1031221740 999067648 1015896256 1008796544 3184343920 1015903080 3184487706 3183385587 1032130068 3183185306 1024036880 3178231670 1023710948 1018079407 1032302049 3182625330 1025143324 998170112 1038294327 1004307568 3181183580 3171602434 1004999544 3147962962 1031023315 991196661 1041414303 1009618724 1034417082 1033396760 1017035644 1039591737 3184415380 1039284090 3164350033 1016139084 3184619570 3180608758 1036495974 1025924656 1010977802 1040183630 3176833688 3179666772 3185318200 1027133357 1014797356 1020709881 1037878657 1035174005 3177550467 3152807964 1017460720 3180432074 3188901554 3170963792 3188427030 1026080016 3189809250 1018446784 3173126226 3185272115 3174651200 3174916264 3183211356 1029919280 1024437296 1009811052 3155385312 3153291872 1037865947 1008744288 3166172120 3180232540 3175981442 3185770214 3137631554 3175737867 3170683488 3164931855 1034704774
general,9,1,1,1078096384 3214182400 1065764864 1078889472 3184345088 3222390272 1050157056 3202154496 1066337280 3216208896 3223191552 3203690496 3191922688 3218853888 1066137600 3228634624 3222131200 1071812608 3217546240 1071869952 3224486400 1075817472 3229316096 3216661504 3214189568 1079751168 1076255744 3217866752 3207671808 3217792000 3214662656 3155558400 1077475328 3212863488 1055043584 1058142208 3229171200 3218114560 3220192256 1060829184 1051574272 1069575168 1079440896 1075429888 1078989312 1065907200 3223564800 3216977920 3188383744 1054302208 1057914880 3215990784 3228729344 3211673600 3224791552 3225118720 1075437568 3221472256 1079720448 1081060352 1016332288 3185623040 1062465536 1038336000 1076443136 1077006336 1068645376 1060806656 3216987136 3227431936 3226094592 3215675392 1073727488 3223475712 3224233472 1078637568 3212161024 3204788224 1079766016 1024524288 1066160128,1052603328 1024645996 3197103966 1055564419 1026335416 3189594650 3197726070 3183213933 3189215689 1044883760 1025217964 3199471612 1056990463 1048828369 3196100948 3202603124 1041578240 3189352672 3191042165 1048314800 3184269022 3192494572 3190742551 3201354048 1040571077 1033224176 1049272019 3190925362 3187694942 1050001992 3183716782 3193419554 1014361640 1051834326 1047238661 1053328301 1054862708 3201775193 1036745652 1046933528 1048608614 1056970194 3148032192 3173194088 3203924441 3183063088 1042381023 3193932574 1055705762 3188139980 3202614792 3172980544 1043107180 1052382534 3189081622 1042241360 3196919618 3171202236 1037044788 3197432322 3190692258 1026037107 1045103774 3165723680 3195558312 1053726162 3191390980 3196090295 1043410496 1052627206 3188784572 3157625088 1059344728 1046672999 3205439037 1059271456 1057822981 3194204774 3207203400 3178055098 3204391649
