#polys
name,n,coords
square_closed,5,0 0 0 100 100 100 100 0 0 0
square_open,4,0 0 0 100 100 100 100 0
tri_closed,4,0 0 100 0 50 100 0 0
ell_closed,7,0 0 0 100 50 100 50 50 100 50 100 0 0 0
big_closed,5,-100 -100 -100 100 100 100 100 -100 -100 -100
degenerate,3,0 0 10 0 0 0
#complete
poly,n,as_float,as_int
square_closed,0,0,0
square_closed,1,0,0
square_closed,2,0,0
square_closed,3,0,0
square_closed,4,0,0
square_closed,5,1,1
square_open,0,0,0
square_open,1,0,0
square_open,2,0,0
square_open,3,0,0
square_open,4,0,0
tri_closed,0,0,0
tri_closed,1,0,0
tri_closed,2,0,0
tri_closed,3,0,0
tri_closed,4,1,1
ell_closed,0,0,0
ell_closed,1,0,0
ell_closed,2,0,0
ell_closed,3,0,0
ell_closed,4,0,0
ell_closed,5,0,0
ell_closed,6,0,0
ell_closed,7,1,1
big_closed,0,0,0
big_closed,1,0,0
big_closed,2,0,0
big_closed,3,0,0
big_closed,4,0,0
big_closed,5,1,1
degenerate,0,0,0
degenerate,1,0,0
degenerate,2,0,0
degenerate,3,0,0
#outside
poly,px,py,as_float,as_int
square_closed,-50,-125,1,1
square_closed,-50,-100,1,1
square_closed,-50,-75,1,1
square_closed,-50,-50,1,1
square_closed,-50,-25,1,1
square_closed,-50,0,1,1
square_closed,-50,25,1,1
square_closed,-50,50,1,1
square_closed,-50,75,1,1
square_closed,-50,100,1,1
square_closed,-50,125,1,1
square_closed,-50,150,1,1
square_closed,-25,-150,1,1
square_closed,-25,-125,1,1
square_closed,-25,-100,1,1
square_closed,-25,-75,1,1
square_closed,-25,-50,1,1
square_closed,-25,-25,1,1
square_closed,-25,0,1,1
square_closed,-25,25,1,1
square_closed,-25,50,1,1
square_closed,-25,75,1,1
square_closed,-25,100,1,1
square_closed,-25,125,1,1
square_closed,-25,150,1,1
square_closed,0,-150,1,1
square_closed,0,-125,1,1
square_closed,0,-100,1,1
square_closed,0,-75,1,1
square_closed,0,-50,1,1
square_closed,0,-25,1,1
square_closed,0,0,0,0
square_closed,0,25,0,0
square_closed,0,50,0,0
square_closed,0,75,0,0
square_closed,0,100,1,1
square_closed,0,125,1,1
square_closed,0,150,1,1
square_closed,25,-150,1,1
square_closed,25,-125,1,1
square_closed,25,-100,1,1
square_closed,25,-75,1,1
square_closed,25,-50,1,1
square_closed,25,-25,1,1
square_closed,25,0,0,0
square_closed,25,25,0,0
square_closed,25,50,0,0
square_closed,25,75,0,0
square_closed,25,100,1,1
square_closed,25,125,1,1
square_closed,25,150,1,1
square_closed,50,-150,1,1
square_closed,50,-125,1,1
square_closed,50,-100,1,1
square_closed,50,-75,1,1
square_closed,50,-50,1,1
square_closed,50,-25,1,1
square_closed,50,0,0,0
square_closed,50,25,0,0
square_closed,50,50,0,0
square_closed,50,75,0,0
square_closed,50,100,1,1
square_closed,50,125,1,1
square_closed,50,150,1,1
square_closed,75,-150,1,1
square_closed,75,-125,1,1
square_closed,75,-100,1,1
square_closed,75,-75,1,1
square_closed,75,-50,1,1
square_closed,75,-25,1,1
square_closed,75,0,0,0
square_closed,75,25,0,0
square_closed,75,50,0,0
square_closed,75,75,0,0
square_closed,75,100,1,1
square_closed,75,125,1,1
square_closed,75,150,1,1
square_closed,100,-150,1,1
square_closed,100,-125,1,1
square_closed,100,-100,1,1
square_closed,100,-75,1,1
square_closed,100,-50,1,1
square_closed,100,-25,1,1
square_closed,100,0,1,1
square_closed,100,25,1,1
square_closed,100,50,1,1
square_closed,100,75,1,1
square_closed,100,100,1,1
square_closed,100,125,1,1
square_closed,100,150,1,1
square_closed,125,-150,1,1
square_closed,125,-125,1,1
square_closed,125,-100,1,1
square_closed,125,-75,1,1
square_closed,125,-50,1,1
square_closed,125,-25,1,1
square_closed,125,0,1,1
square_closed,125,25,1,1
square_closed,125,50,1,1
square_closed,125,75,1,1
square_closed,125,100,1,1
square_closed,125,125,1,1
square_closed,125,150,1,1
square_closed,150,-150,1,1
square_closed,150,-125,1,1
square_closed,150,-100,1,1
square_closed,150,-75,1,1
square_closed,150,-50,1,1
square_closed,150,-25,1,1
square_closed,150,0,1,1
square_closed,150,25,1,1
square_closed,150,50,1,1
square_closed,150,75,1,1
square_closed,150,100,1,1
square_closed,150,125,1,1
square_closed,150,150,1,1
square_closed,0,0,0,0
square_closed,0,100,1,1
square_closed,100,100,1,1
square_closed,100,0,1,1
square_closed,50,100,1,1
square_closed,50,50,0,0
square_closed,-100,-100,1,1
square_closed,100,-100,1,1
square_closed,50,0,0,0
square_closed,0,50,0,0
square_closed,100,50,1,1
square_closed,25,100,1,1
square_closed,50,25,0,0
square_closed,75,50,0,0
square_closed,-100,0,1,1
square_closed,0,-100,1,1
square_open,-150,-150,1,1
square_open,-150,-125,1,1
square_open,-150,-100,1,1
square_open,-150,-75,1,1
square_open,-150,-50,1,1
square_open,-150,-25,1,1
square_open,-150,0,1,1
square_open,-150,25,1,1
square_open,-150,50,1,1
square_open,-150,75,1,1
square_open,-150,100,1,1
square_open,-150,125,1,1
square_open,-150,150,1,1
square_open,-125,-150,1,1
square_open,-125,-125,1,1
square_open,-125,-100,1,1
square_open,-125,-75,1,1
square_open,-125,-50,1,1
square_open,-125,-25,1,1
square_open,-125,0,1,1
square_open,-125,25,1,1
square_open,-125,50,1,1
square_open,-125,75,1,1
square_open,-125,100,1,1
square_open,-125,125,1,1
square_open,-125,150,1,1
square_open,-100,-150,1,1
square_open,-100,-125,1,1
square_open,-100,-100,1,1
square_open,-100,-75,1,1
square_open,-100,-50,1,1
square_open,-100,-25,1,1
square_open,-100,0,1,1
square_open,-100,25,1,1
square_open,-100,50,1,1
square_open,-100,75,1,1
square_open,-100,100,1,1
square_open,-100,125,1,1
square_open,-100,150,1,1
square_open,-75,-150,1,1
square_open,-75,-125,1,1
square_open,-75,-100,1,1
square_open,-75,-75,1,1
square_open,-75,-50,1,1
square_open,-75,-25,1,1
square_open,-75,0,1,1
square_open,-75,25,1,1
square_open,-75,50,1,1
square_open,-75,75,1,1
square_open,-75,100,1,1
square_open,-75,125,1,1
square_open,-75,150,1,1
square_open,-50,-150,1,1
square_open,-50,-125,1,1
square_open,-50,-100,1,1
square_open,-50,-75,1,1
square_open,-50,-50,1,1
square_open,-50,-25,1,1
square_open,-50,0,1,1
square_open,-50,25,1,1
square_open,-50,50,1,1
square_open,-50,75,1,1
square_open,-50,100,1,1
square_open,-50,125,1,1
square_open,-50,150,1,1
square_open,-25,-150,1,1
square_open,-25,-125,1,1
square_open,-25,-100,1,1
square_open,-25,-75,1,1
square_open,-25,-50,1,1
square_open,-25,-25,1,1
square_open,-25,0,1,1
square_open,-25,25,1,1
square_open,-25,50,1,1
square_open,-25,75,1,1
square_open,-25,100,1,1
square_open,-25,125,1,1
square_open,-25,150,1,1
square_open,0,-150,1,1
square_open,0,-125,1,1
square_open,0,-100,1,1
square_open,0,-75,1,1
square_open,0,-50,1,1
square_open,0,-25,1,1
square_open,0,0,0,0
square_open,0,25,0,0
square_open,0,50,0,0
square_open,0,75,0,0
square_open,0,100,1,1
square_open,0,125,1,1
square_open,0,150,1,1
square_open,25,-150,1,1
square_open,25,-125,1,1
square_open,25,-100,1,1
square_open,25,-75,1,1
square_open,25,-50,1,1
square_open,25,-25,1,1
square_open,25,0,0,0
square_open,25,25,0,0
square_open,25,50,0,0
square_open,25,75,0,0
square_open,25,100,1,1
square_open,25,125,1,1
square_open,25,150,1,1
square_open,50,-150,1,1
square_open,50,-125,1,1
square_open,50,-100,1,1
square_open,50,-75,1,1
square_open,50,-50,1,1
square_open,50,-25,1,1
square_open,50,0,0,0
square_open,50,25,0,0
square_open,50,50,0,0
square_open,50,75,0,0
square_open,50,100,1,1
square_open,50,125,1,1
square_open,50,150,1,1
square_open,75,-150,1,1
square_open,75,-125,1,1
square_open,75,-100,1,1
square_open,75,-75,1,1
square_open,75,-50,1,1
square_open,75,-25,1,1
square_open,75,0,0,0
square_open,75,25,0,0
square_open,75,50,0,0
square_open,75,75,0,0
square_open,75,100,1,1
square_open,75,125,1,1
square_open,75,150,1,1
square_open,100,-150,1,1
square_open,100,-125,1,1
square_open,100,-100,1,1
square_open,100,-75,1,1
square_open,100,-50,1,1
square_open,100,-25,1,1
square_open,100,0,1,1
square_open,100,25,1,1
square_open,100,50,1,1
square_open,100,75,1,1
square_open,100,100,1,1
square_open,100,125,1,1
square_open,100,150,1,1
square_open,125,-150,1,1
square_open,125,-125,1,1
square_open,125,-100,1,1
square_open,125,-75,1,1
square_open,125,-50,1,1
square_open,125,-25,1,1
square_open,125,0,1,1
square_open,125,25,1,1
square_open,125,50,1,1
square_open,125,75,1,1
square_open,125,100,1,1
square_open,125,125,1,1
square_open,125,150,1,1
square_open,150,-150,1,1
square_open,150,-125,1,1
square_open,150,-100,1,1
square_open,150,-75,1,1
square_open,150,-50,1,1
square_open,150,-25,1,1
square_open,150,0,1,1
square_open,150,25,1,1
square_open,150,50,1,1
square_open,150,75,1,1
square_open,150,100,1,1
square_open,150,125,1,1
square_open,150,150,1,1
square_open,0,0,0,0
square_open,0,100,1,1
square_open,100,100,1,1
square_open,100,0,1,1
square_open,50,100,1,1
square_open,50,50,0,0
square_open,-100,-100,1,1
square_open,100,-100,1,1
square_open,50,0,0,0
square_open,0,50,0,0
square_open,100,50,1,1
square_open,25,100,1,1
square_open,50,25,0,0
square_open,75,50,0,0
square_open,-100,0,1,1
square_open,0,-100,1,1
tri_closed,-150,-150,1,1
tri_closed,-150,-125,1,1
tri_closed,-150,-100,1,1
tri_closed,-150,-75,1,1
tri_closed,-150,-50,1,1
tri_closed,-150,-25,1,1
tri_closed,-150,0,1,1
tri_closed,-150,25,1,1
tri_closed,-150,50,1,1
tri_closed,-150,75,1,1
tri_closed,-150,100,1,1
tri_closed,-150,125,1,1
tri_closed,-150,150,1,1
tri_closed,-125,-150,1,1
tri_closed,-125,-125,1,1
tri_closed,-125,-100,1,1
tri_closed,-125,-75,1,1
tri_closed,-125,-50,1,1
tri_closed,-125,-25,1,1
tri_closed,-125,0,1,1
tri_closed,-125,25,1,1
tri_closed,-125,50,1,1
tri_closed,-125,75,1,1
tri_closed,-125,100,1,1
tri_closed,-125,125,1,1
tri_closed,-125,150,1,1
tri_closed,-100,-150,1,1
tri_closed,-100,-125,1,1
tri_closed,-100,-100,1,1
tri_closed,-100,-75,1,1
tri_closed,-100,-50,1,1
tri_closed,-100,-25,1,1
tri_closed,-100,0,1,1
tri_closed,-100,25,1,1
tri_closed,-100,50,1,1
tri_closed,-100,75,1,1
tri_closed,-100,100,1,1
tri_closed,-100,125,1,1
tri_closed,-100,150,1,1
tri_closed,-75,-150,1,1
tri_closed,-75,-125,1,1
tri_closed,-75,-100,1,1
tri_closed,-75,-75,1,1
tri_closed,-75,-50,1,1
tri_closed,-75,-25,1,1
tri_closed,-75,0,1,1
tri_closed,-75,25,1,1
tri_closed,-75,50,1,1
tri_closed,-75,75,1,1
tri_closed,-75,100,1,1
tri_closed,-75,125,1,1
tri_closed,-75,150,1,1
tri_closed,-50,-150,1,1
tri_closed,-50,-125,1,1
tri_closed,-50,-100,1,1
tri_closed,-50,-75,1,1
tri_closed,-50,-50,1,1
tri_closed,-50,-25,1,1
tri_closed,-50,0,1,1
tri_closed,-50,25,1,1
tri_closed,-50,50,1,1
tri_closed,-50,75,1,1
tri_closed,-50,100,1,1
tri_closed,-50,125,1,1
tri_closed,-50,150,1,1
tri_closed,-25,-150,1,1
tri_closed,-25,-125,1,1
tri_closed,-25,-100,1,1
tri_closed,-25,-75,1,1
tri_closed,-25,-50,1,1
tri_closed,-25,-25,1,1
tri_closed,-25,0,1,1
tri_closed,-25,25,1,1
tri_closed,-25,50,1,1
tri_closed,-25,75,1,1
tri_closed,-25,100,1,1
tri_closed,-25,125,1,1
tri_closed,-25,150,1,1
tri_closed,0,-150,1,1
tri_closed,0,-125,1,1
tri_closed,0,-100,1,1
tri_closed,0,-75,1,1
tri_closed,0,-50,1,1
tri_closed,0,-25,1,1
tri_closed,0,0,0,0
tri_closed,0,25,1,1
tri_closed,0,50,1,1
tri_closed,0,75,1,1
tri_closed,0,100,1,1
tri_closed,0,125,1,1
tri_closed,0,150,1,1
tri_closed,25,-150,1,1
tri_closed,25,-125,1,1
tri_closed,25,-100,1,1
tri_closed,25,-75,1,1
tri_closed,25,-50,1,1
tri_closed,25,-25,1,1
tri_closed,25,0,0,0
tri_closed,25,25,0,0
tri_closed,25,50,0,0
tri_closed,25,75,1,1
tri_closed,25,100,1,1
tri_closed,25,125,1,1
tri_closed,25,150,1,1
tri_closed,50,-150,1,1
tri_closed,50,-125,1,1
tri_closed,50,-100,1,1
tri_closed,50,-75,1,1
tri_closed,50,-50,1,1
tri_closed,50,-25,1,1
tri_closed,50,0,0,0
tri_closed,50,25,0,0
tri_closed,50,50,0,0
tri_closed,50,75,0,0
tri_closed,50,100,1,1
tri_closed,50,125,1,1
tri_closed,50,150,1,1
tri_closed,75,-150,1,1
tri_closed,75,-125,1,1
tri_closed,75,-100,1,1
tri_closed,75,-75,1,1
tri_closed,75,-50,1,1
tri_closed,75,-25,1,1
tri_closed,75,0,0,0
tri_closed,75,25,0,0
tri_closed,75,50,1,1
tri_closed,75,75,1,1
tri_closed,75,100,1,1
tri_closed,75,125,1,1
tri_closed,75,150,1,1
tri_closed,100,-150,1,1
tri_closed,100,-125,1,1
tri_closed,100,-100,1,1
tri_closed,100,-75,1,1
tri_closed,100,-50,1,1
tri_closed,100,-25,1,1
tri_closed,100,0,1,1
tri_closed,100,25,1,1
tri_closed,100,50,1,1
tri_closed,100,75,1,1
tri_closed,100,100,1,1
tri_closed,100,125,1,1
tri_closed,100,150,1,1
tri_closed,125,-150,1,1
tri_closed,125,-125,1,1
tri_closed,125,-100,1,1
tri_closed,125,-75,1,1
tri_closed,125,-50,1,1
tri_closed,125,-25,1,1
tri_closed,125,0,1,1
tri_closed,125,25,1,1
tri_closed,125,50,1,1
tri_closed,125,75,1,1
tri_closed,125,100,1,1
tri_closed,125,125,1,1
tri_closed,125,150,1,1
tri_closed,150,-150,1,1
tri_closed,150,-125,1,1
tri_closed,150,-100,1,1
tri_closed,150,-75,1,1
tri_closed,150,-50,1,1
tri_closed,150,-25,1,1
tri_closed,150,0,1,1
tri_closed,150,25,1,1
tri_closed,150,50,1,1
tri_closed,150,75,1,1
tri_closed,150,100,1,1
tri_closed,150,125,1,1
tri_closed,150,150,1,1
tri_closed,0,0,0,0
tri_closed,0,100,1,1
tri_closed,100,100,1,1
tri_closed,100,0,1,1
tri_closed,50,100,1,1
tri_closed,50,50,0,0
tri_closed,-100,-100,1,1
tri_closed,100,-100,1,1
tri_closed,50,0,0,0
tri_closed,0,50,1,1
tri_closed,100,50,1,1
tri_closed,25,100,1,1
tri_closed,50,25,0,0
tri_closed,75,50,1,1
tri_closed,-100,0,1,1
tri_closed,0,-100,1,1
ell_closed,-150,-150,1,1
ell_closed,-150,-125,1,1
ell_closed,-150,-100,1,1
ell_closed,-150,-75,1,1
ell_closed,-150,-50,1,1
ell_closed,-150,-25,1,1
ell_closed,-150,0,1,1
ell_closed,-150,25,1,1
ell_closed,-150,50,1,1
ell_closed,-150,75,1,1
ell_closed,-150,100,1,1
ell_closed,-150,125,1,1
ell_closed,-150,150,1,1
ell_closed,-125,-150,1,1
ell_closed,-125,-125,1,1
ell_closed,-125,-100,1,1
ell_closed,-125,-75,1,1
ell_closed,-125,-50,1,1
ell_closed,-125,-25,1,1
ell_closed,-125,0,1,1
ell_closed,-125,25,1,1
ell_closed,-125,50,1,1
ell_closed,-125,75,1,1
ell_closed,-125,100,1,1
ell_closed,-125,125,1,1
ell_closed,-125,150,1,1
ell_closed,-100,-150,1,1
ell_closed,-100,-125,1,1
ell_closed,-100,-100,1,1
ell_closed,-100,-75,1,1
ell_closed,-100,-50,1,1
ell_closed,-100,-25,1,1
ell_closed,-100,0,1,1
ell_closed,-100,25,1,1
ell_closed,-100,50,1,1
ell_closed,-100,75,1,1
ell_closed,-100,100,1,1
ell_closed,-100,125,1,1
ell_closed,-100,150,1,1
ell_closed,-75,-150,1,1
ell_closed,-75,-125,1,1
ell_closed,-75,-100,1,1
ell_closed,-75,-75,1,1
ell_closed,-75,-50,1,1
ell_closed,-75,-25,1,1
ell_closed,-75,0,1,1
ell_closed,-75,25,1,1
ell_closed,-75,50,1,1
ell_closed,-75,75,1,1
ell_closed,-75,100,1,1
ell_closed,-75,125,1,1
ell_closed,-75,150,1,1
ell_closed,-50,-150,1,1
ell_closed,-50,-125,1,1
ell_closed,-50,-100,1,1
ell_closed,-50,-75,1,1
ell_closed,-50,-50,1,1
ell_closed,-50,-25,1,1
ell_closed,-50,0,1,1
ell_closed,-50,25,1,1
ell_closed,-50,50,1,1
ell_closed,-50,75,1,1
ell_closed,-50,100,1,1
ell_closed,-50,125,1,1
ell_closed,-50,150,1,1
ell_closed,-25,-150,1,1
ell_closed,-25,-125,1,1
ell_closed,-25,-100,1,1
ell_closed,-25,-75,1,1
ell_closed,-25,-50,1,1
ell_closed,-25,-25,1,1
ell_closed,-25,0,1,1
ell_closed,-25,25,1,1
ell_closed,-25,50,1,1
ell_closed,-25,75,1,1
ell_closed,-25,100,1,1
ell_closed,-25,125,1,1
ell_closed,-25,150,1,1
ell_closed,0,-150,1,1
ell_closed,0,-125,1,1
ell_closed,0,-100,1,1
ell_closed,0,-75,1,1
ell_closed,0,-50,1,1
ell_closed,0,-25,1,1
ell_closed,0,0,0,0
ell_closed,0,25,0,0
ell_closed,0,50,0,0
ell_closed,0,75,0,0
ell_closed,0,100,1,1
ell_closed,0,125,1,1
ell_closed,0,150,1,1
ell_closed,25,-150,1,1
ell_closed,25,-125,1,1
ell_closed,25,-100,1,1
ell_closed,25,-75,1,1
ell_closed,25,-50,1,1
ell_closed,25,-25,1,1
ell_closed,25,0,0,0
ell_closed,25,25,0,0
ell_closed,25,50,0,0
ell_closed,25,75,0,0
ell_closed,25,100,1,1
ell_closed,25,125,1,1
ell_closed,25,150,1,1
ell_closed,50,-150,1,1
ell_closed,50,-125,1,1
ell_closed,50,-100,1,1
ell_closed,50,-75,1,1
ell_closed,50,-50,1,1
ell_closed,50,-25,1,1
ell_closed,50,0,0,0
ell_closed,50,25,0,0
ell_closed,50,50,1,1
ell_closed,50,75,1,1
ell_closed,50,100,1,1
ell_closed,50,125,1,1
ell_closed,50,150,1,1
ell_closed,75,-150,1,1
ell_closed,75,-125,1,1
ell_closed,75,-100,1,1
ell_closed,75,-75,1,1
ell_closed,75,-50,1,1
ell_closed,75,-25,1,1
ell_closed,75,0,0,0
ell_closed,75,25,0,0
ell_closed,75,50,1,1
ell_closed,75,75,1,1
ell_closed,75,100,1,1
ell_closed,75,125,1,1
ell_closed,75,150,1,1
ell_closed,100,-150,1,1
ell_closed,100,-125,1,1
ell_closed,100,-100,1,1
ell_closed,100,-75,1,1
ell_closed,100,-50,1,1
ell_closed,100,-25,1,1
ell_closed,100,0,1,1
ell_closed,100,25,1,1
ell_closed,100,50,1,1
ell_closed,100,75,1,1
ell_closed,100,100,1,1
ell_closed,100,125,1,1
ell_closed,100,150,1,1
ell_closed,125,-150,1,1
ell_closed,125,-125,1,1
ell_closed,125,-100,1,1
ell_closed,125,-75,1,1
ell_closed,125,-50,1,1
ell_closed,125,-25,1,1
ell_closed,125,0,1,1
ell_closed,125,25,1,1
ell_closed,125,50,1,1
ell_closed,125,75,1,1
ell_closed,125,100,1,1
ell_closed,125,125,1,1
ell_closed,125,150,1,1
ell_closed,150,-150,1,1
ell_closed,150,-125,1,1
ell_closed,150,-100,1,1
ell_closed,150,-75,1,1
ell_closed,150,-50,1,1
ell_closed,150,-25,1,1
ell_closed,150,0,1,1
ell_closed,150,25,1,1
ell_closed,150,50,1,1
ell_closed,150,75,1,1
ell_closed,150,100,1,1
ell_closed,150,125,1,1
ell_closed,150,150,1,1
ell_closed,0,0,0,0
ell_closed,0,100,1,1
ell_closed,100,100,1,1
ell_closed,100,0,1,1
ell_closed,50,100,1,1
ell_closed,50,50,1,1
ell_closed,-100,-100,1,1
ell_closed,100,-100,1,1
ell_closed,50,0,0,0
ell_closed,0,50,0,0
ell_closed,100,50,1,1
ell_closed,25,100,1,1
ell_closed,50,25,0,0
ell_closed,75,50,1,1
ell_closed,-100,0,1,1
ell_closed,0,-100,1,1
big_closed,-150,-150,1,1
big_closed,-150,-125,1,1
big_closed,-150,-100,1,1
big_closed,-150,-75,1,1
big_closed,-150,-50,1,1
big_closed,-150,-25,1,1
big_closed,-150,0,1,1
big_closed,-150,25,1,1
big_closed,-150,50,1,1
big_closed,-150,75,1,1
big_closed,-150,100,1,1
big_closed,-150,125,1,1
big_closed,-150,150,1,1
big_closed,-125,-150,1,1
big_closed,-125,-125,1,1
big_closed,-125,-100,1,1
big_closed,-125,-75,1,1
big_closed,-125,-50,1,1
big_closed,-125,-25,1,1
big_closed,-125,0,1,1
big_closed,-125,25,1,1
big_closed,-125,50,1,1
big_closed,-125,75,1,1
big_closed,-125,100,1,1
big_closed,-125,125,1,1
big_closed,-125,150,1,1
big_closed,-100,-150,1,1
big_closed,-100,-125,1,1
big_closed,-100,-100,0,0
big_closed,-100,-75,0,0
big_closed,-100,-50,0,0
big_closed,-100,-25,0,0
big_closed,-100,0,0,0
big_closed,-100,25,0,0
big_closed,-100,50,0,0
big_closed,-100,75,0,0
big_closed,-100,100,1,1
big_closed,-100,125,1,1
big_closed,-100,150,1,1
big_closed,-75,-150,1,1
big_closed,-75,-125,1,1
big_closed,-75,-100,0,0
big_closed,-75,-75,0,0
big_closed,-75,-50,0,0
big_closed,-75,-25,0,0
big_closed,-75,0,0,0
big_closed,-75,25,0,0
big_closed,-75,50,0,0
big_closed,-75,75,0,0
big_closed,-75,100,1,1
big_closed,-75,125,1,1
big_closed,-75,150,1,1
big_closed,-50,-150,1,1
big_closed,-50,-125,1,1
big_closed,-50,-100,0,0
big_closed,-50,-75,0,0
big_closed,-50,-50,0,0
big_closed,-50,-25,0,0
big_closed,-50,0,0,0
big_closed,-50,25,0,0
big_closed,-50,50,0,0
big_closed,-50,75,0,0
big_closed,-50,100,1,1
big_closed,-50,125,1,1
big_closed,-50,150,1,1
big_closed,-25,-150,1,1
big_closed,-25,-125,1,1
big_closed,-25,-100,0,0
big_closed,-25,-75,0,0
big_closed,-25,-50,0,0
big_closed,-25,-25,0,0
big_closed,-25,0,0,0
big_closed,-25,25,0,0
big_closed,-25,50,0,0
big_closed,-25,75,0,0
big_closed,-25,100,1,1
big_closed,-25,125,1,1
big_closed,-25,150,1,1
big_closed,0,-150,1,1
big_closed,0,-125,1,1
big_closed,0,-100,0,0
big_closed,0,-75,0,0
big_closed,0,-50,0,0
big_closed,0,-25,0,0
big_closed,0,0,0,0
big_closed,0,25,0,0
big_closed,0,50,0,0
big_closed,0,75,0,0
big_closed,0,100,1,1
big_closed,0,125,1,1
big_closed,0,150,1,1
big_closed,25,-150,1,1
big_closed,25,-125,1,1
big_closed,25,-100,0,0
big_closed,25,-75,0,0
big_closed,25,-50,0,0
big_closed,25,-25,0,0
big_closed,25,0,0,0
big_closed,25,25,0,0
big_closed,25,50,0,0
big_closed,25,75,0,0
big_closed,25,100,1,1
big_closed,25,125,1,1
big_closed,25,150,1,1
big_closed,50,-150,1,1
big_closed,50,-125,1,1
big_closed,50,-100,0,0
big_closed,50,-75,0,0
big_closed,50,-50,0,0
big_closed,50,-25,0,0
big_closed,50,0,0,0
big_closed,50,25,0,0
big_closed,50,50,0,0
big_closed,50,75,0,0
big_closed,50,100,1,1
big_closed,50,125,1,1
big_closed,50,150,1,1
big_closed,75,-150,1,1
big_closed,75,-125,1,1
big_closed,75,-100,0,0
big_closed,75,-75,0,0
big_closed,75,-50,0,0
big_closed,75,-25,0,0
big_closed,75,0,0,0
big_closed,75,25,0,0
big_closed,75,50,0,0
big_closed,75,75,0,0
big_closed,75,100,1,1
big_closed,75,125,1,1
big_closed,75,150,1,1
big_closed,100,-150,1,1
big_closed,100,-125,1,1
big_closed,100,-100,1,1
big_closed,100,-75,1,1
big_closed,100,-50,1,1
big_closed,100,-25,1,1
big_closed,100,0,1,1
big_closed,100,25,1,1
big_closed,100,50,1,1
big_closed,100,75,1,1
big_closed,100,100,1,1
big_closed,100,125,1,1
big_closed,100,150,1,1
big_closed,125,-150,1,1
big_closed,125,-125,1,1
big_closed,125,-100,1,1
big_closed,125,-75,1,1
big_closed,125,-50,1,1
big_closed,125,-25,1,1
big_closed,125,0,1,1
big_closed,125,25,1,1
big_closed,125,50,1,1
big_closed,125,75,1,1
big_closed,125,100,1,1
big_closed,125,125,1,1
big_closed,125,150,1,1
big_closed,150,-150,1,1
big_closed,150,-125,1,1
big_closed,150,-100,1,1
big_closed,150,-75,1,1
big_closed,150,-50,1,1
big_closed,150,-25,1,1
big_closed,150,0,1,1
big_closed,150,25,1,1
big_closed,150,50,1,1
big_closed,150,75,1,1
big_closed,150,100,1,1
big_closed,150,125,1,1
big_closed,150,150,1,1
big_closed,0,0,0,0
