kind,a,b,c,d,e,f,g,h
scale,0,1,,,,,,
scale,-353632621,0.81549906730651855,,,,,,
scale,-353642621,0.81548899412155151,,,,,,
scale,376194500,0.79208248853683472,,,,,,
scale,900000000,0.0099999997764825821,,,,,,
scale,-900000000,0.0099999997764825821,,,,,,
scale,0,1,,,,,,
scale,0,1,,,,,,
scale,450000000,0.7071068286895752,,,,,,
scale,450000000,0.7071068286895752,,,,,,
scale,100000,1,,,,,,
scale,-1,1,,,,,,
pair,-353642621,1491662374,900000000,0,-1491662374,13955405,-14753125,5.470007631341737,31341
pair,-353642621,1491662374,-900000000,0,-1491662374,-6081987,-7620484,4.0388013673450143,23141
pair,-353642621,1491662374,0,1799999999,308337625,3936708.75,3270220.75,0.69318168141061542,3972
pair,-353642621,1491662374,0,-1799999999,308337627,3936708.75,3270220.75,0.69318168459881013,3972
pair,-353642621,1491662374,450000000,1799999000,308336626,8946057,3420240.25,0.36517116041125131,2092
pair,-353642621,1491662374,450000000,-1799999000,308338626,8946057,3420262.25,0.3651733240337709,2092
pair,-353642621,1491662374,100000,100000,-1491562374,3937822,-15819910,4.9563469729690208,28398
pair,-353642621,1491662374,-1,-1,-1491662375,3936708.75,-15820531,4.9562715091460241,28397
pair,376194500,-1224280000,0,0,1224280000,-4187753.75,12900705,1.8846794084741998,10798
pair,376194500,-1224280000,-353632621,1491652374,-884067626,-8124351.5,-9839431,4.0221766635955252,23045
pair,376194500,-1224280000,-353642621,1491662374,-884057626,-8124462.5,-9839321,4.0221644703065778,23045
pair,376194500,-1224280000,376194500,-1224280000,0,0,0,1.5707963705062866,9000
pair,376194500,-1224280000,900000000,0,1224280000,5830942.5,6015006.5,0.80093508670247138,4589
pair,376194500,-1224280000,-900000000,0,1224280000,-14206450,12229347,2.4308444353172245,13928
pair,376194500,-1224280000,0,1799999999,-575720001,-4187753.75,-6066581,4.1082036356607654,23538
pair,376194500,-1224280000,0,-1799999999,-575719999,-4187753.75,-6066581,4.1082036340366432,23538
pair,376194500,-1224280000,450000000,1799999000,-575721000,821594.375,-4814028.5,4.881427249431697,27969
pair,376194500,-1224280000,450000000,-1799999000,-575719000,821594.375,-4814011.5,4.8814278255333683,27969
pair,376194500,-1224280000,100000,100000,1224380000,-4186640.5,12901375,1.884586089123502,10798
pair,376194500,-1224280000,-1,-1,1224279999,-4187753.75,12900704,1.8846794094530117,10798
pair,900000000,0,0,0,0,-10018696,0,3.1415926973011832,18000
pair,900000000,0,-353632621,1491652374,1491652374,-13955294,14752960,2.3284164114377202,13341
pair,900000000,0,-353642621,1491662374,1491662374,-13955405,14753125,2.3284148029063836,13341
pair,900000000,0,376194500,-1224280000,-1224280000,-5830942.5,-6015006.5,3.9425277402922645,22589
pair,900000000,0,900000000,0,0,0,0,1.5707963705062866,9000
pair,900000000,0,-900000000,0,0,-20037392,0,3.1415926973011832,18000
pair,900000000,0,0,1799999999,1799999999,-10018696,14168577,2.1862760475364218,12526
pair,900000000,0,0,-1799999999,-1799999999,-10018696,-14168577,4.0969093470659441,23474
pair,900000000,0,450000000,1799999000,1799999000,-5009348,7667973,2.1494752366200247,12316
pair,900000000,0,450000000,-1799999000,-1799999000,-5009348,-7667973,4.1337101579823416,23684
pair,900000000,0,100000,100000,100000,-10017583,787.074463,3.1415141280071479,18000
pair,900000000,0,-1,-1,-1,-10018696,-0.0078714313,3.1415926980868578,18000
pair,-900000000,0,0,0,0,10018696,0,4.3711390063094768e-08,0
pair,-900000000,0,-353632621,1491652374,1491652374,6082098.5,7620561.5,0.89720475354064311,5141
pair,-900000000,0,-353642621,1491662374,1491662374,6081987,7620484,0.89720871375522082,5141
pair,-900000000,0,376194500,-1224280000,-1224280000,14206450,-12229347,5.5724372637525779,31928
pair,-900000000,0,900000000,0,0,20037392,0,4.3711390063094768e-08,0
pair,-900000000,0,-900000000,0,0,0,0,1.5707963705062866,9000
pair,-900000000,0,0,1799999999,1799999999,10018696,14168577,0.95531669347615145,5474
pair,-900000000,0,0,-1799999999,-1799999999,10018696,-14168577,5.3278688759717756,30526
pair,-900000000,0,450000000,1799999000,1799999000,15028044,18512126,0.88890487825253262,5093
pair,-900000000,0,450000000,-1799999000,-1799999000,15028044,-18512126,5.3942806911953944,30907
pair,-900000000,0,100000,100000,100000,10019809,787.211792,7.8609255055317462e-05,0
pair,-900000000,0,-1,-1,-1,10018696,-0.0078714313,4.292571564867842e-08,0
pair,0,1799999999,0,0,-1799999999,0,-20037392,4.7123890240960797,27000
pair,0,1799999999,-353632621,1491652374,-308347625,-3936597.25,-3270335.5,3.8348055271205292,21972
pair,0,1799999999,-353642621,1491662374,-308337625,-3936708.75,-3270220.75,3.8347743350004087,21972
pair,0,1799999999,376194500,-1224280000,575720001,4187753.75,6066581,0.96661098207097196,5538
pair,0,1799999999,900000000,0,-1799999999,10018696,-14168577,5.3278688759717756,30526
pair,0,1799999999,-900000000,0,-1799999999,-10018696,-14168577,4.0969093470659441,23474
pair,0,1799999999,0,1799999999,0,0,0,1.5707963705062866,9000
pair,0,1799999999,0,-1799999999,2,0,0.0222637691,1.5707963705062866,9000
pair,0,1799999999,450000000,1799999000,-999,5009348,-10.2742357,6.2831834747239022,36000
pair,0,1799999999,450000000,-1799999000,1001,5009348,10.2948055,2.0988301556723599e-06,0
pair,0,1799999999,100000,100000,-1799899999,1113.18848,-20036280,4.7124447575837607,27000
pair,0,1799999999,-1,-1,-1800000000,-0.0111318845,-20037392,4.7123890235405241,27000
pair,0,-1799999999,0,0,1799999999,0,20037392,1.5707963705062866,9000
pair,0,-1799999999,-353632621,1491652374,-308347627,-3936597.25,-3270335.5,3.8348055303086577,21972
pair,0,-1799999999,-353642621,1491662374,-308337627,-3936708.75,-3270220.75,3.8347743381886032,21972
pair,0,-1799999999,376194500,-1224280000,575719999,4187753.75,6066581,0.96661098044684979,5538
pair,0,-1799999999,900000000,0,1799999999,10018696,14168577,0.95531669347615145,5474
pair,0,-1799999999,-900000000,0,1799999999,-10018696,14168577,2.1862760475364218,12526
pair,0,-1799999999,0,1799999999,-2,0,-0.0222637691,4.7123890240960797,27000
pair,0,-1799999999,0,-1799999999,0,0,0,1.5707963705062866,9000
pair,0,-1799999999,450000000,1799999000,-1001,5009348,-10.2948055,6.2831834706177707,36000
pair,0,-1799999999,450000000,-1799999000,999,5009348,10.2742357,2.0947240242374932e-06,0
pair,0,-1799999999,100000,100000,-1799900001,1113.18848,-20036280,4.7124447575836985,27000
pair,0,-1799999999,-1,-1,1799999998,-0.0111318845,20037392,1.5707963710618422,9000
pair,450000000,1799999000,0,0,-1799999000,-5009348,-18512126,4.4481197278112754,25486
pair,450000000,1799999000,-353632621,1491652374,-308346626,-8945946,-3420348.5,3.5067785431803538,20092
pair,450000000,1799999000,-353642621,1491662374,-308336626,-8946057,-3420240.25,3.5067638140010446,20092
pair,450000000,1799999000,376194500,-1224280000,575721000,-821594.375,4814028.5,1.7398344209963432,9969
pair,450000000,1799999000,900000000,0,-1799999000,5009348,-7667973,5.2910680650553781,30316
pair,450000000,1799999000,-900000000,0,-1799999000,-15028044,-18512126,4.0304975318423253,23093
pair,450000000,1799999000,0,1799999999,999,-5009348,10.2742357,3.1415906462885488,18000
pair,450000000,1799999000,0,-1799999999,1001,-5009348,10.2948055,3.1415906421824173,18000
pair,450000000,1799999000,450000000,1799999000,0,0,0,1.5707963705062866,9000
pair,450000000,1799999000,450000000,-1799999000,2000,0,15.7428637,1.5707963705062866,9000
pair,450000000,1799999000,100000,100000,-1799899000,-5008235,-18510428,4.4481526283415285,25486
pair,450000000,1799999000,-1,-1,-1799999001,-5009348,-18512126,4.4481197274336992,25486
pair,450000000,-1799999000,0,0,1799999000,-5009348,18512126,1.835065666791091,10514
pair,450000000,-1799999000,-353632621,1491652374,-308348626,-8945946,-3420371,3.5067807068038732,20092
pair,450000000,-1799999000,-353642621,1491662374,-308338626,-8946057,-3420262.25,3.506765977623564,20092
pair,450000000,-1799999000,376194500,-1224280000,575719000,-821594.375,4814011.5,1.7398349970980156,9969
pair,450000000,-1799999000,900000000,0,1799999000,5009348,7667973,0.99211750439254831,5684
pair,450000000,-1799999000,-900000000,0,1799999000,-15028044,18512126,2.2526878627600406,12907
pair,450000000,-1799999000,0,1799999999,-1001,-5009348,-10.2948055,3.141594752419949,18000
pair,450000000,-1799999000,0,-1799999999,-999,-5009348,-10.2742357,3.1415947483138176,18000
pair,450000000,-1799999000,450000000,1799999000,-2000,0,-15.7428637,4.7123890240960797,27000
pair,450000000,-1799999000,450000000,-1799999000,0,0,0,1.5707963705062866,9000
pair,450000000,-1799999000,100000,100000,-1799901000,-5008235,-18510448,4.4481529084764393,25486
pair,450000000,-1799999000,-1,-1,1799998999,-5009348,18512126,1.8350656674488182,10514
pair,100000,100000,0,0,-100000,-1113.18848,-1113.18848,3.9269908606986315,22500
pair,100000,100000,-353632621,1491652374,1491552374,-3937710.5,15819848,1.8147484298598957,10398
pair,100000,100000,-353642621,1491662374,1491562374,-3937822,15819910,1.8147541445336672,10398
pair,100000,100000,376194500,-1224280000,-1224380000,4186640.5,-12901375,5.0261789175588554,28798
pair,100000,100000,900000000,0,-100000,10017583,-787.074463,6.2831069564425004,36000
pair,100000,100000,-900000000,0,-100000,-10019809,-787.211792,3.1416712628448487,18000
pair,100000,100000,0,1799999999,1799899999,-1113.18848,20036280,1.5708519291484071,9000
pair,100000,100000,0,-1799999999,1799900001,-1113.18848,20036280,1.5708519291483454,9000
pair,100000,100000,450000000,1799999000,1799899000,5008235,18510428,1.3065599747517358,7486
pair,100000,100000,450000000,-1799999000,1799901000,5008235,18510448,1.3065602548866455,7486
pair,100000,100000,100000,100000,0,0,0,1.5707963705062866,9000
pair,100000,100000,-1,-1,-100001,-1113.19958,-1113.19958,3.9269908606986315,22500
pair,-1,-1,0,0,1,0.0111318845,0.0111318845,0.78539820710883834,4500
pair,-1,-1,-353632621,1491652374,1491652375,-3936597.25,15820468,1.8146729808508753,10397
pair,-1,-1,-353642621,1491662374,1491662375,-3936708.75,15820531,1.8146786807106703,10397
pair,-1,-1,376194500,-1224280000,-1224279999,4187753.75,-12900704,5.0262722378883655,28798
pair,-1,-1,900000000,0,1,10018696,0.0078714313,4.4497064255466512e-08,0
pair,-1,-1,-900000000,0,1,-10018696,0.0078714313,3.141592696515509,18000
pair,-1,-1,0,1799999999,1800000000,0.0111318845,20037392,1.570796369950731,9000
pair,-1,-1,0,-1799999999,-1799999998,0.0111318845,-20037392,4.7123891994971956,27000
pair,-1,-1,450000000,1799999000,1799999001,5009348,18512126,1.3065270738439063,7486
pair,-1,-1,450000000,-1799999000,-1799998999,5009348,-18512126,4.9766584958841715,28514
pair,-1,-1,100000,100000,100001,1113.19958,1113.19958,0.78539820710883834,4500
pair,-1,-1,-1,-1,0,0,0,1.5707963705062866,9000
