#agl
idx,rf_ok,rf_value,initialised,terrain_ok,terrain_value,loc_alt_cm,out
70,0,0,1,0,1095237632,-450,3230662656
71,0,0,0,0,1095237632,0,0
72,0,0,1,0,1095237632,37,1052602532
73,0,0,1,0,1095237632,1200,1094713344
74,0,0,1,0,1095237632,250000,1159479296
75,0,0,1,1,3217031168,-450,3217031168
76,0,0,0,1,3217031168,0,0
77,0,0,1,1,3217031168,37,3217031168
78,0,0,1,1,3217031168,1200,3217031168
79,0,0,1,1,3217031168,250000,3217031168
80,0,0,1,1,0,-450,0
81,0,0,0,1,0,0,0
82,0,0,1,1,0,37,0
83,0,0,1,1,0,1200,0
84,0,0,1,1,0,250000,0
85,0,0,1,1,1095237632,-450,1095237632
86,0,0,0,1,1095237632,0,0
87,0,0,1,1,1095237632,37,1095237632
88,0,0,1,1,1095237632,1200,1095237632
89,0,0,1,1,1095237632,250000,1095237632
90,0,0,1,0,3217031168,-450,3230662656
91,0,0,1,0,3217031168,0,0
92,0,0,1,0,3217031168,37,1052602532
93,0,0,1,0,3217031168,1200,1094713344
94,0,0,1,0,3217031168,250000,1159479296
95,0,0,1,0,0,-450,3230662656
96,0,0,1,0,0,0,0
97,0,0,1,0,0,37,1052602532
98,0,0,1,0,0,1200,1094713344
99,0,0,1,0,0,250000,1159479296
100,0,0,1,0,1095237632,-450,3230662656
101,0,0,1,0,1095237632,0,0
102,0,0,1,0,1095237632,37,1052602532
103,0,0,1,0,1095237632,1200,1094713344
104,0,0,1,0,1095237632,250000,1159479296
105,0,0,1,1,3217031168,-450,3217031168
106,0,0,1,1,3217031168,0,3217031168
107,0,0,1,1,3217031168,37,3217031168
108,0,0,1,1,3217031168,1200,3217031168
109,0,0,1,1,3217031168,250000,3217031168
110,0,0,1,1,0,-450,0
111,0,0,1,1,0,0,0
112,0,0,1,1,0,37,0
113,0,0,1,1,0,1200,0
114,0,0,1,1,0,250000,0
115,0,0,1,1,1095237632,-450,1095237632
116,0,0,1,1,1095237632,0,1095237632
117,0,0,1,1,1095237632,37,1095237632
118,0,0,1,1,1095237632,1200,1095237632
119,0,0,1,1,1095237632,250000,1095237632
120,0,1088946176,1,0,3217031168,-450,3230662656
121,0,1088946176,0,0,3217031168,0,0
122,0,1088946176,1,0,3217031168,37,1052602532
123,0,1088946176,1,0,3217031168,1200,1094713344
124,0,1088946176,1,0,3217031168,250000,1159479296
125,0,1088946176,1,0,0,-450,3230662656
126,0,1088946176,0,0,0,0,0
127,0,1088946176,1,0,0,37,1052602532
128,0,1088946176,1,0,0,1200,1094713344
129,0,1088946176,1,0,0,250000,1159479296
130,0,1088946176,1,0,1095237632,-450,3230662656
131,0,1088946176,0,0,1095237632,0,0
132,0,1088946176,1,0,1095237632,37,1052602532
133,0,1088946176,1,0,1095237632,1200,1094713344
134,0,1088946176,1,0,1095237632,250000,1159479296
135,0,1088946176,1,1,3217031168,-450,3217031168
136,0,1088946176,0,1,3217031168,0,0
137,0,1088946176,1,1,3217031168,37,3217031168
138,0,1088946176,1,1,3217031168,1200,3217031168
139,0,1088946176,1,1,3217031168,250000,3217031168
140,0,1088946176,1,1,0,-450,0
141,0,1088946176,0,1,0,0,0
142,0,1088946176,1,1,0,37,0
143,0,1088946176,1,1,0,1200,0
144,0,1088946176,1,1,0,250000,0
145,0,1088946176,1,1,1095237632,-450,1095237632
146,0,1088946176,0,1,1095237632,0,0
147,0,1088946176,1,1,1095237632,37,1095237632
148,0,1088946176,1,1,1095237632,1200,1095237632
149,0,1088946176,1,1,1095237632,250000,1095237632
150,0,1088946176,1,0,3217031168,-450,3230662656
151,0,1088946176,1,0,3217031168,0,0
152,0,1088946176,1,0,3217031168,37,1052602532
153,0,1088946176,1,0,3217031168,1200,1094713344
154,0,1088946176,1,0,3217031168,250000,1159479296
155,0,1088946176,1,0,0,-450,3230662656
156,0,1088946176,1,0,0,0,0
157,0,1088946176,1,0,0,37,1052602532
158,0,1088946176,1,0,0,1200,1094713344
159,0,1088946176,1,0,0,250000,1159479296
160,0,1088946176,1,0,1095237632,-450,3230662656
161,0,1088946176,1,0,1095237632,0,0
162,0,1088946176,1,0,1095237632,37,1052602532
163,0,1088946176,1,0,1095237632,1200,1094713344
164,0,1088946176,1,0,1095237632,250000,1159479296
165,0,1088946176,1,1,3217031168,-450,3217031168
166,0,1088946176,1,1,3217031168,0,3217031168
167,0,1088946176,1,1,3217031168,37,3217031168
168,0,1088946176,1,1,3217031168,1200,3217031168
169,0,1088946176,1,1,3217031168,250000,3217031168
170,0,1088946176,1,1,0,-450,0
171,0,1088946176,1,1,0,0,0
172,0,1088946176,1,1,0,37,0
173,0,1088946176,1,1,0,1200,0
174,0,1088946176,1,1,0,250000,0
175,0,1088946176,1,1,1095237632,-450,1095237632
176,0,1088946176,1,1,1095237632,0,1095237632
177,0,1088946176,1,1,1095237632,37,1095237632
178,0,1088946176,1,1,1095237632,1200,1095237632
179,0,1088946176,1,1,1095237632,250000,1095237632
180,1,3223322624,1,0,3217031168,-450,3223322624
181,1,3223322624,0,0,3217031168,0,3223322624
182,1,3223322624,1,0,3217031168,37,3223322624
183,1,3223322624,1,0,3217031168,1200,3223322624
184,1,3223322624,1,0,3217031168,250000,3223322624
185,1,3223322624,1,0,0,-450,3223322624
186,1,3223322624,0,0,0,0,3223322624
187,1,3223322624,1,0,0,37,3223322624
188,1,3223322624,1,0,0,1200,3223322624
189,1,3223322624,1,0,0,250000,3223322624
190,1,3223322624,1,0,1095237632,-450,3223322624
191,1,3223322624,0,0,1095237632,0,3223322624
192,1,3223322624,1,0,1095237632,37,3223322624
193,1,3223322624,1,0,1095237632,1200,3223322624
194,1,3223322624,1,0,1095237632,250000,3223322624
195,1,3223322624,1,1,3217031168,-450,3223322624
196,1,3223322624,0,1,3217031168,0,3223322624
197,1,3223322624,1,1,3217031168,37,3223322624
198,1,3223322624,1,1,3217031168,1200,3223322624
199,1,3223322624,1,1,3217031168,250000,3223322624
200,1,3223322624,1,1,0,-450,3223322624
201,1,3223322624,0,1,0,0,3223322624
202,1,3223322624,1,1,0,37,3223322624
203,1,3223322624,1,1,0,1200,3223322624
204,1,3223322624,1,1,0,250000,3223322624
205,1,3223322624,1,1,1095237632,-450,3223322624
206,1,3223322624,0,1,1095237632,0,3223322624
207,1,3223322624,1,1,1095237632,37,3223322624
208,1,3223322624,1,1,1095237632,1200,3223322624
209,1,3223322624,1,1,1095237632,250000,3223322624
210,1,3223322624,1,0,3217031168,-450,3223322624
211,1,3223322624,1,0,3217031168,0,3223322624
212,1,3223322624,1,0,3217031168,37,3223322624
213,1,3223322624,1,0,3217031168,1200,3223322624
214,1,3223322624,1,0,3217031168,250000,3223322624
215,1,3223322624,1,0,0,-450,3223322624
216,1,3223322624,1,0,0,0,3223322624
217,1,3223322624,1,0,0,37,3223322624
218,1,3223322624,1,0,0,1200,3223322624
219,1,3223322624,1,0,0,250000,3223322624
220,1,3223322624,1,0,1095237632,-450,3223322624
221,1,3223322624,1,0,1095237632,0,3223322624
222,1,3223322624,1,0,1095237632,37,3223322624
223,1,3223322624,1,0,1095237632,1200,3223322624
224,1,3223322624,1,0,1095237632,250000,3223322624
225,1,3223322624,1,1,3217031168,-450,3223322624
226,1,3223322624,1,1,3217031168,0,3223322624
227,1,3223322624,1,1,3217031168,37,3223322624
228,1,3223322624,1,1,3217031168,1200,3223322624
229,1,3223322624,1,1,3217031168,250000,3223322624
230,1,3223322624,1,1,0,-450,3223322624
231,1,3223322624,1,1,0,0,3223322624
232,1,3223322624,1,1,0,37,3223322624
233,1,3223322624,1,1,0,1200,3223322624
234,1,3223322624,1,1,0,250000,3223322624
235,1,3223322624,1,1,1095237632,-450,3223322624
236,1,3223322624,1,1,1095237632,0,3223322624
237,1,3223322624,1,1,1095237632,37,3223322624
238,1,3223322624,1,1,1095237632,1200,3223322624
239,1,3223322624,1,1,1095237632,250000,3223322624
240,1,0,1,0,3217031168,-450,0
241,1,0,0,0,3217031168,0,0
242,1,0,1,0,3217031168,37,0
243,1,0,1,0,3217031168,1200,0
244,1,0,1,0,3217031168,250000,0
245,1,0,1,0,0,-450,0
246,1,0,0,0,0,0,0
247,1,0,1,0,0,37,0
248,1,0,1,0,0,1200,0
249,1,0,1,0,0,250000,0
250,1,0,1,0,1095237632,-450,0
251,1,0,0,0,1095237632,0,0
252,1,0,1,0,1095237632,37,0
253,1,0,1,0,1095237632,1200,0
254,1,0,1,0,1095237632,250000,0
255,1,0,1,1,3217031168,-450,0
256,1,0,0,1,3217031168,0,0
257,1,0,1,1,3217031168,37,0
258,1,0,1,1,3217031168,1200,0
259,1,0,1,1,3217031168,250000,0
260,1,0,1,1,0,-450,0
261,1,0,0,1,0,0,0
262,1,0,1,1,0,37,0
263,1,0,1,1,0,1200,0
264,1,0,1,1,0,250000,0
265,1,0,1,1,1095237632,-450,0
266,1,0,0,1,1095237632,0,0
267,1,0,1,1,1095237632,37,0
268,1,0,1,1,1095237632,1200,0
269,1,0,1,1,1095237632,250000,0
270,1,0,1,0,3217031168,-450,0
271,1,0,1,0,3217031168,0,0
272,1,0,1,0,3217031168,37,0
273,1,0,1,0,3217031168,1200,0
274,1,0,1,0,3217031168,250000,0
275,1,0,1,0,0,-450,0
276,1,0,1,0,0,0,0
277,1,0,1,0,0,37,0
278,1,0,1,0,0,1200,0
279,1,0,1,0,0,250000,0
280,1,0,1,0,1095237632,-450,0
281,1,0,1,0,1095237632,0,0
282,1,0,1,0,1095237632,37,0
283,1,0,1,0,1095237632,1200,0
284,1,0,1,0,1095237632,250000,0
285,1,0,1,1,3217031168,-450,0
286,1,0,1,1,3217031168,0,0
287,1,0,1,1,3217031168,37,0
288,1,0,1,1,3217031168,1200,0
289,1,0,1,1,3217031168,250000,0
290,1,0,1,1,0,-450,0
291,1,0,1,1,0,0,0
292,1,0,1,1,0,37,0
293,1,0,1,1,0,1200,0
294,1,0,1,1,0,250000,0
295,1,0,1,1,1095237632,-450,0
296,1,0,1,1,1095237632,0,0
297,1,0,1,1,1095237632,37,0
298,1,0,1,1,1095237632,1200,0
299,1,0,1,1,1095237632,250000,0
300,1,1088946176,1,0,3217031168,-450,1088946176
301,1,1088946176,0,0,3217031168,0,1088946176
302,1,1088946176,1,0,3217031168,37,1088946176
303,1,1088946176,1,0,3217031168,1200,1088946176
304,1,1088946176,1,0,3217031168,250000,1088946176
305,1,1088946176,1,0,0,-450,1088946176
306,1,1088946176,0,0,0,0,1088946176
307,1,1088946176,1,0,0,37,1088946176
308,1,1088946176,1,0,0,1200,1088946176
309,1,1088946176,1,0,0,250000,1088946176
310,1,1088946176,1,0,1095237632,-450,1088946176
311,1,1088946176,0,0,1095237632,0,1088946176
312,1,1088946176,1,0,1095237632,37,1088946176
313,1,1088946176,1,0,1095237632,1200,1088946176
314,1,1088946176,1,0,1095237632,250000,1088946176
315,1,1088946176,1,1,3217031168,-450,1088946176
316,1,1088946176,0,1,3217031168,0,1088946176
317,1,1088946176,1,1,3217031168,37,1088946176
318,1,1088946176,1,1,3217031168,1200,1088946176
319,1,1088946176,1,1,3217031168,250000,1088946176
320,1,1088946176,1,1,0,-450,1088946176
321,1,1088946176,0,1,0,0,1088946176
322,1,1088946176,1,1,0,37,1088946176
323,1,1088946176,1,1,0,1200,1088946176
324,1,1088946176,1,1,0,250000,1088946176
325,1,1088946176,1,1,1095237632,-450,1088946176
326,1,1088946176,0,1,1095237632,0,1088946176
327,1,1088946176,1,1,1095237632,37,1088946176
328,1,1088946176,1,1,1095237632,1200,1088946176
329,1,1088946176,1,1,1095237632,250000,1088946176
330,1,1088946176,1,0,3217031168,-450,1088946176
331,1,1088946176,1,0,3217031168,0,1088946176
332,1,1088946176,1,0,3217031168,37,1088946176
333,1,1088946176,1,0,3217031168,1200,1088946176
334,1,1088946176,1,0,3217031168,250000,1088946176
335,1,1088946176,1,0,0,-450,1088946176
336,1,1088946176,1,0,0,0,1088946176
337,1,1088946176,1,0,0,37,1088946176
338,1,1088946176,1,0,0,1200,1088946176
339,1,1088946176,1,0,0,250000,1088946176
340,1,1088946176,1,0,1095237632,-450,1088946176
341,1,1088946176,1,0,1095237632,0,1088946176
342,1,1088946176,1,0,1095237632,37,1088946176
343,1,1088946176,1,0,1095237632,1200,1088946176
344,1,1088946176,1,0,1095237632,250000,1088946176
345,1,1088946176,1,1,3217031168,-450,1088946176
346,1,1088946176,1,1,3217031168,0,1088946176
347,1,1088946176,1,1,3217031168,37,1088946176
348,1,1088946176,1,1,3217031168,1200,1088946176
349,1,1088946176,1,1,3217031168,250000,1088946176
350,1,1088946176,1,1,0,-450,1088946176
351,1,1088946176,1,1,0,0,1088946176
352,1,1088946176,1,1,0,37,1088946176
353,1,1088946176,1,1,0,1200,1088946176
354,1,1088946176,1,1,0,250000,1088946176
355,1,1088946176,1,1,1095237632,-450,1088946176
356,1,1088946176,1,1,1095237632,0,1088946176
357,1,1088946176,1,1,1095237632,37,1088946176
358,1,1088946176,1,1,1095237632,1200,1088946176
359,1,1088946176,1,1,1095237632,250000,1088946176
