#entry
idx,mode,target_is_current,reason_is_gcs,gcs_enabled,mode_exists,armed,land_complete,new_manual_thr,new_is_drift,cur_manual_thr,pilot_thr,non_takeoff_thr,new_requires_pos,position_ok,ekf_alt_ok,in_rc_failsafe,new_allows_rc_fs,result,reason
66,STABILIZE,0,0,1,1,1,0,1,0,0,0,1043542835,0,0,0,1,0,0,in RC failsafe
67,STABILIZE,1,0,1,1,1,0,1,0,1,0,1043542835,0,0,0,1,0,2,-
68,STABILIZE,0,0,1,1,1,0,1,0,0,0,1043542835,0,0,1,0,0,1,-
69,STABILIZE,1,0,1,1,1,0,1,0,1,0,1043542835,0,0,1,0,0,2,-
70,STABILIZE,0,0,1,1,1,0,1,0,0,0,1043542835,0,0,1,1,0,0,in RC failsafe
71,STABILIZE,1,0,1,1,1,0,1,0,1,0,1043542835,0,0,1,1,0,2,-
72,STABILIZE,0,0,1,1,1,0,1,0,0,0,1043542835,0,1,0,0,0,1,-
73,STABILIZE,1,0,1,1,1,0,1,0,1,0,1043542835,0,1,0,0,0,2,-
74,STABILIZE,0,0,1,1,1,0,1,0,0,0,1043542835,0,1,0,1,0,0,in RC failsafe
75,STABILIZE,1,0,1,1,1,0,1,0,1,0,1043542835,0,1,0,1,0,2,-
76,STABILIZE,0,0,1,1,1,0,1,0,0,0,1043542835,0,1,1,0,0,1,-
77,STABILIZE,1,0,1,1,1,0,1,0,1,0,1043542835,0,1,1,0,0,2,-
78,STABILIZE,0,0,1,1,1,0,1,0,0,0,1043542835,0,1,1,1,0,0,in RC failsafe
79,STABILIZE,1,0,1,1,1,0,1,0,1,0,1043542835,0,1,1,1,0,2,-
80,STABILIZE,0,0,1,1,1,0,1,0,0,1062584790,1043542835,0,0,0,0,0,1,-
81,STABILIZE,1,0,1,1,1,0,1,0,1,1062584790,1043542835,0,0,0,0,0,2,-
82,STABILIZE,0,0,1,1,1,0,1,0,0,1062584790,1043542835,0,0,0,1,0,0,in RC failsafe
83,STABILIZE,1,0,1,1,1,0,1,0,1,1062584790,1043542835,0,0,0,1,0,2,-
84,STABILIZE,0,0,1,1,1,0,1,0,0,1062584790,1043542835,0,0,1,0,0,1,-
85,STABILIZE,1,0,1,1,1,0,1,0,1,1062584790,1043542835,0,0,1,0,0,2,-
86,STABILIZE,0,0,1,1,1,0,1,0,0,1062584790,1043542835,0,0,1,1,0,0,in RC failsafe
87,STABILIZE,1,0,1,1,1,0,1,0,1,1062584790,1043542835,0,0,1,1,0,2,-
88,STABILIZE,0,0,1,1,1,0,1,0,0,1062584790,1043542835,0,1,0,0,0,1,-
89,STABILIZE,1,0,1,1,1,0,1,0,1,1062584790,1043542835,0,1,0,0,0,2,-
90,STABILIZE,0,0,1,1,1,0,1,0,0,1062584790,1043542835,0,1,0,1,0,0,in RC failsafe
91,STABILIZE,1,0,1,1,1,0,1,0,1,1062584790,1043542835,0,1,0,1,0,2,-
92,STABILIZE,0,0,1,1,1,0,1,0,0,1062584790,1043542835,0,1,1,0,0,1,-
93,STABILIZE,1,0,1,1,1,0,1,0,1,1062584790,1043542835,0,1,1,0,0,2,-
94,STABILIZE,0,0,1,1,1,0,1,0,0,1062584790,1043542835,0,1,1,1,0,0,in RC failsafe
95,STABILIZE,1,0,1,1,1,0,1,0,1,1062584790,1043542835,0,1,1,1,0,2,-
96,STABILIZE,0,0,1,1,1,1,1,0,0,0,1043542835,0,0,0,0,0,1,-
97,STABILIZE,1,0,1,1,1,1,1,0,1,0,1043542835,0,0,0,0,0,2,-
98,STABILIZE,0,0,1,1,1,1,1,0,0,0,1043542835,0,0,0,1,0,0,in RC failsafe
99,STABILIZE,1,0,1,1,1,1,1,0,1,0,1043542835,0,0,0,1,0,2,-
100,STABILIZE,0,0,1,1,1,1,1,0,0,0,1043542835,0,0,1,0,0,1,-
101,STABILIZE,1,0,1,1,1,1,1,0,1,0,1043542835,0,0,1,0,0,2,-
102,STABILIZE,0,0,1,1,1,1,1,0,0,0,1043542835,0,0,1,1,0,0,in RC failsafe
103,STABILIZE,1,0,1,1,1,1,1,0,1,0,1043542835,0,0,1,1,0,2,-
104,STABILIZE,0,0,1,1,1,1,1,0,0,0,1043542835,0,1,0,0,0,1,-
105,STABILIZE,1,0,1,1,1,1,1,0,1,0,1043542835,0,1,0,0,0,2,-
106,STABILIZE,0,0,1,1,1,1,1,0,0,0,1043542835,0,1,0,1,0,0,in RC failsafe
107,STABILIZE,1,0,1,1,1,1,1,0,1,0,1043542835,0,1,0,1,0,2,-
108,STABILIZE,0,0,1,1,1,1,1,0,0,0,1043542835,0,1,1,0,0,1,-
109,STABILIZE,1,0,1,1,1,1,1,0,1,0,1043542835,0,1,1,0,0,2,-
110,STABILIZE,0,0,1,1,1,1,1,0,0,0,1043542835,0,1,1,1,0,0,in RC failsafe
111,STABILIZE,1,0,1,1,1,1,1,0,1,0,1043542835,0,1,1,1,0,2,-
112,STABILIZE,0,0,1,1,1,1,1,0,0,1062584790,1043542835,0,0,0,0,0,0,throttle too high
113,STABILIZE,1,0,1,1,1,1,1,0,1,1062584790,1043542835,0,0,0,0,0,2,-
114,STABILIZE,0,0,1,1,1,1,1,0,0,1062584790,1043542835,0,0,0,1,0,0,throttle too high
115,STABILIZE,1,0,1,1,1,1,1,0,1,1062584790,1043542835,0,0,0,1,0,2,-
116,STABILIZE,0,0,1,1,1,1,1,0,0,1062584790,1043542835,0,0,1,0,0,0,throttle too high
117,STABILIZE,1,0,1,1,1,1,1,0,1,1062584790,1043542835,0,0,1,0,0,2,-
118,STABILIZE,0,0,1,1,1,1,1,0,0,1062584790,1043542835,0,0,1,1,0,0,throttle too high
119,STABILIZE,1,0,1,1,1,1,1,0,1,1062584790,1043542835,0,0,1,1,0,2,-
120,STABILIZE,0,0,1,1,1,1,1,0,0,1062584790,1043542835,0,1,0,0,0,0,throttle too high
121,STABILIZE,1,0,1,1,1,1,1,0,1,1062584790,1043542835,0,1,0,0,0,2,-
122,STABILIZE,0,0,1,1,1,1,1,0,0,1062584790,1043542835,0,1,0,1,0,0,throttle too high
123,STABILIZE,1,0,1,1,1,1,1,0,1,1062584790,1043542835,0,1,0,1,0,2,-
124,STABILIZE,0,0,1,1,1,1,1,0,0,1062584790,1043542835,0,1,1,0,0,0,throttle too high
125,STABILIZE,1,0,1,1,1,1,1,0,1,1062584790,1043542835,0,1,1,0,0,2,-
126,STABILIZE,0,0,1,1,1,1,1,0,0,1062584790,1043542835,0,1,1,1,0,0,throttle too high
127,STABILIZE,1,0,1,1,1,1,1,0,1,1062584790,1043542835,0,1,1,1,0,2,-
128,STABILIZE,0,1,1,1,0,0,1,0,0,0,1043542835,0,0,0,0,0,1,-
129,STABILIZE,1,1,1,1,0,0,1,0,1,0,1043542835,0,0,0,0,0,2,-
130,STABILIZE,0,1,1,1,0,0,1,0,0,0,1043542835,0,0,0,1,0,0,in RC failsafe
131,STABILIZE,1,1,1,1,0,0,1,0,1,0,1043542835,0,0,0,1,0,2,-
132,STABILIZE,0,1,1,1,0,0,1,0,0,0,1043542835,0,0,1,0,0,1,-
133,STABILIZE,1,1,1,1,0,0,1,0,1,0,1043542835,0,0,1,0,0,2,-
134,STABILIZE,0,1,1,1,0,0,1,0,0,0,1043542835,0,0,1,1,0,0,in RC failsafe
135,STABILIZE,1,1,1,1,0,0,1,0,1,0,1043542835,0,0,1,1,0,2,-
136,STABILIZE,0,1,1,1,0,0,1,0,0,0,1043542835,0,1,0,0,0,1,-
137,STABILIZE,1,1,1,1,0,0,1,0,1,0,1043542835,0,1,0,0,0,2,-
138,STABILIZE,0,1,1,1,0,0,1,0,0,0,1043542835,0,1,0,1,0,0,in RC failsafe
139,STABILIZE,1,1,1,1,0,0,1,0,1,0,1043542835,0,1,0,1,0,2,-
140,STABILIZE,0,1,1,1,0,0,1,0,0,0,1043542835,0,1,1,0,0,1,-
141,STABILIZE,1,1,1,1,0,0,1,0,1,0,1043542835,0,1,1,0,0,2,-
142,STABILIZE,0,1,1,1,0,0,1,0,0,0,1043542835,0,1,1,1,0,0,in RC failsafe
143,STABILIZE,1,1,1,1,0,0,1,0,1,0,1043542835,0,1,1,1,0,2,-
144,STABILIZE,0,1,1,1,0,0,1,0,0,1062584790,1043542835,0,0,0,0,0,1,-
145,STABILIZE,1,1,1,1,0,0,1,0,1,1062584790,1043542835,0,0,0,0,0,2,-
146,STABILIZE,0,1,1,1,0,0,1,0,0,1062584790,1043542835,0,0,0,1,0,0,in RC failsafe
147,STABILIZE,1,1,1,1,0,0,1,0,1,1062584790,1043542835,0,0,0,1,0,2,-
148,STABILIZE,0,1,1,1,0,0,1,0,0,1062584790,1043542835,0,0,1,0,0,1,-
149,STABILIZE,1,1,1,1,0,0,1,0,1,1062584790,1043542835,0,0,1,0,0,2,-
150,STABILIZE,0,1,1,1,0,0,1,0,0,1062584790,1043542835,0,0,1,1,0,0,in RC failsafe
151,STABILIZE,1,1,1,1,0,0,1,0,1,1062584790,1043542835,0,0,1,1,0,2,-
152,STABILIZE,0,1,1,1,0,0,1,0,0,1062584790,1043542835,0,1,0,0,0,1,-
153,STABILIZE,1,1,1,1,0,0,1,0,1,1062584790,1043542835,0,1,0,0,0,2,-
154,STABILIZE,0,1,1,1,0,0,1,0,0,1062584790,1043542835,0,1,0,1,0,0,in RC failsafe
155,STABILIZE,1,1,1,1,0,0,1,0,1,1062584790,1043542835,0,1,0,1,0,2,-
156,STABILIZE,0,1,1,1,0,0,1,0,0,1062584790,1043542835,0,1,1,0,0,1,-
157,STABILIZE,1,1,1,1,0,0,1,0,1,1062584790,1043542835,0,1,1,0,0,2,-
158,STABILIZE,0,1,1,1,0,0,1,0,0,1062584790,1043542835,0,1,1,1,0,0,in RC failsafe
159,STABILIZE,1,1,1,1,0,0,1,0,1,1062584790,1043542835,0,1,1,1,0,2,-
160,STABILIZE,0,1,1,1,0,1,1,0,0,0,1043542835,0,0,0,0,0,1,-
161,STABILIZE,1,1,1,1,0,1,1,0,1,0,1043542835,0,0,0,0,0,2,-
162,STABILIZE,0,1,1,1,0,1,1,0,0,0,1043542835,0,0,0,1,0,0,in RC failsafe
163,STABILIZE,1,1,1,1,0,1,1,0,1,0,1043542835,0,0,0,1,0,2,-
164,STABILIZE,0,1,1,1,0,1,1,0,0,0,1043542835,0,0,1,0,0,1,-
165,STABILIZE,1,1,1,1,0,1,1,0,1,0,1043542835,0,0,1,0,0,2,-
166,STABILIZE,0,1,1,1,0,1,1,0,0,0,1043542835,0,0,1,1,0,0,in RC failsafe
167,STABILIZE,1,1,1,1,0,1,1,0,1,0,1043542835,0,0,1,1,0,2,-
168,STABILIZE,0,1,1,1,0,1,1,0,0,0,1043542835,0,1,0,0,0,1,-
169,STABILIZE,1,1,1,1,0,1,1,0,1,0,1043542835,0,1,0,0,0,2,-
170,STABILIZE,0,1,1,1,0,1,1,0,0,0,1043542835,0,1,0,1,0,0,in RC failsafe
171,STABILIZE,1,1,1,1,0,1,1,0,1,0,1043542835,0,1,0,1,0,2,-
172,STABILIZE,0,1,1,1,0,1,1,0,0,0,1043542835,0,1,1,0,0,1,-
173,STABILIZE,1,1,1,1,0,1,1,0,1,0,1043542835,0,1,1,0,0,2,-
174,STABILIZE,0,1,1,1,0,1,1,0,0,0,1043542835,0,1,1,1,0,0,in RC failsafe
175,STABILIZE,1,1,1,1,0,1,1,0,1,0,1043542835,0,1,1,1,0,2,-
176,STABILIZE,0,1,1,1,0,1,1,0,0,1062584790,1043542835,0,0,0,0,0,1,-
177,STABILIZE,1,1,1,1,0,1,1,0,1,1062584790,1043542835,0,0,0,0,0,2,-
178,STABILIZE,0,1,1,1,0,1,1,0,0,1062584790,1043542835,0,0,0,1,0,0,in RC failsafe
179,STABILIZE,1,1,1,1,0,1,1,0,1,1062584790,1043542835,0,0,0,1,0,2,-
180,STABILIZE,0,1,1,1,0,1,1,0,0,1062584790,1043542835,0,0,1,0,0,1,-
181,STABILIZE,1,1,1,1,0,1,1,0,1,1062584790,1043542835,0,0,1,0,0,2,-
182,STABILIZE,0,1,1,1,0,1,1,0,0,1062584790,1043542835,0,0,1,1,0,0,in RC failsafe
183,STABILIZE,1,1,1,1,0,1,1,0,1,1062584790,1043542835,0,0,1,1,0,2,-
184,STABILIZE,0,1,1,1,0,1,1,0,0,1062584790,1043542835,0,1,0,0,0,1,-
185,STABILIZE,1,1,1,1,0,1,1,0,1,1062584790,1043542835,0,1,0,0,0,2,-
186,STABILIZE,0,1,1,1,0,1,1,0,0,1062584790,1043542835,0,1,0,1,0,0,in RC failsafe
187,STABILIZE,1,1,1,1,0,1,1,0,1,1062584790,1043542835,0,1,0,1,0,2,-
188,STABILIZE,0,1,1,1,0,1,1,0,0,1062584790,1043542835,0,1,1,0,0,1,-
189,STABILIZE,1,1,1,1,0,1,1,0,1,1062584790,1043542835,0,1,1,0,0,2,-
190,STABILIZE,0,1,1,1,0,1,1,0,0,1062584790,1043542835,0,1,1,1,0,0,in RC failsafe
191,STABILIZE,1,1,1,1,0,1,1,0,1,1062584790,1043542835,0,1,1,1,0,2,-
192,STABILIZE,0,1,1,1,1,0,1,0,0,0,1043542835,0,0,0,0,0,1,-
193,STABILIZE,1,1,1,1,1,0,1,0,1,0,1043542835,0,0,0,0,0,2,-
194,STABILIZE,0,1,1,1,1,0,1,0,0,0,1043542835,0,0,0,1,0,0,in RC failsafe
195,STABILIZE,1,1,1,1,1,0,1,0,1,0,1043542835,0,0,0,1,0,2,-
196,STABILIZE,0,1,1,1,1,0,1,0,0,0,1043542835,0,0,1,0,0,1,-
197,STABILIZE,1,1,1,1,1,0,1,0,1,0,1043542835,0,0,1,0,0,2,-
198,STABILIZE,0,1,1,1,1,0,1,0,0,0,1043542835,0,0,1,1,0,0,in RC failsafe
199,STABILIZE,1,1,1,1,1,0,1,0,1,0,1043542835,0,0,1,1,0,2,-
200,STABILIZE,0,1,1,1,1,0,1,0,0,0,1043542835,0,1,0,0,0,1,-
201,STABILIZE,1,1,1,1,1,0,1,0,1,0,1043542835,0,1,0,0,0,2,-
202,STABILIZE,0,1,1,1,1,0,1,0,0,0,1043542835,0,1,0,1,0,0,in RC failsafe
203,STABILIZE,1,1,1,1,1,0,1,0,1,0,1043542835,0,1,0,1,0,2,-
204,STABILIZE,0,1,1,1,1,0,1,0,0,0,1043542835,0,1,1,0,0,1,-
205,STABILIZE,1,1,1,1,1,0,1,0,1,0,1043542835,0,1,1,0,0,2,-
206,STABILIZE,0,1,1,1,1,0,1,0,0,0,1043542835,0,1,1,1,0,0,in RC failsafe
207,STABILIZE,1,1,1,1,1,0,1,0,1,0,1043542835,0,1,1,1,0,2,-
208,STABILIZE,0,1,1,1,1,0,1,0,0,1062584790,1043542835,0,0,0,0,0,1,-
209,STABILIZE,1,1,1,1,1,0,1,0,1,1062584790,1043542835,0,0,0,0,0,2,-
210,STABILIZE,0,1,1,1,1,0,1,0,0,1062584790,1043542835,0,0,0,1,0,0,in RC failsafe
211,STABILIZE,1,1,1,1,1,0,1,0,1,1062584790,1043542835,0,0,0,1,0,2,-
212,STABILIZE,0,1,1,1,1,0,1,0,0,1062584790,1043542835,0,0,1,0,0,1,-
213,STABILIZE,1,1,1,1,1,0,1,0,1,1062584790,1043542835,0,0,1,0,0,2,-
214,STABILIZE,0,1,1,1,1,0,1,0,0,1062584790,1043542835,0,0,1,1,0,0,in RC failsafe
215,STABILIZE,1,1,1,1,1,0,1,0,1,1062584790,1043542835,0,0,1,1,0,2,-
216,STABILIZE,0,1,1,1,1,0,1,0,0,1062584790,1043542835,0,1,0,0,0,1,-
217,STABILIZE,1,1,1,1,1,0,1,0,1,1062584790,1043542835,0,1,0,0,0,2,-
218,STABILIZE,0,1,1,1,1,0,1,0,0,1062584790,1043542835,0,1,0,1,0,0,in RC failsafe
219,STABILIZE,1,1,1,1,1,0,1,0,1,1062584790,1043542835,0,1,0,1,0,2,-
220,STABILIZE,0,1,1,1,1,0,1,0,0,1062584790,1043542835,0,1,1,0,0,1,-
221,STABILIZE,1,1,1,1,1,0,1,0,1,1062584790,1043542835,0,1,1,0,0,2,-
222,STABILIZE,0,1,1,1,1,0,1,0,0,1062584790,1043542835,0,1,1,1,0,0,in RC failsafe
223,STABILIZE,1,1,1,1,1,0,1,0,1,1062584790,1043542835,0,1,1,1,0,2,-
224,STABILIZE,0,1,1,1,1,1,1,0,0,0,1043542835,0,0,0,0,0,1,-
225,STABILIZE,1,1,1,1,1,1,1,0,1,0,1043542835,0,0,0,0,0,2,-
226,STABILIZE,0,1,1,1,1,1,1,0,0,0,1043542835,0,0,0,1,0,0,in RC failsafe
227,STABILIZE,1,1,1,1,1,1,1,0,1,0,1043542835,0,0,0,1,0,2,-
228,STABILIZE,0,1,1,1,1,1,1,0,0,0,1043542835,0,0,1,0,0,1,-
229,STABILIZE,1,1,1,1,1,1,1,0,1,0,1043542835,0,0,1,0,0,2,-
230,STABILIZE,0,1,1,1,1,1,1,0,0,0,1043542835,0,0,1,1,0,0,in RC failsafe
231,STABILIZE,1,1,1,1,1,1,1,0,1,0,1043542835,0,0,1,1,0,2,-
232,STABILIZE,0,1,1,1,1,1,1,0,0,0,1043542835,0,1,0,0,0,1,-
233,STABILIZE,1,1,1,1,1,1,1,0,1,0,1043542835,0,1,0,0,0,2,-
234,STABILIZE,0,1,1,1,1,1,1,0,0,0,1043542835,0,1,0,1,0,0,in RC failsafe
235,STABILIZE,1,1,1,1,1,1,1,0,1,0,1043542835,0,1,0,1,0,2,-
236,STABILIZE,0,1,1,1,1,1,1,0,0,0,1043542835,0,1,1,0,0,1,-
237,STABILIZE,1,1,1,1,1,1,1,0,1,0,1043542835,0,1,1,0,0,2,-
238,STABILIZE,0,1,1,1,1,1,1,0,0,0,1043542835,0,1,1,1,0,0,in RC failsafe
239,STABILIZE,1,1,1,1,1,1,1,0,1,0,1043542835,0,1,1,1,0,2,-
240,STABILIZE,0,1,1,1,1,1,1,0,0,1062584790,1043542835,0,0,0,0,0,0,throttle too high
241,STABILIZE,1,1,1,1,1,1,1,0,1,1062584790,1043542835,0,0,0,0,0,2,-
242,STABILIZE,0,1,1,1,1,1,1,0,0,1062584790,1043542835,0,0,0,1,0,0,throttle too high
243,STABILIZE,1,1,1,1,1,1,1,0,1,1062584790,1043542835,0,0,0,1,0,2,-
244,STABILIZE,0,1,1,1,1,1,1,0,0,1062584790,1043542835,0,0,1,0,0,0,throttle too high
245,STABILIZE,1,1,1,1,1,1,1,0,1,1062584790,1043542835,0,0,1,0,0,2,-
246,STABILIZE,0,1,1,1,1,1,1,0,0,1062584790,1043542835,0,0,1,1,0,0,throttle too high
247,STABILIZE,1,1,1,1,1,1,1,0,1,1062584790,1043542835,0,0,1,1,0,2,-
248,STABILIZE,0,1,1,1,1,1,1,0,0,1062584790,1043542835,0,1,0,0,0,0,throttle too high
249,STABILIZE,1,1,1,1,1,1,1,0,1,1062584790,1043542835,0,1,0,0,0,2,-
250,STABILIZE,0,1,1,1,1,1,1,0,0,1062584790,1043542835,0,1,0,1,0,0,throttle too high
251,STABILIZE,1,1,1,1,1,1,1,0,1,1062584790,1043542835,0,1,0,1,0,2,-
252,STABILIZE,0,1,1,1,1,1,1,0,0,1062584790,1043542835,0,1,1,0,0,0,throttle too high
253,STABILIZE,1,1,1,1,1,1,1,0,1,1062584790,1043542835,0,1,1,0,0,2,-
254,STABILIZE,0,1,1,1,1,1,1,0,0,1062584790,1043542835,0,1,1,1,0,0,throttle too high
255,STABILIZE,1,1,1,1,1,1,1,0,1,1062584790,1043542835,0,1,1,1,0,2,-
256,ALT_HOLD,0,0,1,1,0,0,0,0,0,0,1043542835,0,0,0,0,1,1,-
257,ALT_HOLD,0,0,1,1,0,0,0,0,1,0,1043542835,0,0,0,0,1,1,-
258,ALT_HOLD,0,0,1,1,0,0,0,0,0,0,1043542835,0,0,0,1,1,1,-
259,ALT_HOLD,0,0,1,1,0,0,0,0,1,0,1043542835,0,0,0,1,1,1,-
260,ALT_HOLD,0,0,1,1,0,0,0,0,0,0,1043542835,0,0,1,0,1,1,-
261,ALT_HOLD,0,0,1,1,0,0,0,0,1,0,1043542835,0,0,1,0,1,1,-
262,ALT_HOLD,0,0,1,1,0,0,0,0,0,0,1043542835,0,0,1,1,1,1,-
263,ALT_HOLD,0,0,1,1,0,0,0,0,1,0,1043542835,0,0,1,1,1,1,-
264,ALT_HOLD,0,0,1,1,0,0,0,0,0,0,1043542835,0,1,0,0,1,1,-
265,ALT_HOLD,0,0,1,1,0,0,0,0,1,0,1043542835,0,1,0,0,1,1,-
266,ALT_HOLD,0,0,1,1,0,0,0,0,0,0,1043542835,0,1,0,1,1,1,-
267,ALT_HOLD,0,0,1,1,0,0,0,0,1,0,1043542835,0,1,0,1,1,1,-
268,ALT_HOLD,0,0,1,1,0,0,0,0,0,0,1043542835,0,1,1,0,1,1,-
