#rc_calibration
idx,enabled,roll_min,roll_max,pitch_min,pitch_max,throttle_min,throttle_max,yaw_min,yaw_max,passed,calls,first
34,0,1300,2000,1301,2000,1000,1700,1000,2000,1,0,-
35,0,1300,2000,1301,2000,1000,1699,1000,2000,1,0,-
36,0,1300,1700,1000,2000,1000,2000,1000,2000,1,0,-
37,0,1300,1700,1000,2000,1000,1700,1000,2000,1,0,-
38,0,1300,1700,1000,2000,1000,1699,1000,2000,1,0,-
39,0,1300,1700,1300,2000,1000,2000,1000,2000,1,0,-
40,0,1300,1700,1300,2000,1000,1700,1000,2000,1,0,-
41,0,1300,1700,1300,2000,1000,1699,1000,2000,1,0,-
42,0,1300,1700,1301,2000,1000,2000,1000,2000,1,0,-
43,0,1300,1700,1301,2000,1000,1700,1000,2000,1,0,-
44,0,1300,1700,1301,2000,1000,1699,1000,2000,1,0,-
45,0,1300,1699,1000,2000,1000,2000,1000,2000,1,0,-
46,0,1300,1699,1000,2000,1000,1700,1000,2000,1,0,-
47,0,1300,1699,1000,2000,1000,1699,1000,2000,1,0,-
48,0,1300,1699,1300,2000,1000,2000,1000,2000,1,0,-
49,0,1300,1699,1300,2000,1000,1700,1000,2000,1,0,-
50,0,1300,1699,1300,2000,1000,1699,1000,2000,1,0,-
51,0,1300,1699,1301,2000,1000,2000,1000,2000,1,0,-
52,0,1300,1699,1301,2000,1000,1700,1000,2000,1,0,-
53,0,1300,1699,1301,2000,1000,1699,1000,2000,1,0,-
54,0,1301,2000,1000,2000,1000,2000,1000,2000,1,0,-
55,0,1301,2000,1000,2000,1000,1700,1000,2000,1,0,-
56,0,1301,2000,1000,2000,1000,1699,1000,2000,1,0,-
57,0,1301,2000,1300,2000,1000,2000,1000,2000,1,0,-
58,0,1301,2000,1300,2000,1000,1700,1000,2000,1,0,-
59,0,1301,2000,1300,2000,1000,1699,1000,2000,1,0,-
60,0,1301,2000,1301,2000,1000,2000,1000,2000,1,0,-
61,0,1301,2000,1301,2000,1000,1700,1000,2000,1,0,-
62,0,1301,2000,1301,2000,1000,1699,1000,2000,1,0,-
63,0,1301,1700,1000,2000,1000,2000,1000,2000,1,0,-
64,0,1301,1700,1000,2000,1000,1700,1000,2000,1,0,-
65,0,1301,1700,1000,2000,1000,1699,1000,2000,1,0,-
66,0,1301,1700,1300,2000,1000,2000,1000,2000,1,0,-
67,0,1301,1700,1300,2000,1000,1700,1000,2000,1,0,-
68,0,1301,1700,1300,2000,1000,1699,1000,2000,1,0,-
69,0,1301,1700,1301,2000,1000,2000,1000,2000,1,0,-
70,0,1301,1700,1301,2000,1000,1700,1000,2000,1,0,-
71,0,1301,1700,1301,2000,1000,1699,1000,2000,1,0,-
72,0,1301,1699,1000,2000,1000,2000,1000,2000,1,0,-
73,0,1301,1699,1000,2000,1000,1700,1000,2000,1,0,-
74,0,1301,1699,1000,2000,1000,1699,1000,2000,1,0,-
75,0,1301,1699,1300,2000,1000,2000,1000,2000,1,0,-
76,0,1301,1699,1300,2000,1000,1700,1000,2000,1,0,-
77,0,1301,1699,1300,2000,1000,1699,1000,2000,1,0,-
78,0,1301,1699,1301,2000,1000,2000,1000,2000,1,0,-
79,0,1301,1699,1301,2000,1000,1700,1000,2000,1,0,-
80,0,1301,1699,1301,2000,1000,1699,1000,2000,1,0,-
81,1,1000,2000,1000,2000,1000,2000,1000,2000,1,0,-
82,1,1000,2000,1000,2000,1000,1700,1000,2000,1,0,-
83,1,1000,2000,1000,2000,1000,1699,1000,2000,0,1,Throttle radio max too low
84,1,1000,2000,1300,2000,1000,2000,1000,2000,1,0,-
85,1,1000,2000,1300,2000,1000,1700,1000,2000,1,0,-
86,1,1000,2000,1300,2000,1000,1699,1000,2000,0,1,Throttle radio max too low
87,1,1000,2000,1301,2000,1000,2000,1000,2000,0,1,Pitch radio min too high
88,1,1000,2000,1301,2000,1000,1700,1000,2000,0,1,Pitch radio min too high
89,1,1000,2000,1301,2000,1000,1699,1000,2000,0,2,Pitch radio min too high
90,1,1000,1700,1000,2000,1000,2000,1000,2000,1,0,-
91,1,1000,1700,1000,2000,1000,1700,1000,2000,1,0,-
92,1,1000,1700,1000,2000,1000,1699,1000,2000,0,1,Throttle radio max too low
93,1,1000,1700,1300,2000,1000,2000,1000,2000,1,0,-
94,1,1000,1700,1300,2000,1000,1700,1000,2000,1,0,-
95,1,1000,1700,1300,2000,1000,1699,1000,2000,0,1,Throttle radio max too low
96,1,1000,1700,1301,2000,1000,2000,1000,2000,0,1,Pitch radio min too high
97,1,1000,1700,1301,2000,1000,1700,1000,2000,0,1,Pitch radio min too high
98,1,1000,1700,1301,2000,1000,1699,1000,2000,0,2,Pitch radio min too high
99,1,1000,1699,1000,2000,1000,2000,1000,2000,0,1,Roll radio max too low
100,1,1000,1699,1000,2000,1000,1700,1000,2000,0,1,Roll radio max too low
101,1,1000,1699,1000,2000,1000,1699,1000,2000,0,2,Roll radio max too low
102,1,1000,1699,1300,2000,1000,2000,1000,2000,0,1,Roll radio max too low
103,1,1000,1699,1300,2000,1000,1700,1000,2000,0,1,Roll radio max too low
104,1,1000,1699,1300,2000,1000,1699,1000,2000,0,2,Roll radio max too low
105,1,1000,1699,1301,2000,1000,2000,1000,2000,0,2,Roll radio max too low
106,1,1000,1699,1301,2000,1000,1700,1000,2000,0,2,Roll radio max too low
107,1,1000,1699,1301,2000,1000,1699,1000,2000,0,3,Roll radio max too low
108,1,1300,2000,1000,2000,1000,2000,1000,2000,1,0,-
109,1,1300,2000,1000,2000,1000,1700,1000,2000,1,0,-
110,1,1300,2000,1000,2000,1000,1699,1000,2000,0,1,Throttle radio max too low
111,1,1300,2000,1300,2000,1000,2000,1000,2000,1,0,-
112,1,1300,2000,1300,2000,1000,1700,1000,2000,1,0,-
113,1,1300,2000,1300,2000,1000,1699,1000,2000,0,1,Throttle radio max too low
114,1,1300,2000,1301,2000,1000,2000,1000,2000,0,1,Pitch radio min too high
115,1,1300,2000,1301,2000,1000,1700,1000,2000,0,1,Pitch radio min too high
116,1,1300,2000,1301,2000,1000,1699,1000,2000,0,2,Pitch radio min too high
117,1,1300,1700,1000,2000,1000,2000,1000,2000,1,0,-
118,1,1300,1700,1000,2000,1000,1700,1000,2000,1,0,-
119,1,1300,1700,1000,2000,1000,1699,1000,2000,0,1,Throttle radio max too low
120,1,1300,1700,1300,2000,1000,2000,1000,2000,1,0,-
121,1,1300,1700,1300,2000,1000,1700,1000,2000,1,0,-
122,1,1300,1700,1300,2000,1000,1699,1000,2000,0,1,Throttle radio max too low
123,1,1300,1700,1301,2000,1000,2000,1000,2000,0,1,Pitch radio min too high
124,1,1300,1700,1301,2000,1000,1700,1000,2000,0,1,Pitch radio min too high
125,1,1300,1700,1301,2000,1000,1699,1000,2000,0,2,Pitch radio min too high
126,1,1300,1699,1000,2000,1000,2000,1000,2000,0,1,Roll radio max too low
127,1,1300,1699,1000,2000,1000,1700,1000,2000,0,1,Roll radio max too low
128,1,1300,1699,1000,2000,1000,1699,1000,2000,0,2,Roll radio max too low
129,1,1300,1699,1300,2000,1000,2000,1000,2000,0,1,Roll radio max too low
130,1,1300,1699,1300,2000,1000,1700,1000,2000,0,1,Roll radio max too low
131,1,1300,1699,1300,2000,1000,1699,1000,2000,0,2,Roll radio max too low
132,1,1300,1699,1301,2000,1000,2000,1000,2000,0,2,Roll radio max too low
133,1,1300,1699,1301,2000,1000,1700,1000,2000,0,2,Roll radio max too low
134,1,1300,1699,1301,2000,1000,1699,1000,2000,0,3,Roll radio max too low
135,1,1301,2000,1000,2000,1000,2000,1000,2000,0,1,Roll radio min too high
136,1,1301,2000,1000,2000,1000,1700,1000,2000,0,1,Roll radio min too high
137,1,1301,2000,1000,2000,1000,1699,1000,2000,0,2,Roll radio min too high
138,1,1301,2000,1300,2000,1000,2000,1000,2000,0,1,Roll radio min too high
139,1,1301,2000,1300,2000,1000,1700,1000,2000,0,1,Roll radio min too high
140,1,1301,2000,1300,2000,1000,1699,1000,2000,0,2,Roll radio min too high
141,1,1301,2000,1301,2000,1000,2000,1000,2000,0,2,Roll radio min too high
142,1,1301,2000,1301,2000,1000,1700,1000,2000,0,2,Roll radio min too high
143,1,1301,2000,1301,2000,1000,1699,1000,2000,0,3,Roll radio min too high
144,1,1301,1700,1000,2000,1000,2000,1000,2000,0,1,Roll radio min too high
145,1,1301,1700,1000,2000,1000,1700,1000,2000,0,1,Roll radio min too high
146,1,1301,1700,1000,2000,1000,1699,1000,2000,0,2,Roll radio min too high
147,1,1301,1700,1300,2000,1000,2000,1000,2000,0,1,Roll radio min too high
148,1,1301,1700,1300,2000,1000,1700,1000,2000,0,1,Roll radio min too high
149,1,1301,1700,1300,2000,1000,1699,1000,2000,0,2,Roll radio min too high
150,1,1301,1700,1301,2000,1000,2000,1000,2000,0,2,Roll radio min too high
151,1,1301,1700,1301,2000,1000,1700,1000,2000,0,2,Roll radio min too high
152,1,1301,1700,1301,2000,1000,1699,1000,2000,0,3,Roll radio min too high
153,1,1301,1699,1000,2000,1000,2000,1000,2000,0,2,Roll radio min too high
154,1,1301,1699,1000,2000,1000,1700,1000,2000,0,2,Roll radio min too high
155,1,1301,1699,1000,2000,1000,1699,1000,2000,0,3,Roll radio min too high
156,1,1301,1699,1300,2000,1000,2000,1000,2000,0,2,Roll radio min too high
157,1,1301,1699,1300,2000,1000,1700,1000,2000,0,2,Roll radio min too high
158,1,1301,1699,1300,2000,1000,1699,1000,2000,0,3,Roll radio min too high
159,1,1301,1699,1301,2000,1000,2000,1000,2000,0,3,Roll radio min too high
160,1,1301,1699,1301,2000,1000,1700,1000,2000,0,3,Roll radio min too high
161,1,1301,1699,1301,2000,1000,1699,1000,2000,0,4,Roll radio min too high
