in_0,in_1,in_2,in_3,in_4,in_5,in_6,in_7,in_8,rot_0,rot_1,rot_2,out_0,out_1,out_2,out_3,out_4,out_5,out_6,out_7,out_8
0.865999997,0,0.5,0,1,0,-0.5,0,0.865999997,1,0,0,0.865999997,0.5,0.5,0,1,-1,-0.5,0.865999997,0.865999997
0.865999997,0,0.5,0,1,0,-0.5,0,0.865999997,-1.5,2,-0.5,-0.134000003,-0.317000002,2.23199987,-0.5,1,1.5,-2.23199987,-1.54900002,-0.134000003
0.99000001,0.0199999996,0.00999999978,-0.0199999996,0.99000001,0.0299999993,-0.00999999978,-0.0299999993,0.99000001,0,0,0,0.99000001,0.0199999996,0.00999999978,-0.0199999996,0.99000001,0.0299999993,-0.00999999978,-0.0299999993,0.99000001
0.99000001,0.0199999996,0.00999999978,-0.0199999996,0.99000001,0.0299999993,-0.00999999978,-0.0299999993,0.99000001,0.00249999994,0,0,0.99000001,0.020025,0.00994999986,-0.0199999996,0.990074992,0.0275250003,-0.00999999978,-0.0275250003,0.990074992
0.99000001,0.0199999996,0.00999999978,-0.0199999996,0.99000001,0.0299999993,-0.00999999978,-0.0299999993,0.99000001,0,0.00249999994,0,0.989975035,0.0199999996,0.0124749998,-0.020074999,0.99000001,0.0299499985,-0.0124749998,-0.0299999993,0.989975035
0.99000001,0.0199999996,0.00999999978,-0.0199999996,0.99000001,0.0299999993,-0.00999999978,-0.0299999993,0.99000001,0,0,0.00249999994,0.990050018,0.0175249986,0.00999999978,-0.0175249986,0.990050018,0.0299999993,-0.0100750001,-0.0299749989,0.99000001
0.99000001,0.0199999996,0.00999999978,-0.0199999996,0.99000001,0.0299999993,-0.00999999978,-0.0299999993,0.99000001,0.00249999994,-0.00499999989,0.00124999997,0.990074992,0.0187874995,0.00499999989,-0.0186125003,0.990100026,0.0276250001,-0.00508749997,-0.0275125001,0.990125
0.99000001,0.0199999996,0.00999999978,-0.0199999996,0.99000001,0.0299999993,-0.00999999978,-0.0299999993,0.99000001,0.0500000007,0.0500000007,0.0500000007,0.990500033,-0.0289999992,0.0584999993,0.0280000009,0.992500007,-0.0204999987,-0.060999997,0.0200000014,0.990999997
0.99000001,0.0199999996,0.00999999978,-0.0199999996,0.99000001,0.0299999993,-0.00999999978,-0.0299999993,0.99000001,0.5,-0.25,0.100000001,0.994499981,-0.074000001,-0.247499987,0.0865000039,1.00699997,-0.460000008,0.234499991,0.465999991,1.00750005
0.99000001,0.0199999996,0.00999999978,-0.0199999996,0.99000001,0.0299999993,-0.00999999978,-0.0299999993,0.99000001,1,0,0,0.99000001,0.0299999993,-0.00999999978,-0.0199999996,1.01999998,-0.960000038,-0.00999999978,0.960000038,1.01999998
0.99000001,0.0199999996,0.00999999978,-0.0199999996,0.99000001,0.0299999993,-0.00999999978,-0.0299999993,0.99000001,-1.5,2,-0.5,0.960000038,0.5,2.01999998,-0.574999988,0.935000002,1.47500002,-1.97500002,-1.51999998,0.925000012
1.04999995,0.100000001,-0.200000003,0.0500000007,0.949999988,0.300000012,-0.150000006,0.25,1.10000002,0,0,0,1.04999995,0.100000001,-0.200000003,0.0500000007,0.949999988,0.300000012,-0.150000006,0.25,1.10000002
1.04999995,0.100000001,-0.200000003,0.0500000007,0.949999988,0.300000012,-0.150000006,0.25,1.10000002,0.00249999994,0,0,1.04999995,0.0995000005,-0.20025,0.0500000007,0.950749993,0.297625005,-0.150000006,0.252750009,1.09937501
1.04999995,0.100000001,-0.200000003,0.0500000007,0.949999988,0.300000012,-0.150000006,0.25,1.10000002,0,0.00249999994,0,1.05049992,0.100000001,-0.197375,0.0492499992,0.949999988,0.300125003,-0.15275,0.25,1.09962499
1.04999995,0.100000001,-0.200000003,0.0500000007,0.949999988,0.300000012,-0.150000006,0.25,1.10000002,0,0,0.00249999994,1.05024993,0.0973750055,-0.200000003,0.052375,0.949874997,0.300000012,-0.149375007,0.250375003,1.10000002
1.04999995,0.100000001,-0.200000003,0.0500000007,0.949999988,0.300000012,-0.150000006,0.25,1.10000002,0.00249999994,-0.00499999989,0.00124999997,1.04912496,0.0981874987,-0.205500007,0.0526874997,0.950687468,0.297375023,-0.14418751,0.252937496,1.10012507
1.04999995,0.100000001,-0.200000003,0.0500000007,0.949999988,0.300000012,-0.150000006,0.25,1.10000002,0.0500000007,0.0500000007,0.0500000007,1.06499994,0.0375000015,-0.152500004,0.0824999958,0.962499976,0.255000025,-0.19250001,0.3125,1.08000004
1.04999995,0.100000001,-0.200000003,0.0500000007,0.949999988,0.300000012,-0.150000006,0.25,1.10000002,0.5,-0.25,0.100000001,1.00999999,-0.104999997,-0.512499988,0.219999999,1.09500003,-0.18749997,0.150000006,0.814999998,1.01250005
1.04999995,0.100000001,-0.200000003,0.0500000007,0.949999988,0.300000012,-0.150000006,0.25,1.10000002,1,0,0,1.04999995,-0.100000001,-0.300000012,0.0500000007,1.25,-0.649999976,-0.150000006,1.35000002,0.850000024
1.04999995,0.100000001,-0.200000003,0.0500000007,0.949999988,0.300000012,-0.150000006,0.25,1.10000002,-1.5,2,-0.5,1.39999998,0.925000012,2.04999995,-1.0250001,0.524999976,1.82500005,-2.47500014,-1.47500014,1.17499995
0,1,0,-1,0,0,0,0,1,0,0,0,0,1,0,-1,0,0,0,0,1
0,1,0,-1,0,0,0,0,1,0.00249999994,0,0,0,1,-0.00249999994,-1,0,0,0,0.00249999994,1
0,1,0,-1,0,0,0,0,1,0,0.00249999994,0,0,1,0,-1,0,-0.00249999994,-0.00249999994,0,1
0,1,0,-1,0,0,0,0,1,0,0,0.00249999994,0.00249999994,1,0,-1,0.00249999994,0,0,0,1
0,1,0,-1,0,0,0,0,1,0.00249999994,-0.00499999989,0.00124999997,0.00124999997,1,-0.00249999994,-1,0.00124999997,0.00499999989,0.00499999989,0.00249999994,1
0,1,0,-1,0,0,0,0,1,0.0500000007,0.0500000007,0.0500000007,0.0500000007,1,-0.0500000007,-1,0.0500000007,-0.0500000007,-0.0500000007,0.0500000007,1
0,1,0,-1,0,0,0,0,1,0.5,-0.25,0.100000001,0.100000001,1,-0.5,-1,0.100000001,0.25,0.25,0.5,1
0,1,0,-1,0,0,0,0,1,1,0,0,0,1,-1,-1,0,0,0,1,1
0,1,0,-1,0,0,0,0,1,-1.5,2,-0.5,-0.5,1,1.5,-1,-0.5,-2,-2,-1.5,1
