#buffers
name,hex
empty,
check,313233343536373839
allbytes,000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f303132333435363738393a3b3c3d3e3f404142434445464748494a4b4c4d4e4f505152535455565758595a5b5c5d5e5f606162636465666768696a6b6c6d6e6f707172737475767778797a7b7c7d7e7f808182838485868788898a8b8c8d8e8f909192939495969798999a9b9c9d9e9fa0a1a2a3a4a5a6a7a8a9aaabacadaeafb0b1b2b3b4b5b6b7b8b9babbbcbdbebfc0c1c2c3c4c5c6c7c8c9cacbcccdcecfd0d1d2d3d4d5d6d7d8d9dadbdcdddedfe0e1e2e3e4e5e6e7e8e9eaebecedeeeff0f1f2f3f4f5f6f7f8f9fafbfcfdfeff
pseudo,dc0465aa1fad1d5adae5ac1b1e5f1370796cfd10ff19af601d04acb41d022b4678733af2df5faeb70859d1ee3910cb4895b5cc892911ff06b6622edf3cf935fd
#cases
fn,buf,seed,seed2,out
hash_fnv_1a,allbytes,,,4774620800949106213
crc_crc8,pseudo,,,213
crc_sum8_with_carry,pseudo,,,96
crc8_maxim,pseudo,,,151
crc8_sae,pseudo,,,63
crc8_rds02uf,pseudo,,,128
crc_xor_of_bytes,pseudo,,,248
crc_xmodem,pseudo,,,61495
calc_crc_modbus,pseudo,,,60614
crc_fletcher16,pseudo,,,53919
crc_crc24,pseudo,,,4911356
crc_sum_of_bytes,pseudo,,,130
crc_sum_of_bytes_16,pseudo,,,7554
crc_crc32,pseudo,0,,703639626
crc32_small,pseudo,0,,703639626
crc_crc32,pseudo,4294967295,,2743217283
crc32_small,pseudo,4294967295,,2743217283
crc_crc32,pseudo,305419896,,302743998
crc32_small,pseudo,305419896,,302743998
crc16_ccitt,pseudo,0,,61495
crc16_ccitt_GDL90,pseudo,0,,55137
crc16_ccitt_r,pseudo,0,,28423
crc_crc16_ibm,pseudo,0,,29718
crc16_ccitt,pseudo,65535,,9965
crc16_ccitt_GDL90,pseudo,65535,,443
crc16_ccitt_r,pseudo,65535,,13420
crc_crc16_ibm,pseudo,65535,,30434
crc16_ccitt,pseudo,4660,,22508
crc16_ccitt_GDL90,pseudo,4660,,28858
crc16_ccitt_r,pseudo,4660,,44878
crc_crc16_ibm,pseudo,4660,,34985
crc8_dvb_s2_update,pseudo,0,,22
crc8_dvb_update,pseudo,0,,213
crc8_generic_07,pseudo,0,,213
crc8_generic_d5,pseudo,0,,22
crc8_dvb_s2_update,pseudo,255,,167
crc8_dvb_update,pseudo,255,,8
crc8_generic_07,pseudo,255,,8
crc8_generic_d5,pseudo,255,,167
crc8_dvb_s2_update,pseudo,90,,87
crc8_dvb_update,pseudo,90,,110
crc8_generic_07,pseudo,90,,110
crc8_generic_d5,pseudo,90,,87
hash_fnv_1a,pseudo,,,15936149780286524823
crc8_dvb_s2,pair,0,0,0
crc8_dvb_07,pair,0,0,0
crc_xmodem_update,pair,0,0,0
crc8_dvb_s2,pair,0,53,221
crc8_dvb_07,pair,0,53,139
crc_xmodem_update,pair,0,53,26358
crc8_dvb_s2,pair,0,106,111
crc8_dvb_07,pair,0,106,17
crc_xmodem_update,pair,0,106,52716
crc8_dvb_s2,pair,0,159,192
crc8_dvb_07,pair,0,159,212
crc_xmodem_update,pair,0,159,29270
crc8_dvb_s2,pair,0,212,222
crc8_dvb_07,pair,0,212,34
crc_xmodem_update,pair,0,212,35833
crc8_dvb_s2,pair,37,0,143
crc8_dvb_07,pair,37,0,251
crc_xmodem_update,pair,37,0,20935
crc8_dvb_s2,pair,37,53,82
crc8_dvb_07,pair,37,53,112
crc_xmodem_update,pair,37,53,14129
crc8_dvb_s2,pair,37,106,224
crc8_dvb_07,pair,37,106,234
crc_xmodem_update,pair,37,106,39979
crc8_dvb_s2,pair,37,159,79
crc8_dvb_07,pair,37,159,47
crc_xmodem_update,pair,37,159,9105
crc8_dvb_s2,pair,37,212,81
crc8_dvb_07,pair,37,212,217
crc_xmodem_update,pair,37,212,55870
crc8_dvb_s2,pair,74,0,203
crc8_dvb_07,pair,74,0,241
crc_xmodem_update,pair,74,0,41870
crc8_dvb_s2,pair,74,53,22
crc8_dvb_07,pair,74,53,122
crc_xmodem_update,pair,74,53,50552
crc8_dvb_s2,pair,74,106,164
crc8_dvb_07,pair,74,106,224
crc_xmodem_update,pair,74,106,28258
crc8_dvb_s2,pair,74,159,11
crc8_dvb_07,pair,74,159,37
crc_xmodem_update,pair,74,159,53720
crc8_dvb_s2,pair,74,212,21
crc8_dvb_07,pair,74,212,211
crc_xmodem_update,pair,74,212,10359
crc8_dvb_s2,pair,111,0,68
crc8_dvb_07,pair,111,0,10
crc_xmodem_update,pair,111,0,62025
crc8_dvb_s2,pair,111,53,153
crc8_dvb_07,pair,111,53,129
crc_xmodem_update,pair,111,53,38079
crc8_dvb_s2,pair,111,106,43
crc8_dvb_07,pair,111,106,27
crc_xmodem_update,pair,111,106,16293
crc8_dvb_s2,pair,111,159,132
crc8_dvb_07,pair,111,159,222
crc_xmodem_update,pair,111,159,32799
crc8_dvb_s2,pair,111,212,154
crc8_dvb_07,pair,111,212,40
crc_xmodem_update,pair,111,212,31152
crc8_dvb_s2,pair,148,0,67
crc8_dvb_07,pair,148,0,229
crc_xmodem_update,pair,148,0,22333
crc8_dvb_s2,pair,148,53,158
crc8_dvb_07,pair,148,53,110
crc_xmodem_update,pair,148,53,12747
crc8_dvb_s2,pair,148,106,44
crc8_dvb_07,pair,148,106,244
crc_xmodem_update,pair,148,106,39633
crc8_dvb_s2,pair,148,159,131
crc8_dvb_07,pair,148,159,49
crc_xmodem_update,pair,148,159,9579
crc8_dvb_s2,pair,148,212,157
crc8_dvb_07,pair,148,212,199
crc_xmodem_update,pair,148,212,56516
crc8_dvb_s2,pair,185,0,229
crc8_dvb_07,pair,185,0,38
crc_xmodem_update,pair,185,0,36850
crc8_dvb_s2,pair,185,53,56
crc8_dvb_07,pair,185,53,173
crc_xmodem_update,pair,185,53,59652
crc8_dvb_s2,pair,185,106,138
crc8_dvb_07,pair,185,106,55
crc_xmodem_update,pair,185,106,16926
crc8_dvb_s2,pair,185,159,37
crc8_dvb_07,pair,185,159,242
crc_xmodem_update,pair,185,159,64932
crc8_dvb_s2,pair,185,212,59
crc8_dvb_07,pair,185,212,4
crc_xmodem_update,pair,185,212,1035
crc8_dvb_s2,pair,222,0,136
crc8_dvb_07,pair,222,0,20
crc_xmodem_update,pair,222,0,62643
crc8_dvb_s2,pair,222,53,85
crc8_dvb_07,pair,222,53,159
crc_xmodem_update,pair,222,53,37445
crc8_dvb_s2,pair,222,106,231
crc8_dvb_07,pair,222,106,5
crc_xmodem_update,pair,222,106,14687
crc8_dvb_s2,pair,222,159,72
crc8_dvb_07,pair,222,159,192
crc_xmodem_update,pair,222,159,34533
crc8_dvb_s2,pair,222,212,86
crc8_dvb_07,pair,222,212,54
crc_xmodem_update,pair,222,212,32586
parity,byte,0,,0
parity,byte,1,,1
parity,byte,2,,1
parity,byte,3,,0
parity,byte,4,,1
parity,byte,5,,0
parity,byte,6,,0
parity,byte,7,,1
parity,byte,8,,1
parity,byte,9,,0
parity,byte,10,,0
parity,byte,11,,1
parity,byte,12,,0
parity,byte,13,,1
parity,byte,14,,1
parity,byte,15,,0
parity,byte,16,,1
parity,byte,17,,0
parity,byte,18,,0
parity,byte,19,,1
parity,byte,20,,0
parity,byte,21,,1
parity,byte,22,,1
parity,byte,23,,0
parity,byte,24,,0
parity,byte,25,,1
parity,byte,26,,1
parity,byte,27,,0
parity,byte,28,,1
parity,byte,29,,0
parity,byte,30,,0
parity,byte,31,,1
parity,byte,32,,1
parity,byte,33,,0
parity,byte,34,,0
parity,byte,35,,1
parity,byte,36,,0
parity,byte,37,,1
parity,byte,38,,1
parity,byte,39,,0
parity,byte,40,,0
parity,byte,41,,1
parity,byte,42,,1
parity,byte,43,,0
parity,byte,44,,1
parity,byte,45,,0
parity,byte,46,,0
parity,byte,47,,1
parity,byte,48,,0
parity,byte,49,,1
parity,byte,50,,1
parity,byte,51,,0
parity,byte,52,,1
parity,byte,53,,0
parity,byte,54,,0
parity,byte,55,,1
parity,byte,56,,1
parity,byte,57,,0
parity,byte,58,,0
parity,byte,59,,1
parity,byte,60,,0
parity,byte,61,,1
parity,byte,62,,1
parity,byte,63,,0
parity,byte,64,,1
parity,byte,65,,0
parity,byte,66,,0
parity,byte,67,,1
parity,byte,68,,0
parity,byte,69,,1
parity,byte,70,,1
parity,byte,71,,0
parity,byte,72,,0
parity,byte,73,,1
parity,byte,74,,1
parity,byte,75,,0
parity,byte,76,,1
parity,byte,77,,0
parity,byte,78,,0
parity,byte,79,,1
parity,byte,80,,0
parity,byte,81,,1
parity,byte,82,,1
parity,byte,83,,0
parity,byte,84,,1
parity,byte,85,,0
parity,byte,86,,0
parity,byte,87,,1
parity,byte,88,,1
parity,byte,89,,0
parity,byte,90,,0
parity,byte,91,,1
parity,byte,92,,0
parity,byte,93,,1
parity,byte,94,,1
parity,byte,95,,0
parity,byte,96,,0
parity,byte,97,,1
parity,byte,98,,1
parity,byte,99,,0
parity,byte,100,,1
parity,byte,101,,0
parity,byte,102,,0
parity,byte,103,,1
parity,byte,104,,1
parity,byte,105,,0
parity,byte,106,,0
parity,byte,107,,1
parity,byte,108,,0
parity,byte,109,,1
parity,byte,110,,1
parity,byte,111,,0
parity,byte,112,,1
parity,byte,113,,0
parity,byte,114,,0
parity,byte,115,,1
parity,byte,116,,0
parity,byte,117,,1
parity,byte,118,,1
parity,byte,119,,0
parity,byte,120,,0
parity,byte,121,,1
parity,byte,122,,1
parity,byte,123,,0
parity,byte,124,,1
parity,byte,125,,0
parity,byte,126,,0
parity,byte,127,,1
parity,byte,128,,1
parity,byte,129,,0
parity,byte,130,,0
parity,byte,131,,1
parity,byte,132,,0
parity,byte,133,,1
parity,byte,134,,1
parity,byte,135,,0
parity,byte,136,,0
parity,byte,137,,1
parity,byte,138,,1
parity,byte,139,,0
parity,byte,140,,1
parity,byte,141,,0
parity,byte,142,,0
parity,byte,143,,1
parity,byte,144,,0
parity,byte,145,,1
parity,byte,146,,1
parity,byte,147,,0
parity,byte,148,,1
parity,byte,149,,0
parity,byte,150,,0
parity,byte,151,,1
parity,byte,152,,1
parity,byte,153,,0
parity,byte,154,,0
parity,byte,155,,1
parity,byte,156,,0
parity,byte,157,,1
parity,byte,158,,1
parity,byte,159,,0
parity,byte,160,,0
parity,byte,161,,1
parity,byte,162,,1
parity,byte,163,,0
parity,byte,164,,1
parity,byte,165,,0
parity,byte,166,,0
parity,byte,167,,1
parity,byte,168,,1
parity,byte,169,,0
parity,byte,170,,0
parity,byte,171,,1
parity,byte,172,,0
parity,byte,173,,1
parity,byte,174,,1
parity,byte,175,,0
parity,byte,176,,1
parity,byte,177,,0
parity,byte,178,,0
parity,byte,179,,1
parity,byte,180,,0
parity,byte,181,,1
parity,byte,182,,1
parity,byte,183,,0
parity,byte,184,,0
parity,byte,185,,1
parity,byte,186,,1
parity,byte,187,,0
parity,byte,188,,1
parity,byte,189,,0
parity,byte,190,,0
parity,byte,191,,1
parity,byte,192,,0
parity,byte,193,,1
parity,byte,194,,1
parity,byte,195,,0
parity,byte,196,,1
parity,byte,197,,0
parity,byte,198,,0
parity,byte,199,,1
parity,byte,200,,1
parity,byte,201,,0
parity,byte,202,,0
parity,byte,203,,1
parity,byte,204,,0
parity,byte,205,,1
parity,byte,206,,1
parity,byte,207,,0
parity,byte,208,,1
parity,byte,209,,0
parity,byte,210,,0
parity,byte,211,,1
parity,byte,212,,0
parity,byte,213,,1
parity,byte,214,,1
parity,byte,215,,0
parity,byte,216,,0
parity,byte,217,,1
parity,byte,218,,1
parity,byte,219,,0
parity,byte,220,,1
parity,byte,221,,0
parity,byte,222,,0
parity,byte,223,,1
parity,byte,224,,1
parity,byte,225,,0
parity,byte,226,,0
parity,byte,227,,1
parity,byte,228,,0
parity,byte,229,,1
parity,byte,230,,1
parity,byte,231,,0
parity,byte,232,,0
parity,byte,233,,1
parity,byte,234,,1
parity,byte,235,,0
parity,byte,236,,1
parity,byte,237,,0
parity,byte,238,,0
parity,byte,239,,1
parity,byte,240,,0
parity,byte,241,,1
parity,byte,242,,1
parity,byte,243,,0
parity,byte,244,,1
parity,byte,245,,0
parity,byte,246,,0
parity,byte,247,,1
parity,byte,248,,1
parity,byte,249,,0
parity,byte,250,,0
parity,byte,251,,1
parity,byte,252,,0
parity,byte,253,,1
parity,byte,254,,1
parity,byte,255,,0
crc_crc4,words,,,6
crc_crc4,zeros,,,0
crc_crc64,words4,,,9640473231026328532
crc_crc64,words1,,,15202420029965575471
crc_crc64,words0,,,0
