#rc_failsafe
idx,rc_check_enabled,fs_thr,had_receiver,had_override,radio_in,fs_thr_value,passed,reason
70,0,1,1,1,0,975,1,-
71,0,1,1,1,0,1100,1,-
72,0,1,1,1,900,975,1,-
73,0,1,1,1,900,1100,1,-
74,0,1,1,1,975,975,1,-
75,0,1,1,1,975,1100,1,-
76,0,1,1,1,1000,975,1,-
77,0,1,1,1,1000,1100,1,-
78,0,1,1,1,1500,975,1,-
79,0,1,1,1,1500,1100,1,-
80,0,2,0,0,0,975,1,-
81,0,2,0,0,0,1100,1,-
82,0,2,0,0,900,975,1,-
83,0,2,0,0,900,1100,1,-
84,0,2,0,0,975,975,1,-
85,0,2,0,0,975,1100,1,-
86,0,2,0,0,1000,975,1,-
87,0,2,0,0,1000,1100,1,-
88,0,2,0,0,1500,975,1,-
89,0,2,0,0,1500,1100,1,-
90,0,2,0,1,0,975,1,-
91,0,2,0,1,0,1100,1,-
92,0,2,0,1,900,975,1,-
93,0,2,0,1,900,1100,1,-
94,0,2,0,1,975,975,1,-
95,0,2,0,1,975,1100,1,-
96,0,2,0,1,1000,975,1,-
97,0,2,0,1,1000,1100,1,-
98,0,2,0,1,1500,975,1,-
99,0,2,0,1,1500,1100,1,-
100,0,2,1,0,0,975,1,-
101,0,2,1,0,0,1100,1,-
102,0,2,1,0,900,975,1,-
103,0,2,1,0,900,1100,1,-
104,0,2,1,0,975,975,1,-
105,0,2,1,0,975,1100,1,-
106,0,2,1,0,1000,975,1,-
107,0,2,1,0,1000,1100,1,-
108,0,2,1,0,1500,975,1,-
109,0,2,1,0,1500,1100,1,-
110,0,2,1,1,0,975,1,-
111,0,2,1,1,0,1100,1,-
112,0,2,1,1,900,975,1,-
113,0,2,1,1,900,1100,1,-
114,0,2,1,1,975,975,1,-
115,0,2,1,1,975,1100,1,-
116,0,2,1,1,1000,975,1,-
117,0,2,1,1,1000,1100,1,-
118,0,2,1,1,1500,975,1,-
119,0,2,1,1,1500,1100,1,-
120,1,0,0,0,0,975,1,-
121,1,0,0,0,0,1100,1,-
122,1,0,0,0,900,975,1,-
123,1,0,0,0,900,1100,1,-
124,1,0,0,0,975,975,1,-
125,1,0,0,0,975,1100,1,-
126,1,0,0,0,1000,975,1,-
127,1,0,0,0,1000,1100,1,-
128,1,0,0,0,1500,975,1,-
129,1,0,0,0,1500,1100,1,-
130,1,0,0,1,0,975,1,-
131,1,0,0,1,0,1100,1,-
132,1,0,0,1,900,975,1,-
133,1,0,0,1,900,1100,1,-
134,1,0,0,1,975,975,1,-
135,1,0,0,1,975,1100,1,-
136,1,0,0,1,1000,975,1,-
137,1,0,0,1,1000,1100,1,-
138,1,0,0,1,1500,975,1,-
139,1,0,0,1,1500,1100,1,-
140,1,0,1,0,0,975,1,-
141,1,0,1,0,0,1100,1,-
142,1,0,1,0,900,975,1,-
143,1,0,1,0,900,1100,1,-
144,1,0,1,0,975,975,1,-
145,1,0,1,0,975,1100,1,-
146,1,0,1,0,1000,975,1,-
147,1,0,1,0,1000,1100,1,-
148,1,0,1,0,1500,975,1,-
149,1,0,1,0,1500,1100,1,-
150,1,0,1,1,0,975,1,-
151,1,0,1,1,0,1100,1,-
152,1,0,1,1,900,975,1,-
153,1,0,1,1,900,1100,1,-
154,1,0,1,1,975,975,1,-
155,1,0,1,1,975,1100,1,-
156,1,0,1,1,1000,975,1,-
157,1,0,1,1,1000,1100,1,-
158,1,0,1,1,1500,975,1,-
159,1,0,1,1,1500,1100,1,-
160,1,1,0,0,0,975,0,RC not found
161,1,1,0,0,0,1100,0,RC not found
162,1,1,0,0,900,975,0,RC not found
163,1,1,0,0,900,1100,0,RC not found
164,1,1,0,0,975,975,0,RC not found
165,1,1,0,0,975,1100,0,RC not found
166,1,1,0,0,1000,975,0,RC not found
167,1,1,0,0,1000,1100,0,RC not found
168,1,1,0,0,1500,975,0,RC not found
169,1,1,0,0,1500,1100,0,RC not found
170,1,1,0,1,0,975,0,Throttle below failsafe
171,1,1,0,1,0,1100,0,Throttle below failsafe
172,1,1,0,1,900,975,0,Throttle below failsafe
173,1,1,0,1,900,1100,0,Throttle below failsafe
174,1,1,0,1,975,975,1,-
175,1,1,0,1,975,1100,0,Throttle below failsafe
176,1,1,0,1,1000,975,1,-
177,1,1,0,1,1000,1100,0,Throttle below failsafe
178,1,1,0,1,1500,975,1,-
179,1,1,0,1,1500,1100,1,-
180,1,1,1,0,0,975,0,Throttle below failsafe
181,1,1,1,0,0,1100,0,Throttle below failsafe
182,1,1,1,0,900,975,0,Throttle below failsafe
183,1,1,1,0,900,1100,0,Throttle below failsafe
184,1,1,1,0,975,975,1,-
185,1,1,1,0,975,1100,0,Throttle below failsafe
186,1,1,1,0,1000,975,1,-
187,1,1,1,0,1000,1100,0,Throttle below failsafe
188,1,1,1,0,1500,975,1,-
189,1,1,1,0,1500,1100,1,-
190,1,1,1,1,0,975,0,Throttle below failsafe
191,1,1,1,1,0,1100,0,Throttle below failsafe
192,1,1,1,1,900,975,0,Throttle below failsafe
193,1,1,1,1,900,1100,0,Throttle below failsafe
194,1,1,1,1,975,975,1,-
195,1,1,1,1,975,1100,0,Throttle below failsafe
196,1,1,1,1,1000,975,1,-
197,1,1,1,1,1000,1100,0,Throttle below failsafe
198,1,1,1,1,1500,975,1,-
199,1,1,1,1,1500,1100,1,-
200,1,2,0,0,0,975,0,RC not found
201,1,2,0,0,0,1100,0,RC not found
202,1,2,0,0,900,975,0,RC not found
203,1,2,0,0,900,1100,0,RC not found
204,1,2,0,0,975,975,0,RC not found
205,1,2,0,0,975,1100,0,RC not found
206,1,2,0,0,1000,975,0,RC not found
207,1,2,0,0,1000,1100,0,RC not found
208,1,2,0,0,1500,975,0,RC not found
209,1,2,0,0,1500,1100,0,RC not found
210,1,2,0,1,0,975,0,Throttle below failsafe
211,1,2,0,1,0,1100,0,Throttle below failsafe
212,1,2,0,1,900,975,0,Throttle below failsafe
213,1,2,0,1,900,1100,0,Throttle below failsafe
214,1,2,0,1,975,975,1,-
215,1,2,0,1,975,1100,0,Throttle below failsafe
216,1,2,0,1,1000,975,1,-
217,1,2,0,1,1000,1100,0,Throttle below failsafe
218,1,2,0,1,1500,975,1,-
219,1,2,0,1,1500,1100,1,-
220,1,2,1,0,0,975,0,Throttle below failsafe
221,1,2,1,0,0,1100,0,Throttle below failsafe
222,1,2,1,0,900,975,0,Throttle below failsafe
223,1,2,1,0,900,1100,0,Throttle below failsafe
224,1,2,1,0,975,975,1,-
225,1,2,1,0,975,1100,0,Throttle below failsafe
226,1,2,1,0,1000,975,1,-
227,1,2,1,0,1000,1100,0,Throttle below failsafe
228,1,2,1,0,1500,975,1,-
229,1,2,1,0,1500,1100,1,-
230,1,2,1,1,0,975,0,Throttle below failsafe
231,1,2,1,1,0,1100,0,Throttle below failsafe
232,1,2,1,1,900,975,0,Throttle below failsafe
233,1,2,1,1,900,1100,0,Throttle below failsafe
234,1,2,1,1,975,975,1,-
235,1,2,1,1,975,1100,0,Throttle below failsafe
236,1,2,1,1,1000,975,1,-
237,1,2,1,1,1000,1100,0,Throttle below failsafe
238,1,2,1,1,1500,975,1,-
239,1,2,1,1,1500,1100,1,-
#gcs
gcs_failsafe,passed,reason
0,1,-
1,0,GCS failsafe on
#alt
mode,manual_throttle,passed,reason
0,1,1,-
2,0,0,Need Alt Estimate
5,0,0,Need Alt Estimate
9,0,0,Need Alt Estimate
