#fixed_yaw
idx,angle,current,direction,relative,mode_before,slew_req,slew_max,offset_out,slew_out,angle_out
79,1056964608,0,-1,1,2,1120403456,1065749138,3204448256,1065749138,0
80,1056964608,0,0,0,2,3212836864,1065749138,1056964608,1065749138,0
81,1056964608,0,0,0,2,0,1065749138,1056964608,1065749138,0
82,1056964608,0,0,0,2,1028443341,1065749138,1056964608,1028443341,0
83,1056964608,0,0,0,2,1120403456,1065749138,1056964608,1065749138,0
84,1056964608,0,0,1,2,3212836864,1065749138,1056964608,1065749138,0
85,1056964608,0,0,1,2,0,1065749138,1056964608,1065749138,0
86,1056964608,0,0,1,2,1028443341,1065749138,1056964608,1028443341,0
87,1056964608,0,0,1,2,1120403456,1065749138,1056964608,1065749138,0
88,1056964608,0,1,0,2,3212836864,1065749138,1056964608,1065749138,0
89,1056964608,0,1,0,2,0,1065749138,1056964608,1065749138,0
90,1056964608,0,1,0,2,1028443341,1065749138,1056964608,1028443341,0
91,1056964608,0,1,0,2,1120403456,1065749138,1056964608,1065749138,0
92,1056964608,0,1,1,2,3212836864,1065749138,1056964608,1065749138,0
93,1056964608,0,1,1,2,0,1065749138,1056964608,1065749138,0
94,1056964608,0,1,1,2,1028443341,1065749138,1056964608,1028443341,0
95,1056964608,0,1,1,2,1120403456,1065749138,1056964608,1065749138,0
96,1056964608,1069547520,-1,0,2,3212836864,1065749138,3212836864,1065749138,1069547520
97,1056964608,1069547520,-1,0,2,0,1065749138,3212836864,1065749138,1069547520
98,1056964608,1069547520,-1,0,2,1028443341,1065749138,3212836864,1028443341,1069547520
99,1056964608,1069547520,-1,0,2,1120403456,1065749138,3212836864,1065749138,1069547520
100,1056964608,1069547520,-1,1,2,3212836864,1065749138,3204448256,1065749138,1069547520
101,1056964608,1069547520,-1,1,2,0,1065749138,3204448256,1065749138,1069547520
102,1056964608,1069547520,-1,1,2,1028443341,1065749138,3204448256,1028443341,1069547520
103,1056964608,1069547520,-1,1,2,1120403456,1065749138,3204448256,1065749138,1069547520
104,1056964608,1069547520,0,0,2,3212836864,1065749138,3212836864,1065749138,1069547520
105,1056964608,1069547520,0,0,2,0,1065749138,3212836864,1065749138,1069547520
106,1056964608,1069547520,0,0,2,1028443341,1065749138,3212836864,1028443341,1069547520
107,1056964608,1069547520,0,0,2,1120403456,1065749138,3212836864,1065749138,1069547520
108,1056964608,1069547520,0,1,2,3212836864,1065749138,1056964608,1065749138,1069547520
109,1056964608,1069547520,0,1,2,0,1065749138,1056964608,1065749138,1069547520
110,1056964608,1069547520,0,1,2,1028443341,1065749138,1056964608,1028443341,1069547520
111,1056964608,1069547520,0,1,2,1120403456,1065749138,1056964608,1065749138,1069547520
112,1056964608,1069547520,1,0,2,3212836864,1065749138,1084821467,1065749138,1069547520
113,1056964608,1069547520,1,0,2,0,1065749138,1084821467,1065749138,1069547520
114,1056964608,1069547520,1,0,2,1028443341,1065749138,1084821467,1028443341,1069547520
115,1056964608,1069547520,1,0,2,1120403456,1065749138,1084821467,1065749138,1069547520
116,1056964608,1069547520,1,1,2,3212836864,1065749138,1056964608,1065749138,1069547520
117,1056964608,1069547520,1,1,2,0,1065749138,1056964608,1065749138,1069547520
118,1056964608,1069547520,1,1,2,1028443341,1065749138,1056964608,1028443341,1069547520
119,1056964608,1069547520,1,1,2,1120403456,1065749138,1056964608,1065749138,1069547520
120,1056964608,3223322624,-1,0,2,3212836864,1065749138,3226607542,1065749138,3223322624
121,1056964608,3223322624,-1,0,2,0,1065749138,3226607542,1065749138,3223322624
122,1056964608,3223322624,-1,0,2,1028443341,1065749138,3226607542,1028443341,3223322624
123,1056964608,3223322624,-1,0,2,1120403456,1065749138,3226607542,1065749138,3223322624
124,1056964608,3223322624,-1,1,2,3212836864,1065749138,3204448256,1065749138,3223322624
125,1056964608,3223322624,-1,1,2,0,1065749138,3204448256,1065749138,3223322624
126,1056964608,3223322624,-1,1,2,1028443341,1065749138,3204448256,1028443341,3223322624
127,1056964608,3223322624,-1,1,2,1120403456,1065749138,3204448256,1065749138,3223322624
128,1056964608,3223322624,0,0,2,3212836864,1065749138,1077936128,1065749138,3223322624
129,1056964608,3223322624,0,0,2,0,1065749138,1077936128,1065749138,3223322624
130,1056964608,3223322624,0,0,2,1028443341,1065749138,1077936128,1028443341,3223322624
131,1056964608,3223322624,0,0,2,1120403456,1065749138,1077936128,1065749138,3223322624
132,1056964608,3223322624,0,1,2,3212836864,1065749138,1056964608,1065749138,3223322624
133,1056964608,3223322624,0,1,2,0,1065749138,1056964608,1065749138,3223322624
134,1056964608,3223322624,0,1,2,1028443341,1065749138,1056964608,1028443341,3223322624
135,1056964608,3223322624,0,1,2,1120403456,1065749138,1056964608,1065749138,3223322624
136,1056964608,3223322624,1,0,2,3212836864,1065749138,1077936128,1065749138,3223322624
137,1056964608,3223322624,1,0,2,0,1065749138,1077936128,1065749138,3223322624
138,1056964608,3223322624,1,0,2,1028443341,1065749138,1077936128,1028443341,3223322624
139,1056964608,3223322624,1,0,2,1120403456,1065749138,1077936128,1065749138,3223322624
140,1056964608,3223322624,1,1,2,3212836864,1065749138,1056964608,1065749138,3223322624
141,1056964608,3223322624,1,1,2,0,1065749138,1056964608,1065749138,3223322624
142,1056964608,3223322624,1,1,2,1028443341,1065749138,1056964608,1028443341,3223322624
143,1056964608,3223322624,1,1,2,1120403456,1065749138,1056964608,1065749138,3223322624
144,1077936128,0,-1,0,2,3212836864,1065749138,3226607542,1065749138,0
145,1077936128,0,-1,0,2,0,1065749138,3226607542,1065749138,0
146,1077936128,0,-1,0,2,1028443341,1065749138,3226607542,1028443341,0
147,1077936128,0,-1,0,2,1120403456,1065749138,3226607542,1065749138,0
148,1077936128,0,-1,1,2,3212836864,1065749138,3225419776,1065749138,0
149,1077936128,0,-1,1,2,0,1065749138,3225419776,1065749138,0
150,1077936128,0,-1,1,2,1028443341,1065749138,3225419776,1028443341,0
151,1077936128,0,-1,1,2,1120403456,1065749138,3225419776,1065749138,0
152,1077936128,0,0,0,2,3212836864,1065749138,1077936128,1065749138,0
153,1077936128,0,0,0,2,0,1065749138,1077936128,1065749138,0
154,1077936128,0,0,0,2,1028443341,1065749138,1077936128,1028443341,0
155,1077936128,0,0,0,2,1120403456,1065749138,1077936128,1065749138,0
156,1077936128,0,0,1,2,3212836864,1065749138,1077936128,1065749138,0
157,1077936128,0,0,1,2,0,1065749138,1077936128,1065749138,0
158,1077936128,0,0,1,2,1028443341,1065749138,1077936128,1028443341,0
159,1077936128,0,0,1,2,1120403456,1065749138,1077936128,1065749138,0
160,1077936128,0,1,0,2,3212836864,1065749138,1077936128,1065749138,0
161,1077936128,0,1,0,2,0,1065749138,1077936128,1065749138,0
162,1077936128,0,1,0,2,1028443341,1065749138,1077936128,1028443341,0
163,1077936128,0,1,0,2,1120403456,1065749138,1077936128,1065749138,0
164,1077936128,0,1,1,2,3212836864,1065749138,1077936128,1065749138,0
165,1077936128,0,1,1,2,0,1065749138,1077936128,1065749138,0
166,1077936128,0,1,1,2,1028443341,1065749138,1077936128,1028443341,0
167,1077936128,0,1,1,2,1120403456,1065749138,1077936128,1065749138,0
168,1077936128,1069547520,-1,0,2,3212836864,1065749138,3231256539,1065749138,1069547520
169,1077936128,1069547520,-1,0,2,0,1065749138,3231256539,1065749138,1069547520
170,1077936128,1069547520,-1,0,2,1028443341,1065749138,3231256539,1028443341,1069547520
171,1077936128,1069547520,-1,0,2,1120403456,1065749138,3231256539,1065749138,1069547520
172,1077936128,1069547520,-1,1,2,3212836864,1065749138,3225419776,1065749138,1069547520
173,1077936128,1069547520,-1,1,2,0,1065749138,3225419776,1065749138,1069547520
174,1077936128,1069547520,-1,1,2,1028443341,1065749138,3225419776,1028443341,1069547520
175,1077936128,1069547520,-1,1,2,1120403456,1065749138,3225419776,1065749138,1069547520
176,1077936128,1069547520,0,0,2,3212836864,1065749138,1069547520,1065749138,1069547520
177,1077936128,1069547520,0,0,2,0,1065749138,1069547520,1065749138,1069547520
178,1077936128,1069547520,0,0,2,1028443341,1065749138,1069547520,1028443341,1069547520
179,1077936128,1069547520,0,0,2,1120403456,1065749138,1069547520,1065749138,1069547520
180,1077936128,1069547520,0,1,2,3212836864,1065749138,1077936128,1065749138,1069547520
181,1077936128,1069547520,0,1,2,0,1065749138,1077936128,1065749138,1069547520
182,1077936128,1069547520,0,1,2,1028443341,1065749138,1077936128,1028443341,1069547520
183,1077936128,1069547520,0,1,2,1120403456,1065749138,1077936128,1065749138,1069547520
184,1077936128,1069547520,1,0,2,3212836864,1065749138,1069547520,1065749138,1069547520
185,1077936128,1069547520,1,0,2,0,1065749138,1069547520,1065749138,1069547520
186,1077936128,1069547520,1,0,2,1028443341,1065749138,1069547520,1028443341,1069547520
187,1077936128,1069547520,1,0,2,1120403456,1065749138,1069547520,1065749138,1069547520
188,1077936128,1069547520,1,1,2,3212836864,1065749138,1077936128,1065749138,1069547520
189,1077936128,1069547520,1,1,2,0,1065749138,1077936128,1065749138,1069547520
190,1077936128,1069547520,1,1,2,1028443341,1065749138,1077936128,1028443341,1069547520
191,1077936128,1069547520,1,1,2,1120403456,1065749138,1077936128,1065749138,1069547520
192,1077936128,3223322624,-1,0,2,3212836864,1065749138,3209199320,1065749138,3223322624
193,1077936128,3223322624,-1,0,2,0,1065749138,3209199320,1065749138,3223322624
194,1077936128,3223322624,-1,0,2,1028443341,1065749138,3209199320,1028443341,3223322624
195,1077936128,3223322624,-1,0,2,1120403456,1065749138,3209199320,1065749138,3223322624
196,1077936128,3223322624,-1,1,2,3212836864,1065749138,3225419776,1065749138,3223322624
197,1077936128,3223322624,-1,1,2,0,1065749138,3225419776,1065749138,3223322624
198,1077936128,3223322624,-1,1,2,1028443341,1065749138,3225419776,1028443341,3223322624
199,1077936128,3223322624,-1,1,2,1120403456,1065749138,3225419776,1065749138,3223322624
200,1077936128,3223322624,0,0,2,3212836864,1065749138,3209199320,1065749138,3223322624
201,1077936128,3223322624,0,0,2,0,1065749138,3209199320,1065749138,3223322624
202,1077936128,3223322624,0,0,2,1028443341,1065749138,3209199320,1028443341,3223322624
203,1077936128,3223322624,0,0,2,1120403456,1065749138,3209199320,1065749138,3223322624
204,1077936128,3223322624,0,1,2,3212836864,1065749138,1077936128,1065749138,3223322624
205,1077936128,3223322624,0,1,2,0,1065749138,1077936128,1065749138,3223322624
206,1077936128,3223322624,0,1,2,1028443341,1065749138,1077936128,1028443341,3223322624
207,1077936128,3223322624,0,1,2,1120403456,1065749138,1077936128,1065749138,3223322624
208,1077936128,3223322624,1,0,2,3212836864,1065749138,1085276160,1065749138,3223322624
209,1077936128,3223322624,1,0,2,0,1065749138,1085276160,1065749138,3223322624
210,1077936128,3223322624,1,0,2,1028443341,1065749138,1085276160,1028443341,3223322624
211,1077936128,3223322624,1,0,2,1120403456,1065749138,1085276160,1065749138,3223322624
212,1077936128,3223322624,1,1,2,3212836864,1065749138,1077936128,1065749138,3223322624
213,1077936128,3223322624,1,1,2,0,1065749138,1077936128,1065749138,3223322624
214,1077936128,3223322624,1,1,2,1028443341,1065749138,1077936128,1028443341,3223322624
215,1077936128,3223322624,1,1,2,1120403456,1065749138,1077936128,1065749138,3223322624
216,3204448256,0,-1,0,2,3212836864,1065749138,3204448256,1065749138,0
217,3204448256,0,-1,0,2,0,1065749138,3204448256,1065749138,0
218,3204448256,0,-1,0,2,1028443341,1065749138,3204448256,1028443341,0
219,3204448256,0,-1,0,2,1120403456,1065749138,3204448256,1065749138,0
220,3204448256,0,-1,1,2,3212836864,1065749138,1056964608,1065749138,0
221,3204448256,0,-1,1,2,0,1065749138,1056964608,1065749138,0
222,3204448256,0,-1,1,2,1028443341,1065749138,1056964608,1028443341,0
223,3204448256,0,-1,1,2,1120403456,1065749138,1056964608,1065749138,0
224,3204448256,0,0,0,2,3212836864,1065749138,3204448256,1065749138,0
225,3204448256,0,0,0,2,0,1065749138,3204448256,1065749138,0
226,3204448256,0,0,0,2,1028443341,1065749138,3204448256,1028443341,0
227,3204448256,0,0,0,2,1120403456,1065749138,3204448256,1065749138,0
228,3204448256,0,0,1,2,3212836864,1065749138,3204448256,1065749138,0
229,3204448256,0,0,1,2,0,1065749138,3204448256,1065749138,0
230,3204448256,0,0,1,2,1028443341,1065749138,3204448256,1028443341,0
231,3204448256,0,0,1,2,1120403456,1065749138,3204448256,1065749138,0
232,3204448256,0,1,0,2,3212836864,1065749138,1085870043,1065749138,0
233,3204448256,0,1,0,2,0,1065749138,1085870043,1065749138,0
234,3204448256,0,1,0,2,1028443341,1065749138,1085870043,1028443341,0
235,3204448256,0,1,0,2,1120403456,1065749138,1085870043,1065749138,0
236,3204448256,0,1,1,2,3212836864,1065749138,3204448256,1065749138,0
237,3204448256,0,1,1,2,0,1065749138,3204448256,1065749138,0
238,3204448256,0,1,1,2,1028443341,1065749138,3204448256,1028443341,0
239,3204448256,0,1,1,2,1120403456,1065749138,3204448256,1065749138,0
240,3204448256,1069547520,-1,0,2,3212836864,1065749138,3221225472,1065749138,1069547520
241,3204448256,1069547520,-1,0,2,0,1065749138,3221225472,1065749138,1069547520
242,3204448256,1069547520,-1,0,2,1028443341,1065749138,3221225472,1028443341,1069547520
243,3204448256,1069547520,-1,0,2,1120403456,1065749138,3221225472,1065749138,1069547520
244,3204448256,1069547520,-1,1,2,3212836864,1065749138,1056964608,1065749138,1069547520
245,3204448256,1069547520,-1,1,2,0,1065749138,1056964608,1065749138,1069547520
246,3204448256,1069547520,-1,1,2,1028443341,1065749138,1056964608,1028443341,1069547520
247,3204448256,1069547520,-1,1,2,1120403456,1065749138,1056964608,1065749138,1069547520
248,3204448256,1069547520,0,0,2,3212836864,1065749138,3221225472,1065749138,1069547520
249,3204448256,1069547520,0,0,2,0,1065749138,3221225472,1065749138,1069547520
250,3204448256,1069547520,0,0,2,1028443341,1065749138,3221225472,1028443341,1069547520
251,3204448256,1069547520,0,0,2,1120403456,1065749138,3221225472,1065749138,1069547520
252,3204448256,1069547520,0,1,2,3212836864,1065749138,3204448256,1065749138,1069547520
253,3204448256,1069547520,0,1,2,0,1065749138,3204448256,1065749138,1069547520
254,3204448256,1069547520,0,1,2,1028443341,1065749138,3204448256,1028443341,1069547520
255,3204448256,1069547520,0,1,2,1120403456,1065749138,3204448256,1065749138,1069547520
256,3204448256,1069547520,1,0,2,3212836864,1065749138,1082724315,1065749138,1069547520
257,3204448256,1069547520,1,0,2,0,1065749138,1082724315,1065749138,1069547520
258,3204448256,1069547520,1,0,2,1028443341,1065749138,1082724315,1028443341,1069547520
259,3204448256,1069547520,1,0,2,1120403456,1065749138,1082724315,1065749138,1069547520
260,3204448256,1069547520,1,1,2,3212836864,1065749138,3204448256,1065749138,1069547520
261,3204448256,1069547520,1,1,2,0,1065749138,3204448256,1065749138,1069547520
262,3204448256,1069547520,1,1,2,1028443341,1065749138,3204448256,1028443341,1069547520
263,3204448256,1069547520,1,1,2,1120403456,1065749138,3204448256,1065749138,1069547520
264,3204448256,3223322624,-1,0,2,3212836864,1065749138,3230207963,1065749138,3223322624
265,3204448256,3223322624,-1,0,2,0,1065749138,3230207963,1065749138,3223322624
266,3204448256,3223322624,-1,0,2,1028443341,1065749138,3230207963,1028443341,3223322624
267,3204448256,3223322624,-1,0,2,1120403456,1065749138,3230207963,1065749138,3223322624
268,3204448256,3223322624,-1,1,2,3212836864,1065749138,1056964608,1065749138,3223322624
269,3204448256,3223322624,-1,1,2,0,1065749138,1056964608,1065749138,3223322624
270,3204448256,3223322624,-1,1,2,1028443341,1065749138,1056964608,1028443341,3223322624
271,3204448256,3223322624,-1,1,2,1120403456,1065749138,1056964608,1065749138,3223322624
272,3204448256,3223322624,0,0,2,3212836864,1065749138,1073741824,1065749138,3223322624
273,3204448256,3223322624,0,0,2,0,1065749138,1073741824,1065749138,3223322624
274,3204448256,3223322624,0,0,2,1028443341,1065749138,1073741824,1028443341,3223322624
275,3204448256,3223322624,0,0,2,1120403456,1065749138,1073741824,1065749138,3223322624
276,3204448256,3223322624,0,1,2,3212836864,1065749138,3204448256,1065749138,3223322624
277,3204448256,3223322624,0,1,2,0,1065749138,3204448256,1065749138,3223322624
278,3204448256,3223322624,0,1,2,1028443341,1065749138,3204448256,1028443341,3223322624
279,3204448256,3223322624,0,1,2,1120403456,1065749138,3204448256,1065749138,3223322624
280,3204448256,3223322624,1,0,2,3212836864,1065749138,1073741824,1065749138,3223322624
281,3204448256,3223322624,1,0,2,0,1065749138,1073741824,1065749138,3223322624
282,3204448256,3223322624,1,0,2,1028443341,1065749138,1073741824,1028443341,3223322624
283,3204448256,3223322624,1,0,2,1120403456,1065749138,1073741824,1065749138,3223322624
284,3204448256,3223322624,1,1,2,3212836864,1065749138,3204448256,1065749138,3223322624
285,3204448256,3223322624,1,1,2,0,1065749138,3204448256,1065749138,3223322624
286,3204448256,3223322624,1,1,2,1028443341,1065749138,3204448256,1028443341,3223322624
287,3204448256,3223322624,1,1,2,1120403456,1065749138,3204448256,1065749138,3223322624
288,3225419776,0,-1,0,2,3212836864,1065749138,3225419776,1065749138,0
289,3225419776,0,-1,0,2,0,1065749138,3225419776,1065749138,0
290,3225419776,0,-1,0,2,1028443341,1065749138,3225419776,1028443341,0
291,3225419776,0,-1,0,2,1120403456,1065749138,3225419776,1065749138,0
292,3225419776,0,-1,1,2,3212836864,1065749138,1077936128,1065749138,0
293,3225419776,0,-1,1,2,0,1065749138,1077936128,1065749138,0
294,3225419776,0,-1,1,2,1028443341,1065749138,1077936128,1028443341,0
295,3225419776,0,-1,1,2,1120403456,1065749138,1077936128,1065749138,0
296,3225419776,0,0,0,2,3212836864,1065749138,3225419776,1065749138,0
297,3225419776,0,0,0,2,0,1065749138,3225419776,1065749138,0
298,3225419776,0,0,0,2,1028443341,1065749138,3225419776,1028443341,0
299,3225419776,0,0,0,2,1120403456,1065749138,3225419776,1065749138,0
300,3225419776,0,0,1,2,3212836864,1065749138,3225419776,1065749138,0
301,3225419776,0,0,1,2,0,1065749138,3225419776,1065749138,0
302,3225419776,0,0,1,2,1028443341,1065749138,3225419776,1028443341,0
303,3225419776,0,0,1,2,1120403456,1065749138,3225419776,1065749138,0
304,3225419776,0,1,0,2,3212836864,1065749138,1079123894,1065749138,0
305,3225419776,0,1,0,2,0,1065749138,1079123894,1065749138,0
306,3225419776,0,1,0,2,1028443341,1065749138,1079123894,1028443341,0
307,3225419776,0,1,0,2,1120403456,1065749138,1079123894,1065749138,0
308,3225419776,0,1,1,2,3212836864,1065749138,3225419776,1065749138,0
309,3225419776,0,1,1,2,0,1065749138,3225419776,1065749138,0
310,3225419776,0,1,1,2,1028443341,1065749138,3225419776,1028443341,0
311,3225419776,0,1,1,2,1120403456,1065749138,3225419776,1065749138,0
312,3225419776,1069547520,-1,0,2,3212836864,1065749138,3230662656,1065749138,1069547520
313,3225419776,1069547520,-1,0,2,0,1065749138,3230662656,1065749138,1069547520
314,3225419776,1069547520,-1,0,2,1028443341,1065749138,3230662656,1028443341,1069547520
315,3225419776,1069547520,-1,0,2,1120403456,1065749138,3230662656,1065749138,1069547520
316,3225419776,1069547520,-1,1,2,3212836864,1065749138,1077936128,1065749138,1069547520
317,3225419776,1069547520,-1,1,2,0,1065749138,1077936128,1065749138,1069547520
318,3225419776,1069547520,-1,1,2,1028443341,1065749138,1077936128,1028443341,1069547520
319,3225419776,1069547520,-1,1,2,1120403456,1065749138,1077936128,1065749138,1069547520
320,3225419776,1069547520,0,0,2,3212836864,1065749138,1071923052,1065749138,1069547520
321,3225419776,1069547520,0,0,2,0,1065749138,1071923052,1065749138,1069547520
322,3225419776,1069547520,0,0,2,1028443341,1065749138,1071923052,1028443341,1069547520
323,3225419776,1069547520,0,0,2,1120403456,1065749138,1071923052,1065749138,1069547520
324,3225419776,1069547520,0,1,2,3212836864,1065749138,3225419776,1065749138,1069547520
325,3225419776,1069547520,0,1,2,0,1065749138,3225419776,1065749138,1069547520
326,3225419776,1069547520,0,1,2,1028443341,1065749138,3225419776,1028443341,1069547520
327,3225419776,1069547520,0,1,2,1120403456,1065749138,3225419776,1065749138,1069547520
328,3225419776,1069547520,1,0,2,3212836864,1065749138,1071923052,1065749138,1069547520
329,3225419776,1069547520,1,0,2,0,1065749138,1071923052,1065749138,1069547520
330,3225419776,1069547520,1,0,2,1028443341,1065749138,1071923052,1028443341,1069547520
331,3225419776,1069547520,1,0,2,1120403456,1065749138,1071923052,1065749138,1069547520
332,3225419776,1069547520,1,1,2,3212836864,1065749138,3225419776,1065749138,1069547520
333,3225419776,1069547520,1,1,2,0,1065749138,3225419776,1065749138,1069547520
334,3225419776,1069547520,1,1,2,1028443341,1065749138,3225419776,1028443341,1069547520
335,3225419776,1069547520,1,1,2,1120403456,1065749138,3225419776,1065749138,1069547520
336,3225419776,3223322624,-1,0,2,3212836864,1065749138,3204448256,1065749138,3223322624
337,3225419776,3223322624,-1,0,2,0,1065749138,3204448256,1065749138,3223322624
338,3225419776,3223322624,-1,0,2,1028443341,1065749138,3204448256,1028443341,3223322624
339,3225419776,3223322624,-1,0,2,1120403456,1065749138,3204448256,1065749138,3223322624
340,3225419776,3223322624,-1,1,2,3212836864,1065749138,1077936128,1065749138,3223322624
341,3225419776,3223322624,-1,1,2,0,1065749138,1077936128,1065749138,3223322624
342,3225419776,3223322624,-1,1,2,1028443341,1065749138,1077936128,1028443341,3223322624
343,3225419776,3223322624,-1,1,2,1120403456,1065749138,1077936128,1065749138,3223322624
344,3225419776,3223322624,0,0,2,3212836864,1065749138,3204448256,1065749138,3223322624
345,3225419776,3223322624,0,0,2,0,1065749138,3204448256,1065749138,3223322624
346,3225419776,3223322624,0,0,2,1028443341,1065749138,3204448256,1028443341,3223322624
347,3225419776,3223322624,0,0,2,1120403456,1065749138,3204448256,1065749138,3223322624
348,3225419776,3223322624,0,1,2,3212836864,1065749138,3225419776,1065749138,3223322624
349,3225419776,3223322624,0,1,2,0,1065749138,3225419776,1065749138,3223322624
