#throttle
idx,control,mid_stick,thr_hover,out
5,500,1000,1060110336,1052508160
6,998,1000,1048576000,1048520144
7,998,1000,1056964608,1056931054
8,998,1000,1060110336,1060091449
9,999,1000,1048576000,1048548054
10,999,1000,1056964608,1056947831
11,999,1000,1060110336,1060100896
12,1000,1000,1048576000,4290772992
13,1000,1000,1056964608,4290772992
14,1000,1000,1060110336,4290772992
15,1200,1000,1048576000,4290772992
16,1200,1000,1056964608,4290772992
17,1200,1000,1060110336,4290772992
#yaw
idx,stick_norm,rate_degs,expo,out
0,3212836864,0,3204448256,2147483648
1,3212836864,0,0,2147483648
2,3212836864,0,1051931443,2147483648
3,3212836864,0,1064346583,2147483648
4,3212836864,0,1064514355,2147483648
5,3212836864,0,1065353216,2147483648
6,3212836864,1110704128,3204448256,3209236443
7,3212836864,1110704128,0,3209236443
8,3212836864,1110704128,1051931443,3209236443
9,3212836864,1110704128,1064346583,3209236443
10,3212836864,1110704128,1064514355,3209236443
11,3212836864,1110704128,1065353216,3209236443
12,3212836864,1128955904,3204448256,3227660758
13,3212836864,1128955904,0,3227660758
14,3212836864,1128955904,1051931443,3227660758
15,3212836864,1128955904,1064346583,3227660758
16,3212836864,1128955904,1064514355,3227660758
17,3212836864,1128955904,1065353216,3227660758
18,3205846357,0,3204448256,2147483648
19,3205846357,0,0,2147483648
20,3205846357,0,1051931443,2147483648
21,3205846357,0,1064346583,2147483648
22,3205846357,0,1064514355,2147483648
23,3205846357,0,1065353216,2147483648
24,3205846357,1110704128,3204448256,3204985864
25,3205846357,1110704128,0,3203043967
26,3205846357,1110704128,1051931443,3200226938
27,3205846357,1110704128,1064346583,3178842496
28,3205846357,1110704128,1064514355,3203043967
29,3205846357,1110704128,1065353216,3203043967
30,3205846357,1128955904,3204448256,3222878857
31,3205846357,1128955904,0,3221484135
32,3205846357,1128955904,1051931443,3218573641
33,3205846357,1128955904,1064346583,3196860760
34,3205846357,1128955904,1064514355,3221484135
35,3205846357,1128955904,1065353216,3221484135
36,0,0,3204448256,0
37,0,0,0,0
38,0,0,1051931443,0
39,0,0,1064346583,0
40,0,0,1064514355,0
41,0,0,1065353216,0
42,0,1110704128,3204448256,0
43,0,1110704128,0,0
44,0,1110704128,1051931443,0
45,0,1110704128,1064346583,0
46,0,1110704128,1064514355,0
47,0,1110704128,1065353216,0
48,0,1128955904,3204448256,0
49,0,1128955904,0,0
50,0,1128955904,1051931443,0
51,0,1128955904,1064346583,0
52,0,1128955904,1064514355,0
53,0,1128955904,1065353216,0
54,0,0,3204448256,0
55,0,0,0,0
56,0,0,1051931443,0
57,0,0,1064346583,0
58,0,0,1064514355,0
59,0,0,1065353216,0
60,0,1110704128,3204448256,0
61,0,1110704128,0,0
62,0,1110704128,1051931443,0
63,0,1110704128,1064346583,0
64,0,1110704128,1064514355,0
65,0,1110704128,1065353216,0
66,0,1128955904,3204448256,0
67,0,1128955904,0,0
68,0,1128955904,1051931443,0
69,0,1128955904,1064346583,0
70,0,1128955904,1064514355,0
71,0,1128955904,1065353216,0
72,0,0,3204448256,0
73,0,0,0,0
74,0,0,1051931443,0
75,0,0,1064346583,0
76,0,0,1064514355,0
77,0,0,1065353216,0
78,0,1110704128,3204448256,0
79,0,1110704128,0,0
80,0,1110704128,1051931443,0
81,0,1110704128,1064346583,0
82,0,1110704128,1064514355,0
83,0,1110704128,1065353216,0
84,0,1128955904,3204448256,0
85,0,1128955904,0,0
86,0,1128955904,1051931443,0
87,0,1128955904,1064346583,0
88,0,1128955904,1064514355,0
89,0,1128955904,1065353216,0
90,1058362709,0,3204448256,0
91,1058362709,0,0,0
92,1058362709,0,1051931443,0
93,1058362709,0,1064346583,0
94,1058362709,0,1064514355,0
95,1058362709,0,1065353216,0
96,1058362709,1110704128,3204448256,1057502216
97,1058362709,1110704128,0,1055560319
98,1058362709,1110704128,1051931443,1052743290
99,1058362709,1110704128,1064346583,1031358848
100,1058362709,1110704128,1064514355,1055560319
101,1058362709,1110704128,1065353216,1055560319
102,1058362709,1128955904,3204448256,1075395209
103,1058362709,1128955904,0,1074000487
104,1058362709,1128955904,1051931443,1071089993
105,1058362709,1128955904,1064346583,1049377112
106,1058362709,1128955904,1064514355,1074000487
107,1058362709,1128955904,1065353216,1074000487
108,1065353216,0,3204448256,0
109,1065353216,0,0,0
110,1065353216,0,1051931443,0
111,1065353216,0,1064346583,0
112,1065353216,0,1064514355,0
113,1065353216,0,1065353216,0
114,1065353216,1110704128,3204448256,1061752795
115,1065353216,1110704128,0,1061752795
116,1065353216,1110704128,1051931443,1061752795
117,1065353216,1110704128,1064346583,1061752795
118,1065353216,1110704128,1064514355,1061752795
119,1065353216,1110704128,1065353216,1061752795
120,1065353216,1128955904,3204448256,1080177110
121,1065353216,1128955904,0,1080177110
122,1065353216,1128955904,1051931443,1080177110
123,1065353216,1128955904,1064346583,1080177110
124,1065353216,1128955904,1064514355,1080177110
125,1065353216,1128955904,1065353216,1080177110
