#atmosphere
kind,input,a,b
eas2tas_sitl,1201422336,1132515082,0
temp_from_alt,1201422336,1128702841,0
pt,1201934336,1057485457,1128191822
density,1201934336,925016803,0
eas2tas_sitl,1201934336,1135542272,0
temp_from_alt,1201934336,1128191822,0
pt,1202043392,1055536577,1128083057
density,1202043392,923620059,0
eas2tas_sitl,1202043392,1135542272,0
temp_from_alt,1202043392,1128083057,0
pt,1202702336,1044103704,1127936557
density,1202702336,912608482,0
eas2tas_sitl,1202702336,1135542272,0
temp_from_alt,1202702336,1127936557,0
alt_from_p,1210898944,3315269185,0
alt_from_p,1206542336,3300209840,0
alt_from_p,1204151936,0,0
alt_from_p,1203342336,1141315728,0
alt_from_p,1202686464,1148846514,0
alt_from_p,1201357696,1157240017,0
alt_from_p,1200156160,1161533348,0
alt_from_p,1198573568,1165633737,0
alt_from_p,1196622592,1167876223,0
alt_from_p,1194872064,1169927524,0
alt_from_p,1193305088,1171979969,0
alt_from_p,1191907072,1174032874,0
alt_from_p,1190145024,1175245682,0
alt_from_p,1187940352,1176272712,0
alt_from_p,1185992704,1177300067,0
alt_from_p,1184302080,1178327899,0
alt_from_p,1178349568,1181413162,0
alt_from_p,1168840479,1184677439,0
alt_from_p,1159680000,1187205412,0
alt_from_p,1150656512,1189765213,0
alt_from_p,1146683703,1190872015,0
alt_from_p,1136263168,1192547212,0
alt_from_p,1121832927,1194915352,0
alt_from_p,1116070072,1195955322,0
alt_from_p,1103888384,1197870033,0
alt_from_p,1081947644,1200372988,0
alt_from_p,1065772646,1201424132,0
alt_from_p,1052715946,1202190330,0
alt_from_p,1036831949,1203139329,0
alt_diff,1210898944,3315269185,0
alt_diff,1206542336,3300209840,0
alt_diff,1204151936,0,0
alt_diff,1203342336,1141315728,0
alt_diff,1202686464,1148846514,0
alt_diff,1201357696,1157240017,0
alt_diff,1200156160,1161533348,0
alt_diff,1198573568,1165633737,0
alt_diff,1196622592,1167876223,0
alt_diff,1194872064,1169927524,0
alt_diff,1193305088,1171979969,0
alt_diff,1191907072,1174032874,0
alt_diff,1190145024,1175245682,0
alt_diff,1187940352,1176272712,0
alt_diff,1185992704,1177300067,0
alt_diff,1184302080,1178327899,0
alt_diff,1178349568,1181413162,0
alt_diff,1168840479,1184677439,0
alt_diff,1159680000,1187205412,0
alt_diff,1150656512,1189765213,0
alt_diff,1146683703,1190872015,0
alt_diff,1136263168,1192547212,0
alt_diff,1121832927,1194915352,0
alt_diff,1116070072,1195955322,0
alt_diff,1103888384,1197870033,0
alt_diff,1081947644,1200372988,0
alt_diff,1065772646,1201424132,0
alt_diff,1052715946,1202190330,0
alt_diff,1036831949,1203139329,0
sealevel,3313106944,1209785222,1204151934
sealevel,3296329728,1205765522,1204151934
sealevel,3284664320,1204778976,1204151944
sealevel,3267887104,1204306443,1204151932
sealevel,0,1204151937,1204151937
sealevel,1120403456,1203998908,1204151937
sealevel,1140457472,1203401381,1204151934
sealevel,1148846080,1202686497,1204151930
sealevel,1157234688,1201358519,1204151939
sealevel,1167867904,1196630093,1204151942
sealevel,1174011904,1191920543,1204151937
sealevel,1176256512,1187973069,1204151936
sealevel,1177178112,1186211203,1204151934
sealevel,1177280512,1186027500,1204151931
sealevel,1177382912,1185846319,1204151933
sealevel,1181376512,1178419042,1204151950
sealevel,1184593920,1169130802,1204151938
sealevel,1184645120,1168951953,1204151930
