#alt_hold
idx,armed,spool,takeoff_running,auto_armed,land_complete,using_interlock,motor_interlock,rate,state,desired,commanded
44,1,3,0,0,0,0,0,1075838976,3,0,1
45,1,4,0,0,0,0,0,3223322624,3,0,1
46,1,4,0,0,0,0,0,3129152111,3,0,1
47,1,4,0,0,0,0,0,0,3,0,1
48,1,4,0,0,0,0,0,981668463,3,0,1
49,1,4,0,0,0,0,0,1075838976,3,0,1
50,0,0,1,0,0,0,0,3223322624,0,0,1
51,0,0,1,0,0,0,0,3129152111,0,0,1
52,0,0,1,0,0,0,0,0,0,0,1
53,0,0,1,0,0,0,0,981668463,0,0,1
54,0,0,1,0,0,0,0,1075838976,0,0,1
55,0,1,1,0,0,0,0,3223322624,2,0,1
56,0,1,1,0,0,0,0,3129152111,2,0,1
57,0,1,1,0,0,0,0,0,2,0,1
58,0,1,1,0,0,0,0,981668463,2,0,1
59,0,1,1,0,0,0,0,1075838976,2,0,1
60,0,2,1,0,0,0,0,3223322624,3,0,1
61,0,2,1,0,0,0,0,3129152111,3,0,1
62,0,2,1,0,0,0,0,0,3,0,1
63,0,2,1,0,0,0,0,981668463,3,0,1
64,0,2,1,0,0,0,0,1075838976,3,0,1
65,0,3,1,0,0,0,0,3223322624,3,0,1
66,0,3,1,0,0,0,0,3129152111,3,0,1
67,0,3,1,0,0,0,0,0,3,0,1
68,0,3,1,0,0,0,0,981668463,3,0,1
69,0,3,1,0,0,0,0,1075838976,3,0,1
70,0,4,1,0,0,0,0,3223322624,3,0,1
71,0,4,1,0,0,0,0,3129152111,3,0,1
72,0,4,1,0,0,0,0,0,3,0,1
73,0,4,1,0,0,0,0,981668463,3,0,1
74,0,4,1,0,0,0,0,1075838976,3,0,1
75,1,0,1,0,0,0,0,3223322624,1,-1,0
76,1,0,1,0,0,0,0,3129152111,1,-1,0
77,1,0,1,0,0,0,0,0,1,-1,0
78,1,0,1,0,0,0,0,981668463,1,-1,0
79,1,0,1,0,0,0,0,1075838976,1,-1,0
80,1,1,1,0,0,0,0,3223322624,1,-1,0
81,1,1,1,0,0,0,0,3129152111,1,-1,0
82,1,1,1,0,0,0,0,0,1,-1,0
83,1,1,1,0,0,0,0,981668463,1,-1,0
84,1,1,1,0,0,0,0,1075838976,1,-1,0
85,1,2,1,0,0,0,0,3223322624,1,-1,0
86,1,2,1,0,0,0,0,3129152111,1,-1,0
87,1,2,1,0,0,0,0,0,1,-1,0
88,1,2,1,0,0,0,0,981668463,1,-1,0
89,1,2,1,0,0,0,0,1075838976,1,-1,0
90,1,3,1,0,0,0,0,3223322624,1,-1,0
91,1,3,1,0,0,0,0,3129152111,1,-1,0
92,1,3,1,0,0,0,0,0,1,-1,0
93,1,3,1,0,0,0,0,981668463,1,-1,0
94,1,3,1,0,0,0,0,1075838976,1,-1,0
95,1,4,1,0,0,0,0,3223322624,1,-1,0
96,1,4,1,0,0,0,0,3129152111,1,-1,0
97,1,4,1,0,0,0,0,0,1,-1,0
98,1,4,1,0,0,0,0,981668463,1,-1,0
99,1,4,1,0,0,0,0,1075838976,1,-1,0
100,0,0,0,1,0,0,0,3223322624,0,0,1
101,0,0,0,1,0,0,0,3129152111,0,0,1
102,0,0,0,1,0,0,0,0,0,0,1
103,0,0,0,1,0,0,0,981668463,0,0,1
104,0,0,0,1,0,0,0,1075838976,0,0,1
105,0,1,0,1,0,0,0,3223322624,2,0,1
106,0,1,0,1,0,0,0,3129152111,2,0,1
107,0,1,0,1,0,0,0,0,2,0,1
108,0,1,0,1,0,0,0,981668463,2,0,1
109,0,1,0,1,0,0,0,1075838976,2,0,1
110,0,2,0,1,0,0,0,3223322624,3,0,1
111,0,2,0,1,0,0,0,3129152111,3,0,1
112,0,2,0,1,0,0,0,0,3,0,1
113,0,2,0,1,0,0,0,981668463,3,0,1
114,0,2,0,1,0,0,0,1075838976,3,0,1
115,0,3,0,1,0,0,0,3223322624,3,0,1
116,0,3,0,1,0,0,0,3129152111,3,0,1
117,0,3,0,1,0,0,0,0,3,0,1
118,0,3,0,1,0,0,0,981668463,3,0,1
119,0,3,0,1,0,0,0,1075838976,3,0,1
120,0,4,0,1,0,0,0,3223322624,3,0,1
121,0,4,0,1,0,0,0,3129152111,3,0,1
122,0,4,0,1,0,0,0,0,3,0,1
123,0,4,0,1,0,0,0,981668463,3,0,1
124,0,4,0,1,0,0,0,1075838976,3,0,1
125,1,0,0,1,0,0,0,3223322624,4,0,1
126,1,0,0,1,0,0,0,3129152111,4,0,1
127,1,0,0,1,0,0,0,0,4,0,1
128,1,0,0,1,0,0,0,981668463,4,0,1
129,1,0,0,1,0,0,0,1075838976,4,0,1
130,1,1,0,1,0,0,0,3223322624,4,0,1
131,1,1,0,1,0,0,0,3129152111,4,0,1
132,1,1,0,1,0,0,0,0,4,0,1
133,1,1,0,1,0,0,0,981668463,4,0,1
134,1,1,0,1,0,0,0,1075838976,4,0,1
135,1,2,0,1,0,0,0,3223322624,4,0,1
136,1,2,0,1,0,0,0,3129152111,4,0,1
137,1,2,0,1,0,0,0,0,4,0,1
138,1,2,0,1,0,0,0,981668463,4,0,1
139,1,2,0,1,0,0,0,1075838976,4,0,1
140,1,3,0,1,0,0,0,3223322624,4,0,1
141,1,3,0,1,0,0,0,3129152111,4,0,1
142,1,3,0,1,0,0,0,0,4,0,1
143,1,3,0,1,0,0,0,981668463,4,0,1
144,1,3,0,1,0,0,0,1075838976,4,0,1
145,1,4,0,1,0,0,0,3223322624,4,0,1
146,1,4,0,1,0,0,0,3129152111,4,0,1
147,1,4,0,1,0,0,0,0,4,0,1
148,1,4,0,1,0,0,0,981668463,4,0,1
149,1,4,0,1,0,0,0,1075838976,4,0,1
150,0,0,1,1,0,0,0,3223322624,0,0,1
151,0,0,1,1,0,0,0,3129152111,0,0,1
152,0,0,1,1,0,0,0,0,0,0,1
153,0,0,1,1,0,0,0,981668463,0,0,1
154,0,0,1,1,0,0,0,1075838976,0,0,1
155,0,1,1,1,0,0,0,3223322624,2,0,1
156,0,1,1,1,0,0,0,3129152111,2,0,1
157,0,1,1,1,0,0,0,0,2,0,1
158,0,1,1,1,0,0,0,981668463,2,0,1
159,0,1,1,1,0,0,0,1075838976,2,0,1
160,0,2,1,1,0,0,0,3223322624,3,0,1
161,0,2,1,1,0,0,0,3129152111,3,0,1
162,0,2,1,1,0,0,0,0,3,0,1
163,0,2,1,1,0,0,0,981668463,3,0,1
164,0,2,1,1,0,0,0,1075838976,3,0,1
165,0,3,1,1,0,0,0,3223322624,3,0,1
166,0,3,1,1,0,0,0,3129152111,3,0,1
167,0,3,1,1,0,0,0,0,3,0,1
168,0,3,1,1,0,0,0,981668463,3,0,1
169,0,3,1,1,0,0,0,1075838976,3,0,1
170,0,4,1,1,0,0,0,3223322624,3,0,1
171,0,4,1,1,0,0,0,3129152111,3,0,1
172,0,4,1,1,0,0,0,0,3,0,1
173,0,4,1,1,0,0,0,981668463,3,0,1
174,0,4,1,1,0,0,0,1075838976,3,0,1
175,1,0,1,1,0,0,0,3223322624,1,-1,0
176,1,0,1,1,0,0,0,3129152111,1,-1,0
177,1,0,1,1,0,0,0,0,1,-1,0
178,1,0,1,1,0,0,0,981668463,1,-1,0
179,1,0,1,1,0,0,0,1075838976,1,-1,0
180,1,1,1,1,0,0,0,3223322624,1,-1,0
181,1,1,1,1,0,0,0,3129152111,1,-1,0
182,1,1,1,1,0,0,0,0,1,-1,0
183,1,1,1,1,0,0,0,981668463,1,-1,0
184,1,1,1,1,0,0,0,1075838976,1,-1,0
185,1,2,1,1,0,0,0,3223322624,1,-1,0
186,1,2,1,1,0,0,0,3129152111,1,-1,0
187,1,2,1,1,0,0,0,0,1,-1,0
188,1,2,1,1,0,0,0,981668463,1,-1,0
189,1,2,1,1,0,0,0,1075838976,1,-1,0
190,1,3,1,1,0,0,0,3223322624,1,-1,0
191,1,3,1,1,0,0,0,3129152111,1,-1,0
192,1,3,1,1,0,0,0,0,1,-1,0
193,1,3,1,1,0,0,0,981668463,1,-1,0
194,1,3,1,1,0,0,0,1075838976,1,-1,0
195,1,4,1,1,0,0,0,3223322624,1,-1,0
196,1,4,1,1,0,0,0,3129152111,1,-1,0
197,1,4,1,1,0,0,0,0,1,-1,0
198,1,4,1,1,0,0,0,981668463,1,-1,0
199,1,4,1,1,0,0,0,1075838976,1,-1,0
200,0,0,0,0,1,0,0,3223322624,0,0,1
201,0,0,0,0,1,0,0,3129152111,0,0,1
202,0,0,0,0,1,0,0,0,0,0,1
203,0,0,0,0,1,0,0,981668463,0,0,1
204,0,0,0,0,1,0,0,1075838976,0,0,1
205,0,1,0,0,1,0,0,3223322624,2,0,1
206,0,1,0,0,1,0,0,3129152111,2,0,1
207,0,1,0,0,1,0,0,0,2,0,1
208,0,1,0,0,1,0,0,981668463,2,0,1
209,0,1,0,0,1,0,0,1075838976,2,0,1
210,0,2,0,0,1,0,0,3223322624,3,0,1
211,0,2,0,0,1,0,0,3129152111,3,0,1
212,0,2,0,0,1,0,0,0,3,0,1
213,0,2,0,0,1,0,0,981668463,3,0,1
214,0,2,0,0,1,0,0,1075838976,3,0,1
215,0,3,0,0,1,0,0,3223322624,3,0,1
216,0,3,0,0,1,0,0,3129152111,3,0,1
217,0,3,0,0,1,0,0,0,3,0,1
218,0,3,0,0,1,0,0,981668463,3,0,1
219,0,3,0,0,1,0,0,1075838976,3,0,1
220,0,4,0,0,1,0,0,3223322624,3,0,1
221,0,4,0,0,1,0,0,3129152111,3,0,1
222,0,4,0,0,1,0,0,0,3,0,1
223,0,4,0,0,1,0,0,981668463,3,0,1
224,0,4,0,0,1,0,0,1075838976,3,0,1
225,1,0,0,0,1,0,0,3223322624,3,0,1
226,1,0,0,0,1,0,0,3129152111,3,0,1
227,1,0,0,0,1,0,0,0,3,0,1
228,1,0,0,0,1,0,0,981668463,3,0,1
229,1,0,0,0,1,0,0,1075838976,3,0,1
230,1,1,0,0,1,0,0,3223322624,2,0,1
231,1,1,0,0,1,0,0,3129152111,2,0,1
232,1,1,0,0,1,0,0,0,2,0,1
233,1,1,0,0,1,0,0,981668463,2,0,1
234,1,1,0,0,1,0,0,1075838976,2,0,1
235,1,2,0,0,1,0,0,3223322624,3,0,1
236,1,2,0,0,1,0,0,3129152111,3,0,1
237,1,2,0,0,1,0,0,0,3,0,1
238,1,2,0,0,1,0,0,981668463,3,0,1
239,1,2,0,0,1,0,0,1075838976,3,0,1
240,1,3,0,0,1,0,0,3223322624,3,0,1
241,1,3,0,0,1,0,0,3129152111,3,0,1
242,1,3,0,0,1,0,0,0,3,0,1
243,1,3,0,0,1,0,0,981668463,1,-1,0
244,1,3,0,0,1,0,0,1075838976,1,-1,0
245,1,4,0,0,1,0,0,3223322624,3,0,1
246,1,4,0,0,1,0,0,3129152111,3,0,1
247,1,4,0,0,1,0,0,0,3,0,1
248,1,4,0,0,1,0,0,981668463,3,0,1
249,1,4,0,0,1,0,0,1075838976,3,0,1
250,0,0,1,0,1,0,0,3223322624,0,0,1
251,0,0,1,0,1,0,0,3129152111,0,0,1
252,0,0,1,0,1,0,0,0,0,0,1
253,0,0,1,0,1,0,0,981668463,0,0,1
254,0,0,1,0,1,0,0,1075838976,0,0,1
255,0,1,1,0,1,0,0,3223322624,2,0,1
256,0,1,1,0,1,0,0,3129152111,2,0,1
257,0,1,1,0,1,0,0,0,2,0,1
258,0,1,1,0,1,0,0,981668463,2,0,1
259,0,1,1,0,1,0,0,1075838976,2,0,1
260,0,2,1,0,1,0,0,3223322624,3,0,1
261,0,2,1,0,1,0,0,3129152111,3,0,1
262,0,2,1,0,1,0,0,0,3,0,1
263,0,2,1,0,1,0,0,981668463,3,0,1
264,0,2,1,0,1,0,0,1075838976,3,0,1
265,0,3,1,0,1,0,0,3223322624,3,0,1
266,0,3,1,0,1,0,0,3129152111,3,0,1
267,0,3,1,0,1,0,0,0,3,0,1
268,0,3,1,0,1,0,0,981668463,3,0,1
269,0,3,1,0,1,0,0,1075838976,3,0,1
270,0,4,1,0,1,0,0,3223322624,3,0,1
271,0,4,1,0,1,0,0,3129152111,3,0,1
272,0,4,1,0,1,0,0,0,3,0,1
273,0,4,1,0,1,0,0,981668463,3,0,1
274,0,4,1,0,1,0,0,1075838976,3,0,1
275,1,0,1,0,1,0,0,3223322624,1,-1,0
276,1,0,1,0,1,0,0,3129152111,1,-1,0
277,1,0,1,0,1,0,0,0,1,-1,0
278,1,0,1,0,1,0,0,981668463,1,-1,0
279,1,0,1,0,1,0,0,1075838976,1,-1,0
280,1,1,1,0,1,0,0,3223322624,1,-1,0
281,1,1,1,0,1,0,0,3129152111,1,-1,0
282,1,1,1,0,1,0,0,0,1,-1,0
283,1,1,1,0,1,0,0,981668463,1,-1,0
284,1,1,1,0,1,0,0,1075838976,1,-1,0
285,1,2,1,0,1,0,0,3223322624,1,-1,0
286,1,2,1,0,1,0,0,3129152111,1,-1,0
287,1,2,1,0,1,0,0,0,1,-1,0
288,1,2,1,0,1,0,0,981668463,1,-1,0
289,1,2,1,0,1,0,0,1075838976,1,-1,0
290,1,3,1,0,1,0,0,3223322624,1,-1,0
291,1,3,1,0,1,0,0,3129152111,1,-1,0
292,1,3,1,0,1,0,0,0,1,-1,0
293,1,3,1,0,1,0,0,981668463,1,-1,0
294,1,3,1,0,1,0,0,1075838976,1,-1,0
295,1,4,1,0,1,0,0,3223322624,1,-1,0
296,1,4,1,0,1,0,0,3129152111,1,-1,0
297,1,4,1,0,1,0,0,0,1,-1,0
298,1,4,1,0,1,0,0,981668463,1,-1,0
299,1,4,1,0,1,0,0,1075838976,1,-1,0
300,0,0,0,1,1,0,0,3223322624,0,0,1
301,0,0,0,1,1,0,0,3129152111,0,0,1
302,0,0,0,1,1,0,0,0,0,0,1
303,0,0,0,1,1,0,0,981668463,0,0,1
304,0,0,0,1,1,0,0,1075838976,0,0,1
305,0,1,0,1,1,0,0,3223322624,2,0,1
306,0,1,0,1,1,0,0,3129152111,2,0,1
307,0,1,0,1,1,0,0,0,2,0,1
308,0,1,0,1,1,0,0,981668463,2,0,1
309,0,1,0,1,1,0,0,1075838976,2,0,1
310,0,2,0,1,1,0,0,3223322624,3,0,1
311,0,2,0,1,1,0,0,3129152111,3,0,1
312,0,2,0,1,1,0,0,0,3,0,1
313,0,2,0,1,1,0,0,981668463,3,0,1
314,0,2,0,1,1,0,0,1075838976,3,0,1
315,0,3,0,1,1,0,0,3223322624,3,0,1
316,0,3,0,1,1,0,0,3129152111,3,0,1
317,0,3,0,1,1,0,0,0,3,0,1
318,0,3,0,1,1,0,0,981668463,3,0,1
319,0,3,0,1,1,0,0,1075838976,3,0,1
320,0,4,0,1,1,0,0,3223322624,3,0,1
321,0,4,0,1,1,0,0,3129152111,3,0,1
322,0,4,0,1,1,0,0,0,3,0,1
323,0,4,0,1,1,0,0,981668463,3,0,1
324,0,4,0,1,1,0,0,1075838976,3,0,1
325,1,0,0,1,1,0,0,3223322624,3,0,1
326,1,0,0,1,1,0,0,3129152111,3,0,1
327,1,0,0,1,1,0,0,0,3,0,1
328,1,0,0,1,1,0,0,981668463,3,0,1
329,1,0,0,1,1,0,0,1075838976,3,0,1
330,1,1,0,1,1,0,0,3223322624,2,0,1
331,1,1,0,1,1,0,0,3129152111,2,0,1
332,1,1,0,1,1,0,0,0,2,0,1
333,1,1,0,1,1,0,0,981668463,2,0,1
334,1,1,0,1,1,0,0,1075838976,2,0,1
335,1,2,0,1,1,0,0,3223322624,3,0,1
336,1,2,0,1,1,0,0,3129152111,3,0,1
337,1,2,0,1,1,0,0,0,3,0,1
338,1,2,0,1,1,0,0,981668463,3,0,1
339,1,2,0,1,1,0,0,1075838976,3,0,1
340,1,3,0,1,1,0,0,3223322624,3,0,1
341,1,3,0,1,1,0,0,3129152111,3,0,1
342,1,3,0,1,1,0,0,0,3,0,1
343,1,3,0,1,1,0,0,981668463,1,-1,0
344,1,3,0,1,1,0,0,1075838976,1,-1,0
345,1,4,0,1,1,0,0,3223322624,3,0,1
346,1,4,0,1,1,0,0,3129152111,3,0,1
347,1,4,0,1,1,0,0,0,3,0,1
348,1,4,0,1,1,0,0,981668463,3,0,1
349,1,4,0,1,1,0,0,1075838976,3,0,1
350,0,0,1,1,1,0,0,3223322624,0,0,1
351,0,0,1,1,1,0,0,3129152111,0,0,1
352,0,0,1,1,1,0,0,0,0,0,1
353,0,0,1,1,1,0,0,981668463,0,0,1
354,0,0,1,1,1,0,0,1075838976,0,0,1
355,0,1,1,1,1,0,0,3223322624,2,0,1
356,0,1,1,1,1,0,0,3129152111,2,0,1
357,0,1,1,1,1,0,0,0,2,0,1
358,0,1,1,1,1,0,0,981668463,2,0,1
359,0,1,1,1,1,0,0,1075838976,2,0,1
360,0,2,1,1,1,0,0,3223322624,3,0,1
361,0,2,1,1,1,0,0,3129152111,3,0,1
362,0,2,1,1,1,0,0,0,3,0,1
363,0,2,1,1,1,0,0,981668463,3,0,1
364,0,2,1,1,1,0,0,1075838976,3,0,1
365,0,3,1,1,1,0,0,3223322624,3,0,1
366,0,3,1,1,1,0,0,3129152111,3,0,1
367,0,3,1,1,1,0,0,0,3,0,1
368,0,3,1,1,1,0,0,981668463,3,0,1
369,0,3,1,1,1,0,0,1075838976,3,0,1
370,0,4,1,1,1,0,0,3223322624,3,0,1
371,0,4,1,1,1,0,0,3129152111,3,0,1
372,0,4,1,1,1,0,0,0,3,0,1
373,0,4,1,1,1,0,0,981668463,3,0,1
374,0,4,1,1,1,0,0,1075838976,3,0,1
375,1,0,1,1,1,0,0,3223322624,1,-1,0
376,1,0,1,1,1,0,0,3129152111,1,-1,0
377,1,0,1,1,1,0,0,0,1,-1,0
378,1,0,1,1,1,0,0,981668463,1,-1,0
379,1,0,1,1,1,0,0,1075838976,1,-1,0
380,1,1,1,1,1,0,0,3223322624,1,-1,0
381,1,1,1,1,1,0,0,3129152111,1,-1,0
382,1,1,1,1,1,0,0,0,1,-1,0
383,1,1,1,1,1,0,0,981668463,1,-1,0
384,1,1,1,1,1,0,0,1075838976,1,-1,0
385,1,2,1,1,1,0,0,3223322624,1,-1,0
386,1,2,1,1,1,0,0,3129152111,1,-1,0
387,1,2,1,1,1,0,0,0,1,-1,0
388,1,2,1,1,1,0,0,981668463,1,-1,0
389,1,2,1,1,1,0,0,1075838976,1,-1,0
390,1,3,1,1,1,0,0,3223322624,1,-1,0
391,1,3,1,1,1,0,0,3129152111,1,-1,0
392,1,3,1,1,1,0,0,0,1,-1,0
393,1,3,1,1,1,0,0,981668463,1,-1,0
394,1,3,1,1,1,0,0,1075838976,1,-1,0
395,1,4,1,1,1,0,0,3223322624,1,-1,0
396,1,4,1,1,1,0,0,3129152111,1,-1,0
397,1,4,1,1,1,0,0,0,1,-1,0
398,1,4,1,1,1,0,0,981668463,1,-1,0
399,1,4,1,1,1,0,0,1075838976,1,-1,0
400,0,0,0,0,0,1,0,3223322624,0,0,1
401,0,0,0,0,0,1,0,3129152111,0,0,1
402,0,0,0,0,0,1,0,0,0,0,1
403,0,0,0,0,0,1,0,981668463,0,0,1
404,0,0,0,0,0,1,0,1075838976,0,0,1
405,0,1,0,0,0,1,0,3223322624,2,0,1
406,0,1,0,0,0,1,0,3129152111,2,0,1
407,0,1,0,0,0,1,0,0,2,0,1
408,0,1,0,0,0,1,0,981668463,2,0,1
409,0,1,0,0,0,1,0,1075838976,2,0,1
410,0,2,0,0,0,1,0,3223322624,3,0,1
411,0,2,0,0,0,1,0,3129152111,3,0,1
412,0,2,0,0,0,1,0,0,3,0,1
413,0,2,0,0,0,1,0,981668463,3,0,1
414,0,2,0,0,0,1,0,1075838976,3,0,1
415,0,3,0,0,0,1,0,3223322624,3,0,1
416,0,3,0,0,0,1,0,3129152111,3,0,1
417,0,3,0,0,0,1,0,0,3,0,1
418,0,3,0,0,0,1,0,981668463,3,0,1
419,0,3,0,0,0,1,0,1075838976,3,0,1
420,0,4,0,0,0,1,0,3223322624,3,0,1
421,0,4,0,0,0,1,0,3129152111,3,0,1
422,0,4,0,0,0,1,0,0,3,0,1
423,0,4,0,0,0,1,0,981668463,3,0,1
424,0,4,0,0,0,1,0,1075838976,3,0,1
425,1,0,0,0,0,1,0,3223322624,3,0,1
426,1,0,0,0,0,1,0,3129152111,3,0,1
427,1,0,0,0,0,1,0,0,3,0,1
428,1,0,0,0,0,1,0,981668463,3,0,1
429,1,0,0,0,0,1,0,1075838976,3,0,1
430,1,1,0,0,0,1,0,3223322624,2,0,1
431,1,1,0,0,0,1,0,3129152111,2,0,1
432,1,1,0,0,0,1,0,0,2,0,1
433,1,1,0,0,0,1,0,981668463,2,0,1
434,1,1,0,0,0,1,0,1075838976,2,0,1
435,1,2,0,0,0,1,0,3223322624,3,0,1
436,1,2,0,0,0,1,0,3129152111,3,0,1
437,1,2,0,0,0,1,0,0,3,0,1
438,1,2,0,0,0,1,0,981668463,3,0,1
439,1,2,0,0,0,1,0,1075838976,3,0,1
440,1,3,0,0,0,1,0,3223322624,3,0,1
441,1,3,0,0,0,1,0,3129152111,3,0,1
442,1,3,0,0,0,1,0,0,3,0,1
443,1,3,0,0,0,1,0,981668463,3,0,1
444,1,3,0,0,0,1,0,1075838976,3,0,1
445,1,4,0,0,0,1,0,3223322624,3,0,1
446,1,4,0,0,0,1,0,3129152111,3,0,1
447,1,4,0,0,0,1,0,0,3,0,1
448,1,4,0,0,0,1,0,981668463,3,0,1
449,1,4,0,0,0,1,0,1075838976,3,0,1
450,0,0,1,0,0,1,0,3223322624,0,0,1
451,0,0,1,0,0,1,0,3129152111,0,0,1
452,0,0,1,0,0,1,0,0,0,0,1
453,0,0,1,0,0,1,0,981668463,0,0,1
454,0,0,1,0,0,1,0,1075838976,0,0,1
455,0,1,1,0,0,1,0,3223322624,2,0,1
456,0,1,1,0,0,1,0,3129152111,2,0,1
457,0,1,1,0,0,1,0,0,2,0,1
458,0,1,1,0,0,1,0,981668463,2,0,1
459,0,1,1,0,0,1,0,1075838976,2,0,1
460,0,2,1,0,0,1,0,3223322624,3,0,1
461,0,2,1,0,0,1,0,3129152111,3,0,1
462,0,2,1,0,0,1,0,0,3,0,1
463,0,2,1,0,0,1,0,981668463,3,0,1
464,0,2,1,0,0,1,0,1075838976,3,0,1
465,0,3,1,0,0,1,0,3223322624,3,0,1
466,0,3,1,0,0,1,0,3129152111,3,0,1
467,0,3,1,0,0,1,0,0,3,0,1
468,0,3,1,0,0,1,0,981668463,3,0,1
469,0,3,1,0,0,1,0,1075838976,3,0,1
470,0,4,1,0,0,1,0,3223322624,3,0,1
471,0,4,1,0,0,1,0,3129152111,3,0,1
472,0,4,1,0,0,1,0,0,3,0,1
473,0,4,1,0,0,1,0,981668463,3,0,1
474,0,4,1,0,0,1,0,1075838976,3,0,1
475,1,0,1,0,0,1,0,3223322624,1,-1,0
476,1,0,1,0,0,1,0,3129152111,1,-1,0
477,1,0,1,0,0,1,0,0,1,-1,0
478,1,0,1,0,0,1,0,981668463,1,-1,0
479,1,0,1,0,0,1,0,1075838976,1,-1,0
480,1,1,1,0,0,1,0,3223322624,1,-1,0
481,1,1,1,0,0,1,0,3129152111,1,-1,0
482,1,1,1,0,0,1,0,0,1,-1,0
483,1,1,1,0,0,1,0,981668463,1,-1,0
484,1,1,1,0,0,1,0,1075838976,1,-1,0
485,1,2,1,0,0,1,0,3223322624,1,-1,0
486,1,2,1,0,0,1,0,3129152111,1,-1,0
487,1,2,1,0,0,1,0,0,1,-1,0
488,1,2,1,0,0,1,0,981668463,1,-1,0
489,1,2,1,0,0,1,0,1075838976,1,-1,0
490,1,3,1,0,0,1,0,3223322624,1,-1,0
491,1,3,1,0,0,1,0,3129152111,1,-1,0
492,1,3,1,0,0,1,0,0,1,-1,0
493,1,3,1,0,0,1,0,981668463,1,-1,0
494,1,3,1,0,0,1,0,1075838976,1,-1,0
495,1,4,1,0,0,1,0,3223322624,1,-1,0
496,1,4,1,0,0,1,0,3129152111,1,-1,0
497,1,4,1,0,0,1,0,0,1,-1,0
498,1,4,1,0,0,1,0,981668463,1,-1,0
499,1,4,1,0,0,1,0,1075838976,1,-1,0
500,0,0,0,1,0,1,0,3223322624,0,0,1
501,0,0,0,1,0,1,0,3129152111,0,0,1
502,0,0,0,1,0,1,0,0,0,0,1
503,0,0,0,1,0,1,0,981668463,0,0,1
504,0,0,0,1,0,1,0,1075838976,0,0,1
505,0,1,0,1,0,1,0,3223322624,2,0,1
506,0,1,0,1,0,1,0,3129152111,2,0,1
507,0,1,0,1,0,1,0,0,2,0,1
508,0,1,0,1,0,1,0,981668463,2,0,1
509,0,1,0,1,0,1,0,1075838976,2,0,1
510,0,2,0,1,0,1,0,3223322624,3,0,1
511,0,2,0,1,0,1,0,3129152111,3,0,1
512,0,2,0,1,0,1,0,0,3,0,1
513,0,2,0,1,0,1,0,981668463,3,0,1
514,0,2,0,1,0,1,0,1075838976,3,0,1
515,0,3,0,1,0,1,0,3223322624,3,0,1
516,0,3,0,1,0,1,0,3129152111,3,0,1
517,0,3,0,1,0,1,0,0,3,0,1
518,0,3,0,1,0,1,0,981668463,3,0,1
519,0,3,0,1,0,1,0,1075838976,3,0,1
520,0,4,0,1,0,1,0,3223322624,3,0,1
521,0,4,0,1,0,1,0,3129152111,3,0,1
522,0,4,0,1,0,1,0,0,3,0,1
523,0,4,0,1,0,1,0,981668463,3,0,1
