#fence_recovery
idx,control_reason,previous_reason,out
0,0,0,0
1,0,10,0
2,0,2,0
3,0,40,0
4,0,39,0
5,0,44,0
6,0,49,0
7,0,26,0
8,10,0,1
9,10,10,1
10,10,2,1
11,10,40,1
12,10,39,1
13,10,44,1
14,10,49,1
15,10,26,1
16,2,0,0
17,2,10,0
18,2,2,0
19,2,40,0
20,2,39,0
21,2,44,0
22,2,49,0
23,2,26,0
24,40,0,0
25,40,10,1
26,40,2,0
27,40,40,0
28,40,39,0
29,40,44,0
30,40,49,0
31,40,26,0
32,39,0,0
33,39,10,1
34,39,2,0
35,39,40,0
36,39,39,0
37,39,44,0
38,39,49,0
39,39,26,0
40,44,0,0
41,44,10,1
42,44,2,0
43,44,40,0
44,44,39,0
45,44,44,0
46,44,49,0
47,44,26,0
48,49,0,0
49,49,10,1
50,49,2,0
51,49,40,0
52,49,39,0
53,49,44,0
54,49,49,0
55,49,26,0
56,26,0,0
57,26,10,0
58,26,2,0
59,26,40,0
60,26,39,0
61,26,44,0
62,26,49,0
63,26,26,0
#set_mode
idx,target,reason,gcs_enabled,is_vtol,soft_armed,fence_enabled,fence_option,fence_breached,in_fence_recovery,before_control,before_previous,before_control_reason,before_previous_reason,ok,after_control,after_previous,after_control_reason,after_previous_reason,message
31,0,2,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
32,0,26,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-
33,0,26,1,0,0,0,0,0,0,0,0,1,10,1,0,0,1,10,-
34,0,26,1,0,1,1,1,1,1,0,0,10,0,1,0,0,10,0,-
35,0,26,1,0,1,1,1,1,1,0,0,10,10,1,0,0,10,10,-
36,0,26,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-
37,0,26,1,0,0,0,0,0,0,0,0,1,10,1,0,0,1,10,-
38,0,26,1,0,1,1,1,1,1,0,0,10,0,1,0,0,10,0,-
39,0,26,1,0,1,1,1,1,1,0,0,10,10,1,0,0,10,10,-
40,0,26,1,0,0,0,0,0,0,5,0,1,0,1,0,5,26,1,-
41,0,26,1,0,0,0,0,0,0,5,0,1,10,1,0,5,26,1,-
42,0,26,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
43,0,26,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
44,0,26,1,0,0,0,0,0,0,5,0,1,0,1,0,5,26,1,-
45,0,26,1,0,0,0,0,0,0,5,0,1,10,1,0,5,26,1,-
46,0,26,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
47,0,26,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
48,0,10,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-
49,0,10,1,0,0,0,0,0,0,0,0,1,10,1,0,0,1,10,-
50,0,10,1,0,1,1,1,1,1,0,0,10,0,1,0,0,10,0,-
51,0,10,1,0,1,1,1,1,1,0,0,10,10,1,0,0,10,10,-
52,0,10,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-
53,0,10,1,0,0,0,0,0,0,0,0,1,10,1,0,0,1,10,-
54,0,10,1,0,1,1,1,1,1,0,0,10,0,1,0,0,10,0,-
55,0,10,1,0,1,1,1,1,1,0,0,10,10,1,0,0,10,10,-
56,0,10,1,0,0,0,0,0,0,5,0,1,0,1,0,5,10,1,-
57,0,10,1,0,0,0,0,0,0,5,0,1,10,1,0,5,10,1,-
58,0,10,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
59,0,10,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
60,0,10,1,0,0,0,0,0,0,5,0,1,0,1,0,5,10,1,-
61,0,10,1,0,0,0,0,0,0,5,0,1,10,1,0,5,10,1,-
62,0,10,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
63,0,10,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
64,5,1,1,0,0,0,0,0,0,0,0,1,0,1,5,0,1,1,-
65,5,1,1,0,0,0,0,0,0,0,0,1,10,1,5,0,1,1,-
66,5,1,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
67,5,1,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
68,5,1,1,0,0,0,0,0,0,0,0,1,0,1,5,0,1,1,-
69,5,1,1,0,0,0,0,0,0,0,0,1,10,1,5,0,1,1,-
70,5,1,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
71,5,1,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
72,5,1,1,0,0,0,0,0,0,5,0,1,0,1,5,0,1,0,-
73,5,1,1,0,0,0,0,0,0,5,0,1,10,1,5,0,1,10,-
74,5,1,1,0,1,1,1,1,1,5,0,10,0,1,5,0,10,0,-
75,5,1,1,0,1,1,1,1,1,5,0,10,10,1,5,0,10,10,-
76,5,1,1,0,0,0,0,0,0,5,0,1,0,1,5,0,1,0,-
77,5,1,1,0,0,0,0,0,0,5,0,1,10,1,5,0,1,10,-
78,5,1,1,0,1,1,1,1,1,5,0,10,0,1,5,0,10,0,-
79,5,1,1,0,1,1,1,1,1,5,0,10,10,1,5,0,10,10,-
80,5,2,1,0,0,0,0,0,0,0,0,1,0,1,5,0,2,1,-
81,5,2,1,0,0,0,0,0,0,0,0,1,10,1,5,0,2,1,-
82,5,2,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
83,5,2,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
84,5,2,1,0,0,0,0,0,0,0,0,1,0,1,5,0,2,1,-
85,5,2,1,0,0,0,0,0,0,0,0,1,10,1,5,0,2,1,-
86,5,2,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
87,5,2,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
88,5,2,1,0,0,0,0,0,0,5,0,1,0,1,5,0,1,0,-
89,5,2,1,0,0,0,0,0,0,5,0,1,10,1,5,0,1,10,-
90,5,2,1,0,1,1,1,1,1,5,0,10,0,1,5,0,10,0,-
91,5,2,1,0,1,1,1,1,1,5,0,10,10,1,5,0,10,10,-
92,5,2,1,0,0,0,0,0,0,5,0,1,0,1,5,0,1,0,-
93,5,2,1,0,0,0,0,0,0,5,0,1,10,1,5,0,1,10,-
94,5,2,1,0,1,1,1,1,1,5,0,10,0,1,5,0,10,0,-
95,5,2,1,0,1,1,1,1,1,5,0,10,10,1,5,0,10,10,-
96,5,26,1,0,0,0,0,0,0,0,0,1,0,1,5,0,26,1,-
97,5,26,1,0,0,0,0,0,0,0,0,1,10,1,5,0,26,1,-
98,5,26,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
99,5,26,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
100,5,26,1,0,0,0,0,0,0,0,0,1,0,1,5,0,26,1,-
101,5,26,1,0,0,0,0,0,0,0,0,1,10,1,5,0,26,1,-
102,5,26,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
103,5,26,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
104,5,26,1,0,0,0,0,0,0,5,0,1,0,1,5,0,1,0,-
105,5,26,1,0,0,0,0,0,0,5,0,1,10,1,5,0,1,10,-
106,5,26,1,0,1,1,1,1,1,5,0,10,0,1,5,0,10,0,-
107,5,26,1,0,1,1,1,1,1,5,0,10,10,1,5,0,10,10,-
108,5,26,1,0,0,0,0,0,0,5,0,1,0,1,5,0,1,0,-
109,5,26,1,0,0,0,0,0,0,5,0,1,10,1,5,0,1,10,-
110,5,26,1,0,1,1,1,1,1,5,0,10,0,1,5,0,10,0,-
111,5,26,1,0,1,1,1,1,1,5,0,10,10,1,5,0,10,10,-
112,5,10,1,0,0,0,0,0,0,0,0,1,0,1,5,0,10,1,-
113,5,10,1,0,0,0,0,0,0,0,0,1,10,1,5,0,10,1,-
114,5,10,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
115,5,10,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
116,5,10,1,0,0,0,0,0,0,0,0,1,0,1,5,0,10,1,-
117,5,10,1,0,0,0,0,0,0,0,0,1,10,1,5,0,10,1,-
118,5,10,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
119,5,10,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
120,5,10,1,0,0,0,0,0,0,5,0,1,0,1,5,0,1,0,-
121,5,10,1,0,0,0,0,0,0,5,0,1,10,1,5,0,1,10,-
122,5,10,1,0,1,1,1,1,1,5,0,10,0,1,5,0,10,0,-
123,5,10,1,0,1,1,1,1,1,5,0,10,10,1,5,0,10,10,-
124,5,10,1,0,0,0,0,0,0,5,0,1,0,1,5,0,1,0,-
125,5,10,1,0,0,0,0,0,0,5,0,1,10,1,5,0,1,10,-
126,5,10,1,0,1,1,1,1,1,5,0,10,0,1,5,0,10,0,-
127,5,10,1,0,1,1,1,1,1,5,0,10,10,1,5,0,10,10,-
128,7,1,1,0,0,0,0,0,0,0,0,1,0,1,7,0,1,1,-
129,7,1,1,0,0,0,0,0,0,0,0,1,10,1,7,0,1,1,-
130,7,1,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
131,7,1,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
132,7,1,0,0,0,0,0,0,0,0,0,1,0,1,7,0,1,1,-
133,7,1,0,0,0,0,0,0,0,0,0,1,10,1,7,0,1,1,-
134,7,1,0,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
135,7,1,0,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
136,7,1,1,0,0,0,0,0,0,5,0,1,0,1,7,5,1,1,-
137,7,1,1,0,0,0,0,0,0,5,0,1,10,1,7,5,1,1,-
138,7,1,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
139,7,1,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
140,7,1,0,0,0,0,0,0,0,5,0,1,0,1,7,5,1,1,-
141,7,1,0,0,0,0,0,0,0,5,0,1,10,1,7,5,1,1,-
142,7,1,0,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
143,7,1,0,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
144,7,2,1,0,0,0,0,0,0,0,0,1,0,1,7,0,2,1,-
145,7,2,1,0,0,0,0,0,0,0,0,1,10,1,7,0,2,1,-
146,7,2,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
147,7,2,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
148,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,GCS entry disabled
149,7,2,0,0,0,0,0,0,0,0,0,1,10,0,0,0,1,10,GCS entry disabled
150,7,2,0,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
151,7,2,0,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
152,7,2,1,0,0,0,0,0,0,5,0,1,0,1,7,5,2,1,-
153,7,2,1,0,0,0,0,0,0,5,0,1,10,1,7,5,2,1,-
154,7,2,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
155,7,2,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
156,7,2,0,0,0,0,0,0,0,5,0,1,0,0,5,0,1,0,GCS entry disabled
157,7,2,0,0,0,0,0,0,0,5,0,1,10,0,5,0,1,10,GCS entry disabled
158,7,2,0,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
159,7,2,0,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
160,7,26,1,0,0,0,0,0,0,0,0,1,0,1,7,0,26,1,-
161,7,26,1,0,0,0,0,0,0,0,0,1,10,1,7,0,26,1,-
162,7,26,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
163,7,26,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
164,7,26,0,0,0,0,0,0,0,0,0,1,0,1,7,0,26,1,-
165,7,26,0,0,0,0,0,0,0,0,0,1,10,1,7,0,26,1,-
166,7,26,0,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
167,7,26,0,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
168,7,26,1,0,0,0,0,0,0,5,0,1,0,1,7,5,26,1,-
169,7,26,1,0,0,0,0,0,0,5,0,1,10,1,7,5,26,1,-
170,7,26,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
171,7,26,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
172,7,26,0,0,0,0,0,0,0,5,0,1,0,1,7,5,26,1,-
173,7,26,0,0,0,0,0,0,0,5,0,1,10,1,7,5,26,1,-
174,7,26,0,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
175,7,26,0,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
176,7,10,1,0,0,0,0,0,0,0,0,1,0,1,7,0,10,1,-
177,7,10,1,0,0,0,0,0,0,0,0,1,10,1,7,0,10,1,-
178,7,10,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
179,7,10,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
180,7,10,0,0,0,0,0,0,0,0,0,1,0,1,7,0,10,1,-
181,7,10,0,0,0,0,0,0,0,0,0,1,10,1,7,0,10,1,-
182,7,10,0,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
183,7,10,0,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
184,7,10,1,0,0,0,0,0,0,5,0,1,0,1,7,5,10,1,-
185,7,10,1,0,0,0,0,0,0,5,0,1,10,1,7,5,10,1,-
186,7,10,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
187,7,10,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
188,7,10,0,0,0,0,0,0,0,5,0,1,0,1,7,5,10,1,-
189,7,10,0,0,0,0,0,0,0,5,0,1,10,1,7,5,10,1,-
190,7,10,0,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
191,7,10,0,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
192,13,1,1,0,0,0,0,0,0,0,0,1,0,1,13,0,1,1,-
193,13,1,1,0,0,0,0,0,0,0,0,1,10,1,13,0,1,1,-
194,13,1,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
195,13,1,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
196,13,1,1,0,0,0,0,0,0,0,0,1,0,1,13,0,1,1,-
197,13,1,1,0,0,0,0,0,0,0,0,1,10,1,13,0,1,1,-
198,13,1,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
199,13,1,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
200,13,1,1,0,0,0,0,0,0,5,0,1,0,1,13,5,1,1,-
201,13,1,1,0,0,0,0,0,0,5,0,1,10,1,13,5,1,1,-
202,13,1,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
203,13,1,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
204,13,1,1,0,0,0,0,0,0,5,0,1,0,1,13,5,1,1,-
205,13,1,1,0,0,0,0,0,0,5,0,1,10,1,13,5,1,1,-
206,13,1,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
207,13,1,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
208,13,2,1,0,0,0,0,0,0,0,0,1,0,1,13,0,2,1,-
209,13,2,1,0,0,0,0,0,0,0,0,1,10,1,13,0,2,1,-
210,13,2,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
211,13,2,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
212,13,2,1,0,0,0,0,0,0,0,0,1,0,1,13,0,2,1,-
213,13,2,1,0,0,0,0,0,0,0,0,1,10,1,13,0,2,1,-
214,13,2,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
215,13,2,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
216,13,2,1,0,0,0,0,0,0,5,0,1,0,1,13,5,2,1,-
217,13,2,1,0,0,0,0,0,0,5,0,1,10,1,13,5,2,1,-
218,13,2,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
219,13,2,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
220,13,2,1,0,0,0,0,0,0,5,0,1,0,1,13,5,2,1,-
221,13,2,1,0,0,0,0,0,0,5,0,1,10,1,13,5,2,1,-
222,13,2,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
223,13,2,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
224,13,26,1,0,0,0,0,0,0,0,0,1,0,1,13,0,26,1,-
225,13,26,1,0,0,0,0,0,0,0,0,1,10,1,13,0,26,1,-
226,13,26,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
227,13,26,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
228,13,26,1,0,0,0,0,0,0,0,0,1,0,1,13,0,26,1,-
229,13,26,1,0,0,0,0,0,0,0,0,1,10,1,13,0,26,1,-
230,13,26,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
231,13,26,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
232,13,26,1,0,0,0,0,0,0,5,0,1,0,1,13,5,26,1,-
233,13,26,1,0,0,0,0,0,0,5,0,1,10,1,13,5,26,1,-
234,13,26,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
235,13,26,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
236,13,26,1,0,0,0,0,0,0,5,0,1,0,1,13,5,26,1,-
237,13,26,1,0,0,0,0,0,0,5,0,1,10,1,13,5,26,1,-
238,13,26,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
239,13,26,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
240,13,10,1,0,0,0,0,0,0,0,0,1,0,1,13,0,10,1,-
241,13,10,1,0,0,0,0,0,0,0,0,1,10,1,13,0,10,1,-
242,13,10,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
243,13,10,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
244,13,10,1,0,0,0,0,0,0,0,0,1,0,1,13,0,10,1,-
245,13,10,1,0,0,0,0,0,0,0,0,1,10,1,13,0,10,1,-
246,13,10,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
247,13,10,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
248,13,10,1,0,0,0,0,0,0,5,0,1,0,1,13,5,10,1,-
249,13,10,1,0,0,0,0,0,0,5,0,1,10,1,13,5,10,1,-
250,13,10,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
251,13,10,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
252,13,10,1,0,0,0,0,0,0,5,0,1,0,1,13,5,10,1,-
253,13,10,1,0,0,0,0,0,0,5,0,1,10,1,13,5,10,1,-
254,13,10,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
255,13,10,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
256,18,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,vtol unavailable
257,18,1,1,1,0,0,0,0,0,0,0,1,10,0,0,0,1,10,vtol unavailable
258,18,1,1,1,1,1,1,1,1,0,0,10,0,0,0,0,10,0,vtol unavailable
259,18,1,1,1,1,1,1,1,1,0,0,10,10,0,0,0,10,10,vtol unavailable
260,18,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,vtol unavailable
261,18,1,1,1,0,0,0,0,0,0,0,1,10,0,0,0,1,10,vtol unavailable
262,18,1,1,1,1,1,1,1,1,0,0,10,0,0,0,0,10,0,vtol unavailable
263,18,1,1,1,1,1,1,1,1,0,0,10,10,0,0,0,10,10,vtol unavailable
264,18,1,1,1,0,0,0,0,0,5,0,1,0,0,5,0,1,0,vtol unavailable
265,18,1,1,1,0,0,0,0,0,5,0,1,10,0,5,0,1,10,vtol unavailable
266,18,1,1,1,1,1,1,1,1,5,0,10,0,0,5,0,10,0,vtol unavailable
267,18,1,1,1,1,1,1,1,1,5,0,10,10,0,5,0,10,10,vtol unavailable
268,18,1,1,1,0,0,0,0,0,5,0,1,0,0,5,0,1,0,vtol unavailable
269,18,1,1,1,0,0,0,0,0,5,0,1,10,0,5,0,1,10,vtol unavailable
270,18,1,1,1,1,1,1,1,1,5,0,10,0,0,5,0,10,0,vtol unavailable
271,18,1,1,1,1,1,1,1,1,5,0,10,10,0,5,0,10,10,vtol unavailable
272,18,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,vtol unavailable
273,18,2,1,1,0,0,0,0,0,0,0,1,10,0,0,0,1,10,vtol unavailable
274,18,2,1,1,1,1,1,1,1,0,0,10,0,0,0,0,10,0,vtol unavailable
275,18,2,1,1,1,1,1,1,1,0,0,10,10,0,0,0,10,10,vtol unavailable
276,18,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,vtol unavailable
277,18,2,1,1,0,0,0,0,0,0,0,1,10,0,0,0,1,10,vtol unavailable
278,18,2,1,1,1,1,1,1,1,0,0,10,0,0,0,0,10,0,vtol unavailable
279,18,2,1,1,1,1,1,1,1,0,0,10,10,0,0,0,10,10,vtol unavailable
280,18,2,1,1,0,0,0,0,0,5,0,1,0,0,5,0,1,0,vtol unavailable
281,18,2,1,1,0,0,0,0,0,5,0,1,10,0,5,0,1,10,vtol unavailable
282,18,2,1,1,1,1,1,1,1,5,0,10,0,0,5,0,10,0,vtol unavailable
283,18,2,1,1,1,1,1,1,1,5,0,10,10,0,5,0,10,10,vtol unavailable
284,18,2,1,1,0,0,0,0,0,5,0,1,0,0,5,0,1,0,vtol unavailable
285,18,2,1,1,0,0,0,0,0,5,0,1,10,0,5,0,1,10,vtol unavailable
286,18,2,1,1,1,1,1,1,1,5,0,10,0,0,5,0,10,0,vtol unavailable
287,18,2,1,1,1,1,1,1,1,5,0,10,10,0,5,0,10,10,vtol unavailable
288,18,26,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,vtol unavailable
289,18,26,1,1,0,0,0,0,0,0,0,1,10,0,0,0,1,10,vtol unavailable
290,18,26,1,1,1,1,1,1,1,0,0,10,0,0,0,0,10,0,vtol unavailable
291,18,26,1,1,1,1,1,1,1,0,0,10,10,0,0,0,10,10,vtol unavailable
292,18,26,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,vtol unavailable
293,18,26,1,1,0,0,0,0,0,0,0,1,10,0,0,0,1,10,vtol unavailable
294,18,26,1,1,1,1,1,1,1,0,0,10,0,0,0,0,10,0,vtol unavailable
295,18,26,1,1,1,1,1,1,1,0,0,10,10,0,0,0,10,10,vtol unavailable
296,18,26,1,1,0,0,0,0,0,5,0,1,0,0,5,0,1,0,vtol unavailable
297,18,26,1,1,0,0,0,0,0,5,0,1,10,0,5,0,1,10,vtol unavailable
