#derivative
scenario,size,step,sample,timestamp,slope
zigzag,9,20,1093664768,20000,973279855
zigzag,11,20,1093664768,20000,973279854
zigzag,5,21,1092091904,21000,973279855
zigzag,7,21,1092091904,21000,973279855
zigzag,9,21,1092091904,21000,973279855
zigzag,11,21,1092091904,21000,973279854
zigzag,5,22,1094713344,22000,973279855
zigzag,7,22,1094713344,22000,973279855
zigzag,9,22,1094713344,22000,973279855
zigzag,11,22,1094713344,22000,973279854
zigzag,5,23,1093140480,23000,973279855
zigzag,7,23,1093140480,23000,973279855
zigzag,9,23,1093140480,23000,973279855
zigzag,11,23,1093140480,23000,973279854
zigzag,5,24,1095761920,24000,973279855
zigzag,7,24,1095761920,24000,973279855
zigzag,9,24,1095761920,24000,973279855
zigzag,11,24,1095761920,24000,973279854
zigzag,5,25,1094189056,25000,973279855
zigzag,7,25,1094189056,25000,973279855
zigzag,9,25,1094189056,25000,973279855
zigzag,11,25,1094189056,25000,973279854
zigzag,5,26,1096810496,26000,973279855
zigzag,7,26,1096810496,26000,973279855
zigzag,9,26,1096810496,26000,973279855
zigzag,11,26,1096810496,26000,973279854
zigzag,5,27,1095237632,27000,973279855
zigzag,7,27,1095237632,27000,973279855
zigzag,9,27,1095237632,27000,973279855
zigzag,11,27,1095237632,27000,973279854
zigzag,5,28,1097859072,28000,973279855
zigzag,7,28,1097859072,28000,973279855
zigzag,9,28,1097859072,28000,973279855
zigzag,11,28,1097859072,28000,973279854
zigzag,5,29,1096286208,29000,973279855
zigzag,7,29,1096286208,29000,973279855
zigzag,9,29,1096286208,29000,973279855
zigzag,11,29,1096286208,29000,973279854
zigzag,5,30,1098907648,30000,973279855
zigzag,7,30,1098907648,30000,973279855
zigzag,9,30,1098907648,30000,973279855
zigzag,11,30,1098907648,30000,973279854
zigzag,5,31,1097334784,31000,973279855
zigzag,7,31,1097334784,31000,973279855
zigzag,9,31,1097334784,31000,973279855
zigzag,11,31,1097334784,31000,973279854
zigzag,5,32,1099431936,32000,973279855
zigzag,7,32,1099431936,32000,973279855
zigzag,9,32,1099431936,32000,973279855
zigzag,11,32,1099431936,32000,973279854
zigzag,5,33,1098383360,33000,973279855
zigzag,7,33,1098383360,33000,973279855
zigzag,9,33,1098383360,33000,973279855
zigzag,11,33,1098383360,33000,973279854
zigzag,5,34,1099956224,34000,973279855
zigzag,7,34,1099956224,34000,973279855
zigzag,9,34,1099956224,34000,973279855
zigzag,11,34,1099956224,34000,973279854
zigzag,5,35,1099169792,35000,973279855
zigzag,7,35,1099169792,35000,973279855
zigzag,9,35,1099169792,35000,973279855
zigzag,11,35,1099169792,35000,973279854
zigzag,5,36,1100480512,36000,973279855
zigzag,7,36,1100480512,36000,973279855
zigzag,9,36,1100480512,36000,973279855
zigzag,11,36,1100480512,36000,973279854
zigzag,5,37,1099694080,37000,973279855
zigzag,7,37,1099694080,37000,973279855
zigzag,9,37,1099694080,37000,973279855
zigzag,11,37,1099694080,37000,973279854
zigzag,5,38,1101004800,38000,973279855
zigzag,7,38,1101004800,38000,973279855
zigzag,9,38,1101004800,38000,973279855
zigzag,11,38,1101004800,38000,973279854
zigzag,5,39,1100218368,39000,973279855
zigzag,7,39,1100218368,39000,973279855
zigzag,9,39,1100218368,39000,973279855
zigzag,11,39,1100218368,39000,973279854
repeat,5,0,0,0,0
repeat,7,0,0,0,0
repeat,9,0,0,0,0
repeat,11,0,0,0,0
repeat,5,1,1073741824,1000,0
repeat,7,1,1073741824,1000,0
repeat,9,1,1073741824,1000,0
repeat,11,1,1073741824,1000,0
repeat,5,2,1082130432,1000,0
repeat,7,2,1082130432,1000,0
repeat,9,2,1082130432,1000,0
repeat,11,2,1082130432,1000,0
repeat,5,3,1086324736,3000,0
repeat,7,3,1086324736,3000,0
repeat,9,3,1086324736,3000,0
repeat,11,3,1086324736,3000,0
repeat,5,4,1090519040,4000,0
repeat,7,4,1090519040,4000,0
repeat,9,4,1090519040,4000,0
repeat,11,4,1090519040,4000,0
repeat,5,5,1092616192,4000,0
repeat,7,5,1092616192,4000,0
repeat,9,5,1092616192,4000,0
repeat,11,5,1092616192,4000,0
repeat,5,6,1094713344,6000,990057071
repeat,7,6,1094713344,6000,0
repeat,9,6,1094713344,6000,0
repeat,11,6,1094713344,6000,0
repeat,5,7,1096810496,7000,990057071
repeat,7,7,1096810496,7000,0
repeat,9,7,1096810496,7000,0
repeat,11,7,1096810496,7000,0
repeat,5,8,1098907648,7000,990057071
repeat,7,8,1098907648,7000,0
repeat,9,8,1098907648,7000,0
repeat,11,8,1098907648,7000,0
repeat,5,9,1099956224,9000,990057071
repeat,7,9,1099956224,9000,990057071
repeat,9,9,1099956224,9000,0
repeat,11,9,1099956224,9000,0
repeat,5,10,1101004800,10000,990057071
repeat,7,10,1101004800,10000,990057071
repeat,9,10,1101004800,10000,0
repeat,11,10,1101004800,10000,0
repeat,5,11,1102053376,10000,990057071
repeat,7,11,1102053376,10000,990057071
repeat,9,11,1102053376,10000,0
repeat,11,11,1102053376,10000,0
repeat,5,12,1103101952,12000,990057071
repeat,7,12,1103101952,12000,990057071
repeat,9,12,1103101952,12000,990057071
repeat,11,12,1103101952,12000,0
repeat,5,13,1104150528,13000,990057071
repeat,7,13,1104150528,13000,990057071
repeat,9,13,1104150528,13000,990057071
repeat,11,13,1104150528,13000,0
repeat,5,14,1105199104,13000,990057071
repeat,7,14,1105199104,13000,990057071
repeat,9,14,1105199104,13000,990057071
repeat,11,14,1105199104,13000,0
repeat,5,15,1106247680,15000,990057071
repeat,7,15,1106247680,15000,990057071
repeat,9,15,1106247680,15000,990057071
repeat,11,15,1106247680,15000,990057070
repeat,5,16,1107296256,16000,990057071
repeat,7,16,1107296256,16000,990057071
repeat,9,16,1107296256,16000,990057071
repeat,11,16,1107296256,16000,990057070
repeat,5,17,1107820544,16000,990057071
repeat,7,17,1107820544,16000,990057071
repeat,9,17,1107820544,16000,990057071
repeat,11,17,1107820544,16000,990057070
repeat,5,18,1108344832,18000,990057071
repeat,7,18,1108344832,18000,990057071
repeat,9,18,1108344832,18000,990057071
repeat,11,18,1108344832,18000,990057070
repeat,5,19,1108869120,19000,990057071
repeat,7,19,1108869120,19000,990057071
repeat,9,19,1108869120,19000,990057071
repeat,11,19,1108869120,19000,990057070
repeat,5,20,1109393408,19000,990057071
repeat,7,20,1109393408,19000,990057071
repeat,9,20,1109393408,19000,990057071
repeat,11,20,1109393408,19000,990057070
repeat,5,21,1109917696,21000,990057071
repeat,7,21,1109917696,21000,990057071
repeat,9,21,1109917696,21000,990057071
repeat,11,21,1109917696,21000,990057070
repeat,5,22,1110441984,22000,990057071
repeat,7,22,1110441984,22000,990057071
repeat,9,22,1110441984,22000,990057071
repeat,11,22,1110441984,22000,990057070
repeat,5,23,1110966272,22000,990057071
repeat,7,23,1110966272,22000,990057071
repeat,9,23,1110966272,22000,990057071
repeat,11,23,1110966272,22000,990057070
repeat,5,24,1111490560,24000,990057071
repeat,7,24,1111490560,24000,990057071
repeat,9,24,1111490560,24000,990057071
repeat,11,24,1111490560,24000,990057070
repeat,5,25,1112014848,25000,990057071
repeat,7,25,1112014848,25000,990057071
repeat,9,25,1112014848,25000,990057071
repeat,11,25,1112014848,25000,990057070
repeat,5,26,1112539136,25000,990057071
repeat,7,26,1112539136,25000,990057071
repeat,9,26,1112539136,25000,990057071
repeat,11,26,1112539136,25000,990057070
repeat,5,27,1113063424,27000,990057071
repeat,7,27,1113063424,27000,990057071
repeat,9,27,1113063424,27000,990057071
repeat,11,27,1113063424,27000,990057070
repeat,5,28,1113587712,28000,990057071
repeat,7,28,1113587712,28000,990057071
repeat,9,28,1113587712,28000,990057071
repeat,11,28,1113587712,28000,990057070
repeat,5,29,1114112000,28000,990057071
repeat,7,29,1114112000,28000,990057071
repeat,9,29,1114112000,28000,990057071
repeat,11,29,1114112000,28000,990057070
repeat,5,30,1114636288,30000,990057071
repeat,7,30,1114636288,30000,990057071
repeat,9,30,1114636288,30000,990057071
repeat,11,30,1114636288,30000,990057070
repeat,5,31,1115160576,31000,990057071
repeat,7,31,1115160576,31000,990057071
repeat,9,31,1115160576,31000,990057071
repeat,11,31,1115160576,31000,990057070
repeat,5,32,1115684864,31000,990057071
repeat,7,32,1115684864,31000,990057071
repeat,9,32,1115684864,31000,990057071
repeat,11,32,1115684864,31000,990057070
repeat,5,33,1115947008,33000,990057071
repeat,7,33,1115947008,33000,990057071
repeat,9,33,1115947008,33000,990057071
repeat,11,33,1115947008,33000,990057070
repeat,5,34,1116209152,34000,990057071
repeat,7,34,1116209152,34000,990057071
repeat,9,34,1116209152,34000,990057071
repeat,11,34,1116209152,34000,990057070
repeat,5,35,1116471296,34000,990057071
repeat,7,35,1116471296,34000,990057071
repeat,9,35,1116471296,34000,990057071
repeat,11,35,1116471296,34000,990057070
repeat,5,36,1116733440,36000,990057071
repeat,7,36,1116733440,36000,990057071
repeat,9,36,1116733440,36000,990057071
repeat,11,36,1116733440,36000,990057070
repeat,5,37,1116995584,37000,990057071
repeat,7,37,1116995584,37000,990057071
repeat,9,37,1116995584,37000,990057071
repeat,11,37,1116995584,37000,990057070
repeat,5,38,1117257728,37000,990057071
repeat,7,38,1117257728,37000,990057071
repeat,9,38,1117257728,37000,990057071
repeat,11,38,1117257728,37000,990057070
repeat,5,39,1117519872,39000,990057071
repeat,7,39,1117519872,39000,990057071
repeat,9,39,1117519872,39000,990057071
repeat,11,39,1117519872,39000,990057070
wrap,5,0,0,4294962295,0
wrap,7,0,0,4294962295,0
wrap,9,0,0,4294962295,0
wrap,11,0,0,4294962295,0
wrap,5,1,1073741824,4294963295,0
wrap,7,1,1073741824,4294963295,0
wrap,9,1,1073741824,4294963295,0
wrap,11,1,1073741824,4294963295,0
wrap,5,2,1082130432,4294964295,0
wrap,7,2,1082130432,4294964295,0
wrap,9,2,1082130432,4294964295,0
wrap,11,2,1082130432,4294964295,0
wrap,5,3,1086324736,4294965295,981668469
wrap,7,3,1086324736,4294965295,0
wrap,9,3,1086324736,4294965295,0
wrap,11,3,1086324736,4294965295,0
wrap,5,4,1090519040,4294966295,990057071
wrap,7,4,1090519040,4294966295,0
wrap,9,4,1090519040,4294966295,0
wrap,11,4,1090519040,4294966295,0
wrap,5,5,1092616192,4294967295,990057071
wrap,7,5,1092616192,4294967295,987037176
wrap,9,5,1092616192,4294967295,0
wrap,11,5,1092616192,4294967295,0
wrap,5,6,1094713344,999,990057071
wrap,7,6,1094713344,999,990057071
wrap,9,6,1094713344,999,0
wrap,11,6,1094713344,999,0
wrap,5,7,1096810496,1999,990057071
wrap,7,7,1096810496,1999,990057071
wrap,9,7,1096810496,1999,991400188
wrap,11,7,1096810496,1999,0
wrap,5,8,1098907648,2999,990057071
wrap,7,8,1098907648,2999,990057071
wrap,9,8,1098907648,2999,990057071
wrap,11,8,1098907648,2999,0
wrap,5,9,1099956224,3999,990057071
wrap,7,9,1099956224,3999,990057071
wrap,9,9,1099956224,3999,990057071
wrap,11,9,1099956224,3999,990266880
wrap,5,10,1101004800,4999,990057071
wrap,7,10,1101004800,4999,990057071
wrap,9,10,1101004800,4999,990057071
wrap,11,10,1101004800,4999,990057070
wrap,5,11,1102053376,5999,990057071
wrap,7,11,1102053376,5999,990057071
wrap,9,11,1102053376,5999,990057071
wrap,11,11,1102053376,5999,990057070
wrap,5,12,1103101952,6999,990057071
wrap,7,12,1103101952,6999,990057071
wrap,9,12,1103101952,6999,990057071
wrap,11,12,1103101952,6999,990057070
wrap,5,13,1104150528,7999,990057071
wrap,7,13,1104150528,7999,990057071
wrap,9,13,1104150528,7999,990057071
wrap,11,13,1104150528,7999,990057070
wrap,5,14,1105199104,8999,990057071
wrap,7,14,1105199104,8999,990057071
wrap,9,14,1105199104,8999,990057071
wrap,11,14,1105199104,8999,990057070
wrap,5,15,1106247680,9999,990057071
wrap,7,15,1106247680,9999,990057071
wrap,9,15,1106247680,9999,990057071
wrap,11,15,1106247680,9999,990057070
wrap,5,16,1107296256,10999,990057071
wrap,7,16,1107296256,10999,990057071
wrap,9,16,1107296256,10999,990057071
wrap,11,16,1107296256,10999,990057070
wrap,5,17,1107820544,11999,990057071
wrap,7,17,1107820544,11999,990057071
wrap,9,17,1107820544,11999,990057071
wrap,11,17,1107820544,11999,990057070
wrap,5,18,1108344832,12999,990057071
