#target_altitude
idx,flaring,on_approach,landing_target,soaring,loiter_reached,terrain_alt,terrain_ok,offset_cm,past_finish,glide_slope,reset_offset,set_location,set_proportion,constrain,terrain_calls,set_location_alt
97,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,-1
98,0,1,0,0,0,0,0,-1500,0,1,0,0,0,0,0,-1
99,0,1,0,0,0,0,0,-1500,1,1,0,0,0,0,0,-1
100,0,1,0,0,0,0,0,2500,0,1,0,0,0,0,0,-1
101,0,1,0,0,0,0,0,2500,1,1,0,0,0,0,0,-1
102,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,-1
103,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,-1
104,0,1,0,0,0,0,1,-1500,0,1,0,0,0,0,0,-1
105,0,1,0,0,0,0,1,-1500,1,1,0,0,0,0,0,-1
106,0,1,0,0,0,0,1,2500,0,1,0,0,0,0,0,-1
107,0,1,0,0,0,0,1,2500,1,1,0,0,0,0,0,-1
108,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,-1
109,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,-1
110,0,1,0,0,0,1,0,-1500,0,1,0,0,0,0,0,-1
111,0,1,0,0,0,1,0,-1500,1,1,0,0,0,0,0,-1
112,0,1,0,0,0,1,0,2500,0,1,0,0,0,0,0,-1
113,0,1,0,0,0,1,0,2500,1,1,0,0,0,0,0,-1
114,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,-1
115,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,-1
116,0,1,0,0,0,1,1,-1500,0,1,0,0,0,0,0,-1
117,0,1,0,0,0,1,1,-1500,1,1,0,0,0,0,0,-1
118,0,1,0,0,0,1,1,2500,0,1,0,0,0,0,0,-1
119,0,1,0,0,0,1,1,2500,1,1,0,0,0,0,0,-1
120,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,-1
121,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,-1
122,0,1,0,0,1,0,0,-1500,0,1,0,0,0,0,0,-1
123,0,1,0,0,1,0,0,-1500,1,1,0,0,0,0,0,-1
124,0,1,0,0,1,0,0,2500,0,1,0,0,0,0,0,-1
125,0,1,0,0,1,0,0,2500,1,1,0,0,0,0,0,-1
126,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-1
127,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,-1
128,0,1,0,0,1,0,1,-1500,0,1,0,0,0,0,0,-1
129,0,1,0,0,1,0,1,-1500,1,1,0,0,0,0,0,-1
130,0,1,0,0,1,0,1,2500,0,1,0,0,0,0,0,-1
131,0,1,0,0,1,0,1,2500,1,1,0,0,0,0,0,-1
132,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,-1
133,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,-1
134,0,1,0,0,1,1,0,-1500,0,1,0,0,0,0,0,-1
135,0,1,0,0,1,1,0,-1500,1,1,0,0,0,0,0,-1
136,0,1,0,0,1,1,0,2500,0,1,0,0,0,0,0,-1
137,0,1,0,0,1,1,0,2500,1,1,0,0,0,0,0,-1
138,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,-1
139,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,-1
140,0,1,0,0,1,1,1,-1500,0,1,0,0,0,0,0,-1
141,0,1,0,0,1,1,1,-1500,1,1,0,0,0,0,0,-1
142,0,1,0,0,1,1,1,2500,0,1,0,0,0,0,0,-1
143,0,1,0,0,1,1,1,2500,1,1,0,0,0,0,0,-1
144,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-1
145,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,-1
146,0,1,1,0,0,0,0,-1500,0,1,0,0,0,0,0,-1
147,0,1,1,0,0,0,0,-1500,1,1,0,0,0,0,0,-1
148,0,1,1,0,0,0,0,2500,0,1,0,0,0,0,0,-1
149,0,1,1,0,0,0,0,2500,1,1,0,0,0,0,0,-1
150,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,-1
151,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,-1
152,0,1,1,0,0,0,1,-1500,0,1,0,0,0,0,0,-1
153,0,1,1,0,0,0,1,-1500,1,1,0,0,0,0,0,-1
154,0,1,1,0,0,0,1,2500,0,1,0,0,0,0,0,-1
155,0,1,1,0,0,0,1,2500,1,1,0,0,0,0,0,-1
156,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,-1
157,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,-1
158,0,1,1,0,0,1,0,-1500,0,1,0,0,0,0,0,-1
159,0,1,1,0,0,1,0,-1500,1,1,0,0,0,0,0,-1
160,0,1,1,0,0,1,0,2500,0,1,0,0,0,0,0,-1
161,0,1,1,0,0,1,0,2500,1,1,0,0,0,0,0,-1
162,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,-1
163,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,-1
164,0,1,1,0,0,1,1,-1500,0,1,0,0,0,0,0,-1
165,0,1,1,0,0,1,1,-1500,1,1,0,0,0,0,0,-1
166,0,1,1,0,0,1,1,2500,0,1,0,0,0,0,0,-1
167,0,1,1,0,0,1,1,2500,1,1,0,0,0,0,0,-1
168,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,-1
169,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,-1
170,0,1,1,0,1,0,0,-1500,0,1,0,0,0,0,0,-1
171,0,1,1,0,1,0,0,-1500,1,1,0,0,0,0,0,-1
172,0,1,1,0,1,0,0,2500,0,1,0,0,0,0,0,-1
173,0,1,1,0,1,0,0,2500,1,1,0,0,0,0,0,-1
174,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,-1
175,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,-1
176,0,1,1,0,1,0,1,-1500,0,1,0,0,0,0,0,-1
177,0,1,1,0,1,0,1,-1500,1,1,0,0,0,0,0,-1
178,0,1,1,0,1,0,1,2500,0,1,0,0,0,0,0,-1
179,0,1,1,0,1,0,1,2500,1,1,0,0,0,0,0,-1
180,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,-1
181,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,-1
182,0,1,1,0,1,1,0,-1500,0,1,0,0,0,0,0,-1
183,0,1,1,0,1,1,0,-1500,1,1,0,0,0,0,0,-1
184,0,1,1,0,1,1,0,2500,0,1,0,0,0,0,0,-1
185,0,1,1,0,1,1,0,2500,1,1,0,0,0,0,0,-1
186,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,-1
187,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,-1
188,0,1,1,0,1,1,1,-1500,0,1,0,0,0,0,0,-1
189,0,1,1,0,1,1,1,-1500,1,1,0,0,0,0,0,-1
190,0,1,1,0,1,1,1,2500,0,1,0,0,0,0,0,-1
191,0,1,1,0,1,1,1,2500,1,1,0,0,0,0,0,-1
192,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7700
193,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7700
194,1,0,0,0,0,0,0,-1500,0,0,0,1,0,0,0,7700
195,1,0,0,0,0,0,0,-1500,1,0,0,1,0,0,0,7700
196,1,0,0,0,0,0,0,2500,0,0,0,1,0,0,0,7700
197,1,0,0,0,0,0,0,2500,1,0,0,1,0,0,0,7700
198,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7700
199,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,7700
200,1,0,0,0,0,0,1,-1500,0,0,0,1,0,0,0,7700
201,1,0,0,0,0,0,1,-1500,1,0,0,1,0,0,0,7700
202,1,0,0,0,0,0,1,2500,0,0,0,1,0,0,0,7700
203,1,0,0,0,0,0,1,2500,1,0,0,1,0,0,0,7700
204,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7700
205,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,7700
206,1,0,0,0,0,1,0,-1500,0,0,0,1,0,0,0,7700
207,1,0,0,0,0,1,0,-1500,1,0,0,1,0,0,0,7700
208,1,0,0,0,0,1,0,2500,0,0,0,1,0,0,0,7700
209,1,0,0,0,0,1,0,2500,1,0,0,1,0,0,0,7700
210,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,7700
211,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,7700
212,1,0,0,0,0,1,1,-1500,0,0,0,1,0,0,0,7700
213,1,0,0,0,0,1,1,-1500,1,0,0,1,0,0,0,7700
214,1,0,0,0,0,1,1,2500,0,0,0,1,0,0,0,7700
215,1,0,0,0,0,1,1,2500,1,0,0,1,0,0,0,7700
216,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7700
217,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,7700
218,1,0,0,0,1,0,0,-1500,0,0,0,1,0,0,0,7700
219,1,0,0,0,1,0,0,-1500,1,0,0,1,0,0,0,7700
220,1,0,0,0,1,0,0,2500,0,0,0,1,0,0,0,7700
221,1,0,0,0,1,0,0,2500,1,0,0,1,0,0,0,7700
222,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,7700
223,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,7700
224,1,0,0,0,1,0,1,-1500,0,0,0,1,0,0,0,7700
225,1,0,0,0,1,0,1,-1500,1,0,0,1,0,0,0,7700
226,1,0,0,0,1,0,1,2500,0,0,0,1,0,0,0,7700
227,1,0,0,0,1,0,1,2500,1,0,0,1,0,0,0,7700
228,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,7700
229,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,7700
230,1,0,0,0,1,1,0,-1500,0,0,0,1,0,0,0,7700
231,1,0,0,0,1,1,0,-1500,1,0,0,1,0,0,0,7700
232,1,0,0,0,1,1,0,2500,0,0,0,1,0,0,0,7700
233,1,0,0,0,1,1,0,2500,1,0,0,1,0,0,0,7700
234,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,7700
235,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,7700
236,1,0,0,0,1,1,1,-1500,0,0,0,1,0,0,0,7700
237,1,0,0,0,1,1,1,-1500,1,0,0,1,0,0,0,7700
238,1,0,0,0,1,1,1,2500,0,0,0,1,0,0,0,7700
239,1,0,0,0,1,1,1,2500,1,0,0,1,0,0,0,7700
240,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7700
241,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,7700
242,1,0,1,0,0,0,0,-1500,0,0,0,1,0,0,0,7700
243,1,0,1,0,0,0,0,-1500,1,0,0,1,0,0,0,7700
244,1,0,1,0,0,0,0,2500,0,0,0,1,0,0,0,7700
245,1,0,1,0,0,0,0,2500,1,0,0,1,0,0,0,7700
246,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7700
247,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,7700
248,1,0,1,0,0,0,1,-1500,0,0,0,1,0,0,0,7700
249,1,0,1,0,0,0,1,-1500,1,0,0,1,0,0,0,7700
250,1,0,1,0,0,0,1,2500,0,0,0,1,0,0,0,7700
251,1,0,1,0,0,0,1,2500,1,0,0,1,0,0,0,7700
252,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,7700
253,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,7700
254,1,0,1,0,0,1,0,-1500,0,0,0,1,0,0,0,7700
255,1,0,1,0,0,1,0,-1500,1,0,0,1,0,0,0,7700
256,1,0,1,0,0,1,0,2500,0,0,0,1,0,0,0,7700
257,1,0,1,0,0,1,0,2500,1,0,0,1,0,0,0,7700
258,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,7700
259,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,7700
260,1,0,1,0,0,1,1,-1500,0,0,0,1,0,0,0,7700
261,1,0,1,0,0,1,1,-1500,1,0,0,1,0,0,0,7700
262,1,0,1,0,0,1,1,2500,0,0,0,1,0,0,0,7700
263,1,0,1,0,0,1,1,2500,1,0,0,1,0,0,0,7700
264,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,7700
265,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,7700
266,1,0,1,0,1,0,0,-1500,0,0,0,1,0,0,0,7700
267,1,0,1,0,1,0,0,-1500,1,0,0,1,0,0,0,7700
268,1,0,1,0,1,0,0,2500,0,0,0,1,0,0,0,7700
269,1,0,1,0,1,0,0,2500,1,0,0,1,0,0,0,7700
270,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,7700
271,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,7700
272,1,0,1,0,1,0,1,-1500,0,0,0,1,0,0,0,7700
273,1,0,1,0,1,0,1,-1500,1,0,0,1,0,0,0,7700
274,1,0,1,0,1,0,1,2500,0,0,0,1,0,0,0,7700
275,1,0,1,0,1,0,1,2500,1,0,0,1,0,0,0,7700
276,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,7700
277,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,7700
278,1,0,1,0,1,1,0,-1500,0,0,0,1,0,0,0,7700
279,1,0,1,0,1,1,0,-1500,1,0,0,1,0,0,0,7700
280,1,0,1,0,1,1,0,2500,0,0,0,1,0,0,0,7700
281,1,0,1,0,1,1,0,2500,1,0,0,1,0,0,0,7700
282,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,7700
283,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,7700
284,1,0,1,0,1,1,1,-1500,0,0,0,1,0,0,0,7700
285,1,0,1,0,1,1,1,-1500,1,0,0,1,0,0,0,7700
286,1,0,1,0,1,1,1,2500,0,0,0,1,0,0,0,7700
287,1,0,1,0,1,1,1,2500,1,0,0,1,0,0,0,7700
288,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7700
289,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,7700
290,1,1,0,0,0,0,0,-1500,0,0,0,1,0,0,0,7700
291,1,1,0,0,0,0,0,-1500,1,0,0,1,0,0,0,7700
292,1,1,0,0,0,0,0,2500,0,0,0,1,0,0,0,7700
293,1,1,0,0,0,0,0,2500,1,0,0,1,0,0,0,7700
294,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,7700
295,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,7700
296,1,1,0,0,0,0,1,-1500,0,0,0,1,0,0,0,7700
297,1,1,0,0,0,0,1,-1500,1,0,0,1,0,0,0,7700
298,1,1,0,0,0,0,1,2500,0,0,0,1,0,0,0,7700
299,1,1,0,0,0,0,1,2500,1,0,0,1,0,0,0,7700
300,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,7700
301,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,7700
302,1,1,0,0,0,1,0,-1500,0,0,0,1,0,0,0,7700
303,1,1,0,0,0,1,0,-1500,1,0,0,1,0,0,0,7700
304,1,1,0,0,0,1,0,2500,0,0,0,1,0,0,0,7700
305,1,1,0,0,0,1,0,2500,1,0,0,1,0,0,0,7700
306,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,7700
307,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,7700
308,1,1,0,0,0,1,1,-1500,0,0,0,1,0,0,0,7700
309,1,1,0,0,0,1,1,-1500,1,0,0,1,0,0,0,7700
310,1,1,0,0,0,1,1,2500,0,0,0,1,0,0,0,7700
311,1,1,0,0,0,1,1,2500,1,0,0,1,0,0,0,7700
312,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,7700
313,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,7700
314,1,1,0,0,1,0,0,-1500,0,0,0,1,0,0,0,7700
315,1,1,0,0,1,0,0,-1500,1,0,0,1,0,0,0,7700
316,1,1,0,0,1,0,0,2500,0,0,0,1,0,0,0,7700
317,1,1,0,0,1,0,0,2500,1,0,0,1,0,0,0,7700
318,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,7700
319,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,7700
320,1,1,0,0,1,0,1,-1500,0,0,0,1,0,0,0,7700
321,1,1,0,0,1,0,1,-1500,1,0,0,1,0,0,0,7700
322,1,1,0,0,1,0,1,2500,0,0,0,1,0,0,0,7700
323,1,1,0,0,1,0,1,2500,1,0,0,1,0,0,0,7700
324,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,7700
325,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,7700
326,1,1,0,0,1,1,0,-1500,0,0,0,1,0,0,0,7700
327,1,1,0,0,1,1,0,-1500,1,0,0,1,0,0,0,7700
328,1,1,0,0,1,1,0,2500,0,0,0,1,0,0,0,7700
329,1,1,0,0,1,1,0,2500,1,0,0,1,0,0,0,7700
330,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,7700
331,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,7700
332,1,1,0,0,1,1,1,-1500,0,0,0,1,0,0,0,7700
333,1,1,0,0,1,1,1,-1500,1,0,0,1,0,0,0,7700
334,1,1,0,0,1,1,1,2500,0,0,0,1,0,0,0,7700
335,1,1,0,0,1,1,1,2500,1,0,0,1,0,0,0,7700
336,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7700
337,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,7700
338,1,1,1,0,0,0,0,-1500,0,0,0,1,0,0,0,7700
339,1,1,1,0,0,0,0,-1500,1,0,0,1,0,0,0,7700
340,1,1,1,0,0,0,0,2500,0,0,0,1,0,0,0,7700
341,1,1,1,0,0,0,0,2500,1,0,0,1,0,0,0,7700
342,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,7700
343,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,7700
344,1,1,1,0,0,0,1,-1500,0,0,0,1,0,0,0,7700
345,1,1,1,0,0,0,1,-1500,1,0,0,1,0,0,0,7700
346,1,1,1,0,0,0,1,2500,0,0,0,1,0,0,0,7700
347,1,1,1,0,0,0,1,2500,1,0,0,1,0,0,0,7700
348,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,7700
349,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,7700
350,1,1,1,0,0,1,0,-1500,0,0,0,1,0,0,0,7700
351,1,1,1,0,0,1,0,-1500,1,0,0,1,0,0,0,7700
352,1,1,1,0,0,1,0,2500,0,0,0,1,0,0,0,7700
353,1,1,1,0,0,1,0,2500,1,0,0,1,0,0,0,7700
354,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,7700
355,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,7700
356,1,1,1,0,0,1,1,-1500,0,0,0,1,0,0,0,7700
357,1,1,1,0,0,1,1,-1500,1,0,0,1,0,0,0,7700
358,1,1,1,0,0,1,1,2500,0,0,0,1,0,0,0,7700
359,1,1,1,0,0,1,1,2500,1,0,0,1,0,0,0,7700
360,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,7700
361,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,7700
362,1,1,1,0,1,0,0,-1500,0,0,0,1,0,0,0,7700
363,1,1,1,0,1,0,0,-1500,1,0,0,1,0,0,0,7700
364,1,1,1,0,1,0,0,2500,0,0,0,1,0,0,0,7700
365,1,1,1,0,1,0,0,2500,1,0,0,1,0,0,0,7700
366,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,7700
367,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,7700
368,1,1,1,0,1,0,1,-1500,0,0,0,1,0,0,0,7700
369,1,1,1,0,1,0,1,-1500,1,0,0,1,0,0,0,7700
370,1,1,1,0,1,0,1,2500,0,0,0,1,0,0,0,7700
371,1,1,1,0,1,0,1,2500,1,0,0,1,0,0,0,7700
372,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,7700
373,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,7700
374,1,1,1,0,1,1,0,-1500,0,0,0,1,0,0,0,7700
375,1,1,1,0,1,1,0,-1500,1,0,0,1,0,0,0,7700
376,1,1,1,0,1,1,0,2500,0,0,0,1,0,0,0,7700
377,1,1,1,0,1,1,0,2500,1,0,0,1,0,0,0,7700
378,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,7700
379,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,7700
380,1,1,1,0,1,1,1,-1500,0,0,0,1,0,0,0,7700
381,1,1,1,0,1,1,1,-1500,1,0,0,1,0,0,0,7700
382,1,1,1,0,1,1,1,2500,0,0,0,1,0,0,0,7700
